place_id,name,link,main_category,categories,rating,reviews,address
ChIJuXZE-9mAQS4R5U6uGdAswaM,Pantai Florida Indah Anyer,https://www.google.com/maps/place/Pantai+Florida+Indah+Anyer/data=!4m7!3m6!1s0x2e4180d9fb4476b9:0xa3c12cd019ae4ee5!8m2!3d-6.128857!4d105.8653974!16s%2Fg%2F11b_3g81mh!19sChIJuXZE-9mAQS4R5U6uGdAswaM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,4870,"Pantai Florida Indah Anyer, Jalan Raya Karang Bolong, Sindanglaya, Cinangka, Sindanglaya, Kec. Cinangka, Kabupaten Serang, Banten 14310"
ChIJoZ6XlTMjQi4Rcsi0Q06j840,Taman Nasional Ujung Kulon,https://www.google.com/maps/place/Taman+Nasional+Ujung+Kulon/data=!4m7!3m6!1s0x2e42233395979ea1:0x8df3a34e43b4c872!8m2!3d-6.7846944!4d105.3751088!16zL20vMDJzajRy!19sChIJoZ6XlTMjQi4Rcsi0Q06j840?authuser=0&hl=id&rclk=1,Taman Nasional,"Taman Nasional, Taman, Tujuan Wisata",4.4,3998,"698G+42H Taman Nasional Ujung Kulon, Ujungjaya, Banten"
ChIJccSoDB9pQi4R0fyfyhfn3Mc,Wisata Kampung Marengo Baduy Luar,https://www.google.com/maps/place/Wisata+Kampung+Marengo+Baduy+Luar/data=!4m7!3m6!1s0x2e42691f0ca8c471:0xc7dce717ca9ffcd1!8m2!3d-6.6078819!4d106.2224494!16s%2Fg%2F11f0l3sdj3!19sChIJccSoDB9pQi4R0fyfyhfn3Mc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,939,"Wisata Kampung Marengo Baduy Luar, Kanekes, Kec. Leuwidamar, Kabupaten Lebak, Banten 42362"
ChIJvXeJmq4jQi4RQqnLNeh5aGA,Lembur Kula,https://www.google.com/maps/place/Lembur+Kula/data=!4m7!3m6!1s0x2e4223ae9a8977bd:0x606879e835cba942!8m2!3d-6.2653917!4d106.0803267!16s%2Fg%2F11l3c50lp7!19sChIJvXeJmq4jQi4RQqnLNeh5aGA?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,612,"Lembur Kula, Jl. Gn. Karang, Pasirpeuteuy, Kec. Cadasari, Kabupaten Pandeglang, Banten 42251"
ChIJl_jTBCAhQi4R_B2ZKe5ROJQ,Baduy Outbound,https://www.google.com/maps/place/Baduy+Outbound/data=!4m7!3m6!1s0x2e42212004d3f897:0x943851ee29991dfc!8m2!3d-6.2263705!4d106.119524!16s%2Fg%2F11b7q772lf!19sChIJl_jTBCAhQi4R_B2ZKe5ROJQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4,431,"Baduy Outbound, Jl. Raya Serang-Pandeglang KM.14 Kp. Pasir Kidul, Sukamanah, Kec. Baros, Kabupaten Serang, Banten 42173"
ChIJGf_Oe3MwQi4Remp_gh6LLqY,Pemandian Air Panas Gunung Torong,https://www.google.com/maps/place/Pemandian+Air+Panas+Gunung+Torong/data=!4m7!3m6!1s0x2e4230737bceff19:0xa62e8b1e827f6a7a!8m2!3d-6.3453781!4d106.0848484!16s%2Fg%2F1wck05c1!19sChIJGf_Oe3MwQi4Remp_gh6LLqY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,3741,"Pemandian Air Panas Gunung Torong, Jl. Wisata Cipanas, Sukamanah, Kec. Kaduhejo, Kabupaten Pandeglang, Banten 42253"
ChIJtYhrotHyQS4ROzlHxwbfygA,Pantai Gopek Karangantu,https://www.google.com/maps/place/Pantai+Gopek+Karangantu/data=!4m7!3m6!1s0x2e41f2d1a26b88b5:0xcadf06c747393b!8m2!3d-6.0255765!4d106.1655155!16s%2Fg%2F11ddyk1mv6!19sChIJtYhrotHyQS4ROzlHxwbfygA?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,3541,"Pantai Gopek Karangantu, Jl. Pelelangan Ikan Karangantu, Banten, Kec. Kasemen, Kota Serang, Banten 42191"
ChIJq6qqqtfyQS4Rf_bMgqPNgVo,Benteng Speelwijk,https://www.google.com/maps/place/Benteng+Speelwijk/data=!4m7!3m6!1s0x2e41f2d7aaaaaaab:0x5a81cda382ccf67f!8m2!3d-6.0312364!4d106.1506923!16s%2Fg%2F1pzrfjkph!19sChIJq6qqqtfyQS4Rf_bMgqPNgVo?authuser=0&hl=id&rclk=1,Bangunan Bersejarah,"Bangunan Bersejarah, Tujuan Wisata",4.6,2109,"X592+G74 Benteng Speelwijk, Kampung Pamarican, Banten, Kec. Kasemen, Kota Serang, Banten 42191"
ChIJCX1zdM2HQS4R0ej1ZkNYSRg,Pantai Sambolo 1 Anyer Serang Banten,https://www.google.com/maps/place/Pantai+Sambolo+1+Anyer+Serang+Banten/data=!4m7!3m6!1s0x2e4187cd74737d09:0x1849584366f5e8d1!8m2!3d-6.0986643!4d105.8820584!16s%2Fg%2F11gh9q8rz5!19sChIJCX1zdM2HQS4R0ej1ZkNYSRg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,1926,"Pantai Sambolo 1 Anyer Serang Banten, Jl. Raya Anyer-Sirih, Bandulu, Kec. Anyar, Kabupaten Serang, Banten 42112"
ChIJ8ZZbjtSMQS4RgmtfKYr1lR8,Benteng Surosowan,https://www.google.com/maps/place/Benteng+Surosowan/data=!4m7!3m6!1s0x2e418cd48e5b96f1:0x1f95f58a295f6b82!8m2!3d-6.0382005!4d106.1557351!16s%2Fg%2F11b7j4__2c!19sChIJ8ZZbjtSMQS4RgmtfKYr1lR8?authuser=0&hl=id&rclk=1,Bangunan Bersejarah,"Bangunan Bersejarah, Benteng, Tujuan Wisata",4.5,1921,"X564+P79 Benteng Surosowan, Banten, Kec. Kasemen, Kota Serang, Banten 42191"
