place_id,name,link,main_category,categories,rating,reviews,address
ChIJB3x3sXu8Ni4R0FEHhZpMZpg,Wisata Hutan manggrove pulaubaai,https://www.google.com/maps/place/Wisata+Hutan+manggrove+pulaubaai/data=!4m7!3m6!1s0x2e36bc7bb1777c07:0x98664c9a850751d0!8m2!3d-3.9029875!4d102.3088231!16s%2Fg%2F11fy4hh2sm!19sChIJB3x3sXu8Ni4R0FEHhZpMZpg?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.3,1125,"Wisata Hutan manggrove pulaubaai, Gg. Al-Barokah 5, Padang Serai, Kec. Kp. Melayu, Kota Bengkulu, Bengkulu"
ChIJ7SMcD5i6Ni4Ro0yyBgKfKcM,Pantai Panjang Bengkulu,https://www.google.com/maps/place/Pantai+Panjang+Bengkulu/data=!4m7!3m6!1s0x2e36ba980f1c23ed:0xc3299f0206b24ca3!8m2!3d-3.8085034!4d102.262839!16s%2Fg%2F12ht1lx39!19sChIJ7SMcD5i6Ni4Ro0yyBgKfKcM?authuser=0&hl=id&rclk=1,Pantai,Pantai,4.4,8278,"Pantai Panjang Bengkulu, Jl. Pariwisata, Pantai Panjang, Lempuing, Kec. Ratu Agung, Kota Bengkulu, Bengkulu"
ChIJ8XBtr5a6Ni4RCeujsyqRrgM,Pantai Pasir Putih,https://www.google.com/maps/place/Pantai+Pasir+Putih/data=!4m7!3m6!1s0x2e36ba96af6d70f1:0x3ae912ab3a3eb09!8m2!3d-3.8313934!4d102.2835105!16s%2Fg%2F11f3p1kkzw!19sChIJ8XBtr5a6Ni4RCeujsyqRrgM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,2338,"579M+CCR Pantai Pasir Putih, Lempuing, Kec. Ratu Agung, Kota Bengkulu, Bengkulu"
ChIJS2TvE5i6Ni4RmfhFROFFu24,Pantai Panjang BENGKULU,https://www.google.com/maps/place/Pantai+Panjang+BENGKULU/data=!4m7!3m6!1s0x2e36ba9813ef644b:0x6ebb45e14445f899!8m2!3d-3.8249704!4d102.2776648!16s%2Fg%2F11gfb3h9_s!19sChIJS2TvE5i6Ni4RmfhFROFFu24?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,1232,"57GH+237 Pantai Panjang BENGKULU, Jl. Pariwisata, Lempuing, Kec. Ratu Agung, Kota Bengkulu, Bengkulu"
ChIJeTjzCdmvNi4RGco2T_84iAw,View Tower,https://www.google.com/maps/place/View+Tower/data=!4m7!3m6!1s0x2e36afd909f33879:0xc8838ff4f36ca19!8m2!3d-3.7902834!4d102.2508978!16s%2Fg%2F11bzrpsmkj!19sChIJeTjzCdmvNi4RGco2T_84iAw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,1183,"6752+V9J View Tower, Malabero, Kec. Tlk. Segara, Kota Bengkulu, Bengkulu 38119"
ChIJ1wAl1tOxNi4RvaPh_QeQ0G4,Jembatan Kualo,https://www.google.com/maps/place/Jembatan+Kualo/data=!4m7!3m6!1s0x2e36b1d3d62500d7:0x6ed09007fde1a3bd!8m2!3d-3.7722702!4d102.2639131!16s%2Fg%2F11c59zrs4z!19sChIJ1wAl1tOxNi4RvaPh_QeQ0G4?authuser=0&hl=id&rclk=1,Jembatan,"Jembatan, Tujuan Wisata",4.4,458,"67H7+3HV Jembatan Kualo, Ps., Jl. Bencoolen, Ps. Bengkulu, Kec. Sungai Serut, Kota Bengkulu, Bengkulu"
ChIJtbUR1_S6Ni4R6E2NduBx0SA,Taman Wisata Mangrove Bhadrika,https://www.google.com/maps/place/Taman+Wisata+Mangrove+Bhadrika/data=!4m7!3m6!1s0x2e36baf4d711b5b5:0x20d171e0768d4de8!8m2!3d-3.8388218!4d102.2962754!16s%2Fg%2F11ghfnxsnc!19sChIJtbUR1_S6Ni4R6E2NduBx0SA?authuser=0&hl=id&rclk=1,Restoran Seafood,"Restoran Seafood, Taman, Tujuan Wisata",4.3,454,"Taman Wisata Mangrove Bhadrika, Jl. Jenggalu No.1, Lkr. Barat, Kec. Gading Cemp., Kota Bengkulu, Bengkulu 38216"
ChIJL9dYb9avNi4R2vvNkPO7Dys,Pantai Tapak Paderi,https://www.google.com/maps/place/Pantai+Tapak+Paderi/data=!4m7!3m6!1s0x2e36afd66f58d72f:0x2b0fbbf390cdfbda!8m2!3d-3.7849049!4d102.2534603!16s%2Fg%2F11cn_j3cty!19sChIJL9dYb9avNi4R2vvNkPO7Dys?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,373,"6783+29P Pantai Tapak Paderi, Kebun Keling, Kec. Tlk. Segara, Kota Bengkulu, Bengkulu 38115"
ChIJl4sm0eixNi4RsWUzJ3s9jsM,Kawasan Kota Tuo Pasar Bengkulu,https://www.google.com/maps/place/Kawasan+Kota+Tuo+Pasar+Bengkulu/data=!4m7!3m6!1s0x2e36b1e8d1268b97:0xc38e3d7b273365b1!8m2!3d-3.7727053!4d102.2633793!16s%2Fg%2F11s09rfhz1!19sChIJl4sm0eixNi4RsWUzJ3s9jsM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,299,"Kawasan Kota Tuo Pasar Bengkulu, Ps. Bengkulu, Kec. Sungai Serut, Kota Bengkulu, Bengkulu 38119"
ChIJMSNEQ9qvNi4RZMEz48-OuHI,Pantai Malabero,https://www.google.com/maps/place/Pantai+Malabero/data=!4m7!3m6!1s0x2e36afda43442331:0x72b88ecfe333c164!8m2!3d-3.7892684!4d102.2469845!16s%2Fg%2F11f403ywsz!19sChIJMSNEQ9qvNi4RZMEz48-OuHI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,291,"666W+7QX Pantai Malabero, Jl. Arraw, Malabero, Kota Bengkulu"
