place_id,name,link,main_category,categories,rating,reviews,address
ChIJYaJ20FDtaS4RDNry7LknMQc,Taman Mini Indonesia Indah,https://www.google.com/maps/place/Taman+Mini+Indonesia+Indah/data=!4m7!3m6!1s0x2e69ed50d076a261:0x73127b9ecf2da0c!8m2!3d-6.3020386!4d106.8898924!16zL20vMDhiaHFr!19sChIJYaJ20FDtaS4RDNry7LknMQc?authuser=0&hl=id&rclk=1,Taman Hiburan,"Taman Hiburan, Museum, Taman, Tujuan Wisata",4.5,156632,"Taman Mini Indonesia Indah, Jl. Taman Mini Indonesia Indah, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820"
ChIJVwxCgBoeai4R4zIiPSWTWyc,Dunia Fantasi,https://www.google.com/maps/place/Dunia+Fantasi/data=!4m7!3m6!1s0x2e6a1e1a80420c57:0x275b93253d2232e3!8m2!3d-6.1253124!4d106.8335377!16s%2Fm%2F0b65fpr!19sChIJVwxCgBoeai4R4zIiPSWTWyc?authuser=0&hl=id&rclk=1,Taman Hiburan,"Taman Hiburan, Tujuan Wisata",4.6,73133,"Dunia Fantasi, Jl. Lodan Timur No.7, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430"
ChIJcdfvd3T0aS4RWFPBwpxqIIU,Taman Impian Jaya Ancol,https://www.google.com/maps/place/Taman+Impian+Jaya+Ancol/data=!4m7!3m6!1s0x2e69f47477efd771:0x85206a9cc2c15358!8m2!3d-6.1289702!4d106.8333074!16zL20vMDg5OWR6!19sChIJcdfvd3T0aS4RWFPBwpxqIIU?authuser=0&hl=id&rclk=1,Pusat Rekreasi,"Pusat Rekreasi, Wahana Taman Hiburan, Tujuan Wisata",4.5,42587,"Taman Impian Jaya Ancol, Jl. Lodan Timur No.7, RT.14/RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430"
ChIJ7RcAlCrsaS4RM4GToNQSzt8,Kawasan Wisata Kota Tua Jakarta,https://www.google.com/maps/place/Kawasan+Wisata+Kota+Tua+Jakarta/data=!4m7!3m6!1s0x2e69ec2a940017ed:0xdfce12d4a0938133!8m2!3d-6.1350687!4d106.8136795!16s%2Fg%2F11d_v9mf_f!19sChIJ7RcAlCrsaS4RM4GToNQSzt8?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Pelestarian Situs Peninggalan, Museum tempat bersejarah, Biro Perjalanan dan Wisata",4.6,17759,"Kawasan Wisata Kota Tua Jakarta, Kawasan Kota Tua, Taman Fatahillah No.1, RT.7/RW.7, Pinangsia, Taman Sari, West Jakarta City, Jakarta 11110"
ChIJoytQiSUdai4RkGKxmmKQnMM,Taman Wisata Alam Mangrove Angke Kapuk,https://www.google.com/maps/place/Taman+Wisata+Alam+Mangrove+Angke+Kapuk/data=!4m10!3m9!1s0x2e6a1d2589502ba3:0xc39c90629ab16290!5m2!4m1!1i2!8m2!3d-6.1064903!4d106.7368887!16s%2Fg%2F1pzpnxtjc!19sChIJoytQiSUdai4RkGKxmmKQnMM?authuser=0&hl=id&rclk=1,Cagar Alam,"Cagar Alam, Taman, Hotel Resor, Tujuan Wisata",4.3,15871,"Taman Wisata Alam Mangrove Angke Kapuk, Jl. Garden House, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470"
ChIJ7Zj-D1HxaS4RTEzBshMYqsk,Kidzania Jakarta,https://www.google.com/maps/place/Kidzania+Jakarta/data=!4m7!3m6!1s0x2e69f1510ffe98ed:0xc9aa1813b2c14c4c!8m2!3d-6.2250735!4d106.8097144!16s%2Fg%2F121xqmbm!19sChIJ7Zj-D1HxaS4RTEzBshMYqsk?authuser=0&hl=id&rclk=1,Arena Bermain Anak-Anak,"Arena Bermain Anak-Anak, Taman Hiburan, Tujuan Wisata",4.6,9408,"Kidzania Jakarta, Pacific Place Mall, Jl. Jenderal Sudirman No.Kav. 52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190"
ChIJo7n7ffv3aS4RsSNgsHX4e94,Jakarta AQuarium Safari,https://www.google.com/maps/place/Jakarta+AQuarium+Safari/data=!4m7!3m6!1s0x2e69f7fb7dfbb9a3:0xde7bf875b06023b1!8m2!3d-6.174899!4d106.7900112!16s%2Fg%2F11qq01l_3l!19sChIJo7n7ffv3aS4RsSNgsHX4e94?authuser=0&hl=id&rclk=1,Akuarium,"Akuarium, Tujuan Wisata",4.6,7047,"Jakarta AQuarium Safari, Jl. Letjen S. Parman No.106 3, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470"
ChIJOQcPe1_2aS4RodErUdz2cfc,Tribeca Park,https://www.google.com/maps/place/Tribeca+Park/data=!4m7!3m6!1s0x2e69f65f7b0f0739:0xf771f6dc512bd1a1!8m2!3d-6.1772515!4d106.7904697!16s%2Fg%2F11cs17j29b!19sChIJOQcPe1_2aS4RodErUdz2cfc?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.7,5587,"Tribeca Park, Letjen S. Parman No.28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470"
ChIJ87jCThgeai4RUGOJMkak0o8,Pasar Seni,https://www.google.com/maps/place/Pasar+Seni/data=!4m7!3m6!1s0x2e6a1e184ec2b8f3:0x8fd2a44632896350!8m2!3d-6.1264924!4d106.8389517!16s%2Fg%2F11f4v4yjc0!19sChIJ87jCThgeai4RUGOJMkak0o8?authuser=0&hl=id&rclk=1,Pusat Kesenian,"Pusat Kesenian, Pusat Rekreasi, Tujuan Wisata",4.4,5137,"Pasar Seni, Taman Impian Jaya, Jl. Lodan timur No.7, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430"
ChIJV13T9zYeai4RlhpJBj3BhXE,Taman Impian Jaya Ancol,https://www.google.com/maps/place/Taman+Impian+Jaya+Ancol/data=!4m7!3m6!1s0x2e6a1e36f7d35d57:0x7185c13d06491a96!8m2!3d-6.1173332!4d106.8579951!16s%2Fg%2F11cjk2c8t1!19sChIJV13T9zYeai4RlhpJBj3BhXE?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.6,5107,"VVM5+359 Taman Impian Jaya Ancol, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430"
ChIJ086DVDweai4RwFvnrq74dHM,Taman Impian Ancol,https://www.google.com/maps/place/Taman+Impian+Ancol/data=!4m7!3m6!1s0x2e6a1e3c5483ced3:0x7374f8aeaee75bc0!8m2!3d-6.1251607!4d106.8446592!16s%2Fg%2F11c1wk3sw_!19sChIJ086DVDweai4RwFvnrq74dHM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,3121,"VRGV+WGR Taman Impian Ancol, 10, RT.1/RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430"
ChIJA88y_8v1aS4RbfwYWObt98A,Taman Lapangan Banteng,https://www.google.com/maps/place/Taman+Lapangan+Banteng/data=!4m7!3m6!1s0x2e69f5cbff32cf03:0xc0f7ede65818fc6d!8m2!3d-6.170555!4d106.8350378!16s%2Fg%2F1hb_h2wc5!19sChIJA88y_8v1aS4RbfwYWObt98A?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Tujuan Wisata",4.7,24782,"Taman Lapangan Banteng, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710"
ChIJ1Ugkkm3zaS4RXLLyfr1tc4M,Tebet Eco Park,https://www.google.com/maps/place/Tebet+Eco+Park/data=!4m7!3m6!1s0x2e69f36d922448d5:0x83736dbd7ef2b25c!8m2!3d-6.2373489!4d106.8529248!16s%2Fg%2F11fj9k587d!19sChIJ1Ugkkm3zaS4RXLLyfr1tc4M?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Taman, Taman bermain, Tujuan Wisata",4.7,21575,"Tebet Eco Park, Jl. Tebet Barat Raya, RT.1/RW.10, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820"
ChIJKeQOsCL0aS4RLuH7DlpcjaI,Taman Menteng,https://www.google.com/maps/place/Taman+Menteng/data=!4m7!3m6!1s0x2e69f422b00ee429:0xa28d5c5a0efbe12e!8m2!3d-6.1964087!4d106.8293106!16s%2Fg%2F11byz6zj8g!19sChIJKeQOsCL0aS4RLuH7DlpcjaI?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Tujuan Wisata",4.5,20297,"Taman Menteng, Jl. HOS. Cokroaminoto, RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310"
ChIJuTW9y2zxaS4RKwSl9KopVgI,Taman Ayodia - Barito,https://www.google.com/maps/place/Taman+Ayodia+-+Barito/data=!4m7!3m6!1s0x2e69f16ccbbd35b9:0x25629aaf4a5042b!8m2!3d-6.2453376!4d106.7945996!16s%2Fg%2F11byz6zj8b!19sChIJuTW9y2zxaS4RKwSl9KopVgI?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Taman, Tujuan Wisata",4.5,9693,"Taman Ayodia - Barito, 7, Jl. Lamandau III No.RT.4, RT.4/RW.7, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130"
ChIJtXURO2wdai4Rn7vSSu5Fma4,Kawasan Ekowisata Mangrove PIK,https://www.google.com/maps/place/Kawasan+Ekowisata+Mangrove+PIK/data=!4m7!3m6!1s0x2e6a1d6c3b1175b5:0xae9945ee4ad2bb9f!8m2!3d-6.1220799!4d106.7609549!16s%2Fg%2F11cn7n6_bm!19sChIJtXURO2wdai4Rn7vSSu5Fma4?authuser=0&hl=id&rclk=1,Hutan Nasional,"Hutan Nasional, Tujuan Wisata",4.3,4504,"Kawasan Ekowisata Mangrove PIK, 7 Jalan Katamaran Indah 1 RT.7, RT.1/RW.7, Kapuk Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460"
ChIJPcS3V4gdai4RFRiCKMVUaTQ,Taman Hutan Kota Penjaringan,https://www.google.com/maps/place/Taman+Hutan+Kota+Penjaringan/data=!4m7!3m6!1s0x2e6a1d8857b7c43d:0x346954c528821815!8m2!3d-6.1329076!4d106.7837762!16s%2Fg%2F11b7qqslf6!19sChIJPcS3V4gdai4RFRiCKMVUaTQ?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Tujuan Wisata",4.5,3688,"VQ8M+RGJ Taman Hutan Kota Penjaringan, Jl. Kepanduan II, RT.7/RW.16, Pejagalan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450"
ChIJv0uKBdT1aS4RMm701q_set8,Taman Pandang Istana,https://www.google.com/maps/place/Taman+Pandang+Istana/data=!4m7!3m6!1s0x2e69f5d4058a4bbf:0xdf7aecafd6f46e32!8m2!3d-6.1721641!4d106.8233829!16s%2Fg%2F11cp5ddmg8!19sChIJv0uKBdT1aS4RMm701q_set8?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.5,2276,"Taman Pandang Istana, Jalan Silang Monas Barat Laut, RT.5/RW.2, Gambir, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110"
ChIJ96ScBDUdai4RX9GhTDqAThY,Wisata Sungai Kota Tua,https://www.google.com/maps/place/Wisata+Sungai+Kota+Tua/data=!4m7!3m6!1s0x2e6a1d35049ca4f7:0x164e803a4ca1d15f!8m2!3d-6.1348474!4d106.8115805!16s%2Fg%2F11gjwfb62w!19sChIJ96ScBDUdai4RX9GhTDqAThY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,1364,"Wisata Sungai Kota Tua, Kota Tua, Jl. Kali Besar Tim. No.21 7, RT.7/RW.2, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110"
