place_id,name,link,main_category,categories,rating,reviews,address
ChIJV-9L7-WIJS4RzGcZacnEbl4,Tugu Pers Jambi,https://www.google.com/maps/place/Tugu+Pers+Jambi/data=!4m7!3m6!1s0x2e2588e5ef4bef57:0x5e6ec4c9691967cc!8m2!3d-1.5995397!4d103.6066915!16s%2Fg%2F11b6_rlzmd!19sChIJV-9L7-WIJS4RzGcZacnEbl4?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Tujuan Wisata",4.3,714,"CJ24+5MP Tugu Pers Jambi, Jl. Sultan Agung, Lb. Bandung, Kec. Ps. Jambi, Kota Jambi, Jambi 36124"
ChIJjaslySCGJS4RQSqweejIzIo,Tugu Keris Siginjai Jambi,https://www.google.com/maps/place/Tugu+Keris+Siginjai+Jambi/data=!4m7!3m6!1s0x2e258620c925ab8d:0x8accc8e879b02a41!8m2!3d-1.6305338!4d103.6078669!16s%2Fg%2F11byvg__rk!19sChIJjaslySCGJS4RQSqweejIzIo?authuser=0&hl=id&rclk=1,Monumen,"Monumen, Tujuan Wisata",4.6,9111,"9J95+Q4Q Tugu Keris Siginjai Jambi, Paal Lima, Kec. Kota Baru, Kota Jambi, Jambi 36129"
ChIJV7S4dyGJJS4RObNnntBIJqc,Jembatan Gentala Arasy,https://www.google.com/maps/place/Jembatan+Gentala+Arasy/data=!4m7!3m6!1s0x2e25892177b8b457:0xa72648d09e67b339!8m2!3d-1.586732!4d103.6156861!16s%2Fg%2F11bw3dk3vr!19sChIJV7S4dyGJJS4RObNnntBIJqc?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Jembatan",4.5,6979,"CJ78+873 Jembatan Gentala Arasy, Kasang, Kec. Jambi Tim., Kota Jambi, Jambi 36123"
ChIJIV1GLSeGJS4RwRKjrXmHgl4,Taman Jomblo Kota Jambi,https://www.google.com/maps/place/Taman+Jomblo+Kota+Jambi/data=!4m7!3m6!1s0x2e2586272d465d21:0x5e828779ada312c1!8m2!3d-1.6304855!4d103.6075253!16s%2Fg%2F11cjk3tyyp!19sChIJIV1GLSeGJS4RwRKjrXmHgl4?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.3,4643,"9J95+R22 Taman Jomblo Kota Jambi, Jl. Jend. Basuki Rahmat, Paal Lima, Kec. Kota Baru, Kota Jambi, Jambi 36129"
ChIJGR5UCYiIJS4Ry6dYBXXbzy8,Tugu Juang Jambi,https://www.google.com/maps/place/Tugu+Juang+Jambi/data=!4m7!3m6!1s0x2e25888809541e19:0x2fcfdb750558a7cb!8m2!3d-1.61953!4d103.5910482!16s%2Fg%2F1pp2tljl6!19sChIJGR5UCYiIJS4Ry6dYBXXbzy8?authuser=0&hl=id&rclk=1,Monumen,"Monumen, Tujuan Wisata",4.4,4440,"9HJQ+9QX Tugu Juang Jambi, Jl. HOS. Cokroaminoto No.4, Selamat, Kec. Telanaipura, Kota Jambi, Jambi 36129"
ChIJs2ChljOEJS4RK315FfLfrI4,Taman Wisata Jambi Paradise,https://www.google.com/maps/place/Taman+Wisata+Jambi+Paradise/data=!4m7!3m6!1s0x2e25843396a160b3:0x8eacdff215797d2b!8m2!3d-1.6689459!4d103.6539111!16s%2Fg%2F11bw2j6bwk!19sChIJs2ChljOEJS4RK315FfLfrI4?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman Rekreasi Air",4.2,3558,"Taman Wisata Jambi Paradise, Simpang Acai, Kb. IX, Kec. Sungai Gelam, Kabupaten Muaro Jambi, Jambi 36361"
ChIJJazZlnGIJS4RidoVp4KmHDk,Wisata Kampoeng Radja,https://www.google.com/maps/place/Wisata+Kampoeng+Radja/data=!4m7!3m6!1s0x2e25887196d9ac25:0x391ca682a715da89!8m2!3d-1.6342753!4d103.5491872!16s%2Fg%2F1pzvnzhpv!19sChIJJazZlnGIJS4RidoVp4KmHDk?authuser=0&hl=id&rclk=1,Taman Hiburan,"Taman Hiburan, Taman, Tujuan Wisata",4.2,2060,"Wisata Kampoeng Radja, Jl. Lkr. Barat 3 No.108, Kenali Besar, Kec. Kota Baru, Kota Jambi, Jambi 36361"
ChIJDZzqCVyIJS4RrlssWZexkzA,Taman Anggrek Sri Sudewi - Jambi,https://www.google.com/maps/place/Taman+Anggrek+Sri+Sudewi+-+Jambi/data=!4m7!3m6!1s0x2e25885c09ea9c0d:0x3093b197592c5bae!8m2!3d-1.6058921!4d103.5827289!16s%2Fg%2F11bysjspss!19sChIJDZzqCVyIJS4RrlssWZexkzA?authuser=0&hl=id&rclk=1,Taman,Taman,4.2,1780,"9HVM+J3X Taman Anggrek Sri Sudewi - Jambi, Jl. A Yani, Telanaipura, Kec. Telanaipura, Kota Jambi, Jambi 36361"
ChIJB0HWu_2GJS4RLrynVaywm1E,"Taman Hutan Pinus PAL X, Kota Jambi","https://www.google.com/maps/place/Taman+Hutan+Pinus+PAL+X,+Kota+Jambi/data=!4m7!3m6!1s0x2e2586fdbbd64107:0x519bb0ac55a7bc2e!8m2!3d-1.6731669!4d103.5919333!16s%2Fg%2F11fyljz1f2!19sChIJB0HWu_2GJS4RLrynVaywm1E?authuser=0&hl=id&rclk=1",Tujuan Wisata,"Tujuan Wisata, Taman",4.2,1263,"8HGR+PQM Taman Hutan Pinus PAL X, Kota Jambi, Jl. Raya Palembang - Jambi, Kenali Asam Bawah, Kec. Kota Baru, Kota Jambi, Jambi 36129"
ChIJH3rZZhCGJS4RMUQddmq2YO4,Taman Kongkow Kota Jambi,https://www.google.com/maps/place/Taman+Kongkow+Kota+Jambi/data=!4m7!3m6!1s0x2e25861066d97a1f:0xee60b66a761d4431!8m2!3d-1.6394095!4d103.6222213!16s%2Fg%2F11c2kl8nfs!19sChIJH3rZZhCGJS4RMUQddmq2YO4?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.3,1258,"9J6C+6VQ Taman Kongkow Kota Jambi, Paal Lima, Kec. Kota Baru, Kota Jambi, Jambi 36125"
