place_id,name,link,main_category,categories,rating,reviews,address
ChIJEyzN0y2HeC4ROB080owDlTI,Museum Angkut,https://www.google.com/maps/place/Museum+Angkut/data=!4m7!3m6!1s0x2e78872dd3cd2c13:0x3295038cd23c1d38!8m2!3d-7.878809!4d112.5199747!16s%2Fg%2F11clyt6fly!19sChIJEyzN0y2HeC4ROB080owDlTI?authuser=0&hl=id&rclk=1,Museum,"Museum, Museum Seni, Museum Seni Modern, Tujuan Wisata",4.7,54103,"Museum Angkut, Jl. Terusan Sultan Agung No.2, Ngaglik, Kec. Batu, Kota Batu, Jawa Timur 65314"
ChIJh5QNLnZ-eC4RQCvB8atMgLg,Taman Rekreasi Selecta,https://www.google.com/maps/place/Taman+Rekreasi+Selecta/data=!4m7!3m6!1s0x2e787e762e0d9487:0xb8804cabf1c12b40!8m2!3d-7.8183031!4d112.5253337!16s%2Fg%2F11b7rnf310!19sChIJh5QNLnZ-eC4RQCvB8atMgLg?authuser=0&hl=id&rclk=1,Taman Hiburan,"Taman Hiburan, Taman, Tujuan Wisata",4.5,37384,"Taman Rekreasi Selecta, Jl. Raya Selecta No.1, Tulungrejo, Kec. Bumiaji, Kota Batu, Jawa Timur 65336"
ChIJ23IsPzCBeC4RIex3GhfXPpU,Batu Night Spectacular,https://www.google.com/maps/place/Batu+Night+Spectacular/data=!4m7!3m6!1s0x2e7881303f2c72db:0x953ed7171a77ec21!8m2!3d-7.8965273!4d112.5345306!16s%2Fg%2F11cs693vbv!19sChIJ23IsPzCBeC4RIex3GhfXPpU?authuser=0&hl=id&rclk=1,Taman Hiburan,"Taman Hiburan, Tujuan Wisata",4.5,35696,"Batu Night Spectacular, Jl. Hayam Wuruk No.1, Oro-Oro Ombo, Kec. Batu, Kota Batu, Jawa Timur 65316"
ChIJ26tkv1H81y0RX300Hu4mVEU,Danau Unesa Lidah Wetan,https://www.google.com/maps/place/Danau+Unesa+Lidah+Wetan/data=!4m7!3m6!1s0x2dd7fc51bf64abdb:0x455426ee1e347d5f!8m2!3d-7.3014893!4d112.6749246!16s%2Fg%2F11c60jpp5v!19sChIJ26tkv1H81y0RX300Hu4mVEU?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.5,6441,"Danau Unesa Lidah Wetan, Jl. Raya Kampus Unesa, Lidah Wetan, Kec. Lakarsantri, Surabaya, Jawa Timur 60213"
ChIJq6qqqo-HeC4R_k3K1zyP5Us,Desa Wisata Pujonkidul,https://www.google.com/maps/place/Desa+Wisata+Pujonkidul/data=!4m7!3m6!1s0x2e78878faaaaaaab:0x4be58f3cd7ca4dfe!8m2!3d-7.8557059!4d112.4558603!16s%2Fg%2F11f2w5s8vq!19sChIJq6qqqo-HeC4R_k3K1zyP5Us?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,6159,"Desa Wisata Pujonkidul, Pujon Kidul, Pujon, Krajan, Pujon Kidul, Kec. Pujon, Kabupaten Malang, Jawa Timur 65391"
ChIJvb9-F3r61y0RVR3qOPYmyJQ,Taman Harmoni,https://www.google.com/maps/place/Taman+Harmoni/data=!4m7!3m6!1s0x2dd7fa7a177ebfbd:0x94c826f638ea1d55!8m2!3d-7.2952211!4d112.8035603!16s%2Fg%2F11cjj1kf5k!19sChIJvb9-F3r61y0RVR3qOPYmyJQ?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Taman, Tujuan Wisata",4.5,3909,"Taman Harmoni, Jl. Keputih Tegal Tim. II No.249, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111"
ChIJX4QzLp771y0R2veUXeQJVEU,Taman Mayangkara,https://www.google.com/maps/place/Taman+Mayangkara/data=!4m7!3m6!1s0x2dd7fb9e2e33845f:0x455409e45d94f7da!8m2!3d-7.3069994!4d112.7355235!16s%2Fg%2F11g6mdhl44!19sChIJX4QzLp771y0R2veUXeQJVEU?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Taman, Tujuan Wisata",4.5,150,"MPVP+662 Taman Mayangkara, Wonokromo, Kec. Wonokromo, Surabaya, Jawa Timur 60243"
ChIJoXixNGH51y0RSpIJQBU1oD4,Wisata Air Taman Prestasi,https://www.google.com/maps/place/Wisata+Air+Taman+Prestasi/data=!4m7!3m6!1s0x2dd7f96134b178a1:0x3ea035154009924a!8m2!3d-7.2618767!4d112.7432029!16s%2Fg%2F11f0kr9tz8!19sChIJoXixNGH51y0RSpIJQBU1oD4?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,131,"Wisata Air Taman Prestasi, Jl. Ketabang Kali No.2-B, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272"
ChIJjSU3GL771y0RP1aWZQsG5G0,Taman Bungkul,https://www.google.com/maps/place/Taman+Bungkul/data=!4m7!3m6!1s0x2dd7fbbe1837258d:0x6de4060b6596563f!8m2!3d-7.2913468!4d112.7398218!16s%2Fg%2F121_bvsv!19sChIJjSU3GL771y0RP1aWZQsG5G0?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Taman, Tujuan Wisata",4.6,55315,"Taman Bungkul, Jl. Taman Bungkul, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241"
ChIJqcwgxR94eC4RWv6VdHLqYJw,Air Terjun Dlundung,https://www.google.com/maps/place/Air+Terjun+Dlundung/data=!4m7!3m6!1s0x2e78781fc520cca9:0x9c60ea727495fe5a!8m2!3d-7.6818774!4d112.5938116!16s%2Fg%2F11b825pbgy!19sChIJqcwgxR94eC4RWv6VdHLqYJw?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.5,7778,"Air Terjun Dlundung, Wisata Dlundung Desa, Hutan, Ketapanrame, Kec. Trawas, Kabupaten Mojokerto, Jawa Timur 61375"
ChIJMa7zEGH51y0Rzj6d9A9drqg,Taman Apsari,https://www.google.com/maps/place/Taman+Apsari/data=!4m7!3m6!1s0x2dd7f96110f3ae31:0xa8ae5d0ff49d3ece!8m2!3d-7.2637501!4d112.7428529!16s%2Fg%2F11csqvx0mp!19sChIJMa7zEGH51y0Rzj6d9A9drqg?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.6,7372,"Taman Apsari, Jl. Taman Apsari No.63, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
