place_id,name,link,main_category,categories,rating,reviews,address
ChIJXTy7yfylCS4RA-rpRDaOuN0,Taman Nasional Tanjung Puting,https://www.google.com/maps/place/Taman+Nasional+Tanjung+Puting/data=!4m7!3m6!1s0x2e09a5fcc9bb3c5d:0xddb88e3644e9ea03!8m2!3d-3.0550149!4d111.9184136!16s%2Fm%2F06w61t2!19sChIJXTy7yfylCS4RA-rpRDaOuN0?authuser=0&hl=id&rclk=1,Taman Nasional,"Taman Nasional, Tujuan Wisata",4.7,1202,"Taman Nasional Tanjung Puting, Tlk. Pulai, Kec. Kumai, Kabupaten Kotawaringin Barat, Kalimantan Tengah 74181"
ChIJYYnYOACz_C0RK4eN2n3FRqg,Wisata Lewu Bue,https://www.google.com/maps/place/Wisata+Lewu+Bue/data=!4m7!3m6!1s0x2dfcb30038d88961:0xa846c57dda8d872b!8m2!3d-1.9324759!4d113.7249119!16s%2Fg%2F11pw8mzz7b!19sChIJYYnYOACz_C0RK4eN2n3FRqg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,43,"Wisata Lewu Bue, Jl TMMD UPT No.KM.38, RT.004/RW.002, Sei Gohong, Kec. Bukit Batu, Kota Palangka Raya, Kalimantan Tengah"
ChIJVXdKjKz7CC4RVsGh8Evm4OM,TANJUNG PUTING TOURISM,https://www.google.com/maps/place/TANJUNG+PUTING+TOURISM/data=!4m7!3m6!1s0x2e08fbac8c4a7755:0xe3e0e64bf0a1c156!8m2!3d-2.7424553!4d111.7261249!16s%2Fg%2F11t1jpg6qn!19sChIJVXdKjKz7CC4RVsGh8Evm4OM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.9,11,"TANJUNG PUTING TOURISM, Jl. H. Moh. Idris, Kumai Hulu, Kec. Kumai, Kabupaten Kotawaringin Barat, Kalimantan Tengah 74181"
ChIJU1BdzLJN4y0RGhooZ_YcXfo,Dermaga Kereng Bangkirai,https://www.google.com/maps/place/Dermaga+Kereng+Bangkirai/data=!4m7!3m6!1s0x2de34db2cc5d5053:0xfa5d1cf667281a1a!8m2!3d-2.2951961!4d113.906677!16s%2Fg%2F11cmtc6c2v!19sChIJU1BdzLJN4y0RGhooZ_YcXfo?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,3461,"Dermaga Kereng Bangkirai, Kereng Bangkirai, Kec. Sebangau, Kota Palangka Raya, Kalimantan Tengah 73112"
ChIJ36Z_5Le_4i0Re4jklHGaryM,Wisata Ikon Jelawat,https://www.google.com/maps/place/Wisata+Ikon+Jelawat/data=!4m7!3m6!1s0x2de2bfb7e47fa6df:0x23af9a7194e4887b!8m2!3d-2.5401508!4d112.9647799!16s%2Fg%2F11b6qg3zmf!19sChIJ36Z_5Le_4i0Re4jklHGaryM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,3382,"Wisata Ikon Jelawat, Jl. Ahmad Yani No.8, Mentawa Baru Hulu, Kec. Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74312"
ChIJ8___Mluy_C0RC8Q1V1qU5hQ,Taman Pasuk Kameloh,https://www.google.com/maps/place/Taman+Pasuk+Kameloh/data=!4m7!3m6!1s0x2dfcb25b32fffff3:0x14e6945a5735c40b!8m2!3d-2.204185!4d113.920475!16s%2Fg%2F11f3n1ybkd!19sChIJ8___Mluy_C0RC8Q1V1qU5hQ?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Tujuan Wisata",4.5,1996,"QWWC+85H Taman Pasuk Kameloh, Jl. S. Parman, Langkai, Kec. Pahandut, Kota Palangka Raya, Kalimantan Tengah 73111"
ChIJmclTOajq_C0RWbvG0t6axuI,Sungai Batu Sei Gohong,https://www.google.com/maps/place/Sungai+Batu+Sei+Gohong/data=!4m7!3m6!1s0x2dfceaa83953c999:0xe2c69aded2c6bb59!8m2!3d-1.9625469!4d113.7532589!16s%2Fg%2F11cs9yplp4!19sChIJmclTOajq_C0RWbvG0t6axuI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,742,"Sungai Batu Sei Gohong, Sei Gohong, Kec. Bukit Batu, Kota Palangka Raya, Kalimantan Tengah 73112"
ChIJvxbG1w39CC4RXQcH3yCs6Zk,Pantai Kubu,https://www.google.com/maps/place/Pantai+Kubu/data=!4m7!3m6!1s0x2e08fd0dd7c616bf:0x99e9ac20df07075d!8m2!3d-2.8579946!4d111.7010427!16s%2Fg%2F11f2tgp5sh!19sChIJvxbG1w39CC4RXQcH3yCs6Zk?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,731,"4PR2+RC3 Pantai Kubu, Kubu, Kec. Kumai, Kabupaten Kotawaringin Barat, Kalimantan Tengah 74181"
ChIJ1fU8Iv3j_C0Rha5vPGVsTss,Wisata Bukit Batu Pertapaan Tjilik Riwut,https://www.google.com/maps/place/Wisata+Bukit+Batu+Pertapaan+Tjilik+Riwut/data=!4m7!3m6!1s0x2dfce3fd223cf5d5:0xcb4e6c653c6fae85!8m2!3d-1.8951303!4d113.4680533!16s%2Fg%2F11c2np7d7b!19sChIJ1fU8Iv3j_C0Rha5vPGVsTss?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.4,569,"4F39+W6V Wisata Bukit Batu Pertapaan Tjilik Riwut, S, Jl. Trans Kalimantan, Kasongan Lama, Katingan Hilir, Katingan Regency, Central Kalimantan 74461"
ChIJoQROC12y_C0RvlPtz3ZGQ5U,Wisata Flamboyan Bawah,https://www.google.com/maps/place/Wisata+Flamboyan+Bawah/data=!4m7!3m6!1s0x2dfcb25d0b4e04a1:0x95434676cfed53be!8m2!3d-2.2059777!4d113.9285418!16s%2Fg%2F11c66pffjg!19sChIJoQROC12y_C0RvlPtz3ZGQ5U?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,371,"QWVH+JC3 Wisata Flamboyan Bawah, Langkai, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 74874"
ChIJb1b5qkJM4y0RmCDNXUIezfE,Pesona Alam Lestari,https://www.google.com/maps/place/Pesona+Alam+Lestari/data=!4m7!3m6!1s0x2de34c42aaf9566f:0xf1cd1e425dcd2098!8m2!3d-2.295615!4d113.8825728!16s%2Fg%2F11cjqlpfcy!19sChIJb1b5qkJM4y0RmCDNXUIezfE?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",3.9,292,"PV3M+Q24 Pesona Alam Lestari, Kereng Bangkirai, Kec. Sebangau, Kota Palangka Raya, Kalimantan Tengah 74874"
ChIJnX6T3wUA-y0RLckLLACm_uw,Danau Sanggu,https://www.google.com/maps/place/Danau+Sanggu/data=!4m7!3m6!1s0x2dfb0005df937e9d:0xecfea6002c0bc92d!8m2!3d-1.6662108!4d114.8939396!16s%2Fg%2F11g8wyr52g!19sChIJnX6T3wUA-y0RLckLLACm_uw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,216,"8VMV+GH8 Danau Sanggu, Jl. Soekarno - Hatta, Pamait, Kec. Dusun Sel., Kabupaten Barito Selatan, Kalimantan Tengah 73713"
ChIJC9p7bn3A_C0REfm_MNF7glg,Taman Wisata Alam Bukit Tangkiling,https://www.google.com/maps/place/Taman+Wisata+Alam+Bukit+Tangkiling/data=!4m7!3m6!1s0x2dfcc07d6e7bda0b:0x58827bd130bff911!8m2!3d-1.9986201!4d113.75346!16s%2Fg%2F11cp7p__gh!19sChIJC9p7bn3A_C0REfm_MNF7glg?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.2,205,"2Q23+H94 Taman Wisata Alam Bukit Tangkiling, Banturung, Kec. Bukit Batu, Kota Palangka Raya, Kalimantan Tengah 73112"
ChIJP6qVW8qg_i0RX44r_Z1Bh3I,Air Terjun Batu Mahasur,https://www.google.com/maps/place/Air+Terjun+Batu+Mahasur/data=!4m7!3m6!1s0x2dfea0ca5b95aa3f:0x7287419dfd2b8e5f!8m2!3d-1.0897524!4d113.8549018!16s%2Fg%2F11c1n8fdh9!19sChIJP6qVW8qg_i0RX44r_Z1Bh3I?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,203,"WV63+3XR Air Terjun Batu Mahasur, Jl. Damang Pijar, Kuala Kurun, Kec. Kurun, Kabupaten Gunung MAS, Kalimantan Tengah 74571"
ChIJEW4TEXvA_C0RBFgOVg9gx2U,Bukit Baranahu,https://www.google.com/maps/place/Bukit+Baranahu/data=!4m7!3m6!1s0x2dfcc07b11136e11:0x65c7600f560e5804!8m2!3d-1.9934641!4d113.7533625!16s%2Fg%2F11dxcsjx0_!19sChIJEW4TEXvA_C0RBFgOVg9gx2U?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,156,"2Q43+J89 Bukit Baranahu, Banturung, Kec. Bukit Batu, Kota Palangka Raya, Kalimantan Tengah 73112"
ChIJ6UbrsW8U-S0RwSPHNun5jpU,Air Terjun Tosah puruk cahu,https://www.google.com/maps/place/Air+Terjun+Tosah+puruk+cahu/data=!4m7!3m6!1s0x2df9146fb1eb46e9:0x958ef9e936c723c1!8m2!3d-0.778244!4d114.6052749!16s%2Fg%2F11c2qfy635!19sChIJ6UbrsW8U-S0RwSPHNun5jpU?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,113,"6JC4+P42 Air Terjun Tosah puruk cahu, Muara Jaan, Kec. Murung, Kabupaten Murung Raya, Kalimantan Tengah 73911"
ChIJuaK2HE-__C0RErakX9JxSsI,Wisata Danau Tahai,https://www.google.com/maps/place/Wisata+Danau+Tahai/data=!4m7!3m6!1s0x2dfcbf4f1cb6a2b9:0xc24a71d25fa4b612!8m2!3d-2.0280831!4d113.7789272!16s%2Fg%2F11f29znpqt!19sChIJuaK2HE-__C0RErakX9JxSsI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4,67,"XQCH+QH7 Wisata Danau Tahai, Tumbang Tahai, Kec. Bukit Batu, Kota Palangka Raya, Kalimantan Tengah 73112"
ChIJhbxH-NXr_C0RG-Qc8SKcFh8,Danum Bahandang,https://www.google.com/maps/place/Danum+Bahandang/data=!4m7!3m6!1s0x2dfcebd5f847bc85:0x1f169c22f11ce41b!8m2!3d-1.9311239!4d113.7309399!16s%2Fg%2F11q1wrfytj!19sChIJhbxH-NXr_C0RG-Qc8SKcFh8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,54,"3P9J+H94 Danum Bahandang, Unnamed Road, Sei Gohong, Kec. Bukit Batu, Kota Palangka Raya, Kalimantan Tengah 73112"
ChIJE3eJwrFN4y0Rw7p22pZH3vs,Kawasan Wisata Kereng Bengkirai,https://www.google.com/maps/place/Kawasan+Wisata+Kereng+Bengkirai/data=!4m7!3m6!1s0x2de34db1c2897713:0xfbde4796da76bac3!8m2!3d-2.2960709!4d113.9048616!16s%2Fg%2F11m_v_yc6z!19sChIJE3eJwrFN4y0Rw7p22pZH3vs?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,15,"PW33+HWH Kawasan Wisata Kereng Bengkirai, Kereng Bangkirai, Kec. Sebangau, Kota Palangka Raya, Kalimantan Tengah 74874"
ChIJacWMC4O__C0R-9f_jGRdnkg,Danau Telok,https://www.google.com/maps/place/Danau+Telok/data=!4m7!3m6!1s0x2dfcbf830b8cc569:0x489e5d648cffd7fb!8m2!3d-1.987165!4d113.76419!16s%2Fg%2F11r_f38x4z!19sChIJacWMC4O__C0R-9f_jGRdnkg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,3,"2Q77+4M Danau Telok, Banturung, Kec. Bukit Batu, Kota Palangka Raya, Kalimantan Tengah 73112"
