place_id,name,link,main_category,categories,rating,reviews,address
ChIJXdsEUltH8S0RsxA5ED7wib0,Pantai Melawai,https://www.google.com/maps/place/Pantai+Melawai/data=!4m7!3m6!1s0x2df1475b5204db5d:0xbd89f03e103910b3!8m2!3d-1.2787925!4d116.8100665!16s%2Fg%2F11b6hvcq94!19sChIJXdsEUltH8S0RsxA5ED7wib0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,12446,"PRC6+F2P Pantai Melawai, Jl. Pelabuhan Semayang, Prapatan, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76111"
ChIJad2uXFF-9i0RkIRdY1Br1xY,Mahakam Lampion Garden,https://www.google.com/maps/place/Mahakam+Lampion+Garden/data=!4m7!3m6!1s0x2df67e515caedd69:0x16d76b50635d8490!8m2!3d-0.5065446!4d117.1196193!16s%2Fg%2F11b7kc6z28!19sChIJad2uXFF-9i0RkIRdY1Br1xY?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman Hiburan",4.4,5150,"Mahakam Lampion Garden, Jl. Slamet Riyadi No.75, Karang Asam Ilir, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243"
ChIJYfeLjjdH8S0RycDoF4wFERY,Pantai Monpera,https://www.google.com/maps/place/Pantai+Monpera/data=!4m7!3m6!1s0x2df147378e8bf761:0x1611058c17e8c0c9!8m2!3d-1.2798078!4d116.8219289!16s%2Fg%2F1hm2ykrzg!19sChIJYfeLjjdH8S0RycDoF4wFERY?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Pusat Hiburan",4.3,1616,"Pantai Monpera, Jl. Jenderal Sudirman No.1, RT.11, Klandasan Ulu, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur"
ChIJm9g4cKd_9i0RoaxyADVcNLc,Taman Tepian Mahakam,https://www.google.com/maps/place/Taman+Tepian+Mahakam/data=!4m7!3m6!1s0x2df67fa77038d89b:0xb7345c350072aca1!8m2!3d-0.5021589!4d117.1418363!16s%2Fg%2F11c5x7nztt!19sChIJm9g4cKd_9i0RoaxyADVcNLc?authuser=0&hl=id&rclk=1,Taman Hiburan,"Taman Hiburan, Taman, Tujuan Wisata",4.4,1294,"F4XR+4PP Taman Tepian Mahakam, Jl. Gajah Mada, Bugis, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242"
ChIJL6hP0T209i0R8zNNWoGJDZE,Bukit Bangkirai,https://www.google.com/maps/place/Bukit+Bangkirai/data=!4m7!3m6!1s0x2df6b43dd14fa82f:0x910d89815a4d33f3!8m2!3d-1.0252487!4d116.8649419!16s%2Fg%2F120knfvm!19sChIJL6hP0T209i0R8zNNWoGJDZE?authuser=0&hl=id&rclk=1,Hutan Nasional,"Hutan Nasional, Tujuan Wisata",4.5,958,"Bukit Bangkirai, Karya Merdeka, Kec. Samboja, Kabupaten Kutai Kartanegara, Kalimantan Timur 75271"
ChIJiYD_VGzV9S0RaRSBJSlU2nk,Kolam Wisata Tjiu Palace,https://www.google.com/maps/place/Kolam+Wisata+Tjiu+Palace/data=!4m7!3m6!1s0x2df5d56c54ff8089:0x79da542925811469!8m2!3d-0.512054!4d117.193528!16s%2Fg%2F11byp6f1dz!19sChIJiYD_VGzV9S0RaRSBJSlU2nk?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Aula serbaguna, Kolam Memancing, Ruang Serbaguna, Lapangan Futsal, Tempat Bermain Paintball, Restoran, Gedung Pernikahan",4.2,508,"Kolam Wisata Tjiu Palace, Jl. Sultan Sulaiman No.6, Sambutan, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75115"
ChIJUSEfU0hG8S0R38A0QvKnxAs,Danau Cermin Lamaru,https://www.google.com/maps/place/Danau+Cermin+Lamaru/data=!4m7!3m6!1s0x2df14648531f2151:0xbc4a7f24234c0df!8m2!3d-1.1960325!4d116.975654!16s%2Fg%2F11bt_hq94j!19sChIJUSEfU0hG8S0R38A0QvKnxAs?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,3.8,308,"RX3G+H7J Danau Cermin Lamaru, Lamaru, Kec. Balikpapan Tim., Kota Balikpapan, Kalimantan Timur 76118"
ChIJs9jXD5J_9i0RlxqWIGA5SC0,Bukit Selili,https://www.google.com/maps/place/Bukit+Selili/data=!4m7!3m6!1s0x2df67f920fd7d8b3:0x2d48396020961a97!8m2!3d-0.5147211!4d117.1610335!16s%2Fg%2F11bxf5f12h!19sChIJs9jXD5J_9i0RlxqWIGA5SC0?authuser=0&hl=id&rclk=1,Area Mendaki,"Area Mendaki, Tujuan Wisata",4.6,266,"F5P6+4C7 Bukit Selili, Selili, Kec. Samarinda Ilir, Kota Samarinda, Kalimantan Timur 75251"
ChIJbRiUM5B_9i0RLQfpkqGhUgw,Wisata tebing lonceng,https://www.google.com/maps/place/Wisata+tebing+lonceng/data=!4m7!3m6!1s0x2df67f903394186d:0xc52a1a192e9072d!8m2!3d-0.5352404!4d117.1476597!16s%2Fg%2F11ftl2d8bl!19sChIJbRiUM5B_9i0RLQfpkqGhUgw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,239,"Wisata tebing lonceng, Jl. Dwikora, Rapak Dalam, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75251"
ChIJm8UtRh3X9S0RGMRHLzkANEw,Kali Tanah Merah,https://www.google.com/maps/place/Kali+Tanah+Merah/data=!4m7!3m6!1s0x2df5d71d462dc59b:0x4c3400392f47c418!8m2!3d-0.4335005!4d117.2340309!16s%2Fg%2F1hc0grzfz!19sChIJm8UtRh3X9S0RGMRHLzkANEw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,3.7,182,"H68M+HJR Kali Tanah Merah, Jl. Muara Badak - Samarinda, Tanah Merah, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75116"
ChIJhWA8N4IRCjIRWF7u9Zw1ps0,Bukit Kusnodo,https://www.google.com/maps/place/Bukit+Kusnodo/data=!4m7!3m6!1s0x320a1182373c6085:0xcda6359cf5ee5e58!8m2!3d0.164269!4d117.44859!16s%2Fg%2F11g6mrbmkn!19sChIJhWA8N4IRCjIRWF7u9Zw1ps0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,123,"5C7X+PC4 Bukit Kusnodo, Jl. Pipa Kusnodo, Tlk. Pandan, Kec. Tlk. Pandan, Kabupaten Kutai Timur, Kalimantan Timur 75321"
ChIJB655WoYj-C0ROicki6PgVU8,Jantur Inar (Inar Waterfalls),https://www.google.com/maps/place/Jantur+Inar+%28Inar+Waterfalls%29/data=!4m7!3m6!1s0x2df823865a79ae07:0x4f55e0a38b24273a!8m2!3d-0.2991375!4d115.5479219!16s%2Fg%2F11hymmd_mz!19sChIJB655WoYj-C0ROicki6PgVU8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,103,"PG2X+85V Jantur Inar (Inar Waterfalls), Terajuk, Kec. Nyuatan, Kabupaten Kutai Barat, Kalimantan Timur 75777"
ChIJYYzYvIo39i0R-r_KjuPhwag,Desa Wisata Pela,https://www.google.com/maps/place/Desa+Wisata+Pela/data=!4m7!3m6!1s0x2df6378abcd88c61:0xa8c1e1e38ecabffa!8m2!3d-0.2408157!4d116.5407646!16s%2Fg%2F11l99sw_2f!19sChIJYYzYvIo39i0R-r_KjuPhwag?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.8,71,"QG5R+M8C Desa Wisata Pela, Liang Ulu, Kec. Kota Bangun, Kabupaten Kutai Kartanegara, Kalimantan Timur 75561"
ChIJu6e2bSan9y0Rr0IsQ8glwfk,Danau Jempang Tanjung Isuy,https://www.google.com/maps/place/Danau+Jempang+Tanjung+Isuy/data=!4m7!3m6!1s0x2df7a7266db6a7bb:0xf9c125c8432c42af!8m2!3d-0.5095253!4d116.1494942!16s%2Fg%2F11hbfk4dyz!19sChIJu6e2bSan9y0Rr0IsQ8glwfk?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,47,"F4RX+5QQ Danau Jempang Tanjung Isuy, Tj. Isuy, Kec. Jempang, Kabupaten Kutai Barat, Kalimantan Timur 75773"
ChIJaQZbqPgzCDIRoUrCtoIARBY,Pulau sahrai kembang janggut,https://www.google.com/maps/place/Pulau+sahrai+kembang+janggut/data=!4m7!3m6!1s0x320833f8a85b0669:0x16440082b6c24aa1!8m2!3d0.1706868!4d116.3335176!16s%2Fg%2F11fnxr7x2j!19sChIJaQZbqPgzCDIRoUrCtoIARBY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4,25,"Pulau sahrai kembang janggut, Kotabangun - Tabang, Kembang Janggut, Kec. Kembang Janggut, Kabupaten Kutai Kartanegara, Kalimantan Timur 75557"
ChIJq6qqqqpH9i0RDnf7tdzAU6c,Danau Semayang,https://www.google.com/maps/place/Danau+Semayang/data=!4m7!3m6!1s0x2df647aaaaaaaaab:0xa753c0dcb5fb770e!8m2!3d-0.2439962!4d116.4883541!16s%2Fg%2F11b7hlx3dw!19sChIJq6qqqqpH9i0RDnf7tdzAU6c?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4,20,"QF4Q+C85 Danau Semayang, Sumber Sari, Kec. Kota Bangun, Kabupaten Kutai Kartanegara, Kalimantan Timur 75561"
ChIJ57LnGZFJCjIRHrTO3ZCWbro,Pantai Tanjung Harapan,https://www.google.com/maps/place/Pantai+Tanjung+Harapan/data=!4m7!3m6!1s0x320a499119e7b2e7:0xba6e9690ddceb41e!8m2!3d0.409676!4d117.591415!16s%2Fg%2F11fn4mhcm8!19sChIJ57LnGZFJCjIRHrTO3ZCWbro?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,3.9,16,"Pantai Tanjung Harapan, Singa Geweh, Kec. Sangatta Sel., Kabupaten Kutai Timur, Kalimantan Timur 75683"
ChIJIbWOSwp_9i0R8VpXyeXLEjM,Puncak Wiratama,https://www.google.com/maps/place/Puncak+Wiratama/data=!4m7!3m6!1s0x2df67f0a4b8eb521:0x3312cbe5c9575af1!8m2!3d-0.4900175!4d117.13644!16s%2Fg%2F11qqdb2nm3!19sChIJIbWOSwp_9i0R8VpXyeXLEjM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.8,8,"Puncak Wiratama, Jl. Wiratama, Air Hitam, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243"
ChIJXecMNgpLCTIR3Dy8gjx585s,Ekowisata Danau Lelhut,https://www.google.com/maps/place/Ekowisata+Danau+Lelhut/data=!4m7!3m6!1s0x32094b0a360ce75d:0x9bf3793c82bc3cdc!8m2!3d1.0679282!4d116.8522!16s%2Fg%2F11pk9fm36w!19sChIJXecMNgpLCTIR3Dy8gjx585s?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,5,"3V92+5V Ekowisata Danau Lelhut, Desa Nehas Liah Bing, Sidomulyo, Kec. Kongbeng, Kabupaten Kutai Timur, Kalimantan Timur 75655"
ChIJxbm0-uc39i0R8aiqrW5M4AY,Wisata Muhuran,https://www.google.com/maps/place/Wisata+Muhuran/data=!4m7!3m6!1s0x2df637e7fab4b9c5:0x6e04c6eadaaa8f1!8m2!3d-0.2071033!4d116.5473796!16s%2Fg%2F11v68mqnsk!19sChIJxbm0-uc39i0R8aiqrW5M4AY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,,,"QGVW+5XH Wisata Muhuran, Muhuran, Kec. Kota Bangun, Kabupaten Kutai Kartanegara, Kalimantan Timur 75561"
