place_id,name,link,main_category,categories,rating,reviews,address
ChIJ7amgSJSKEzIR4Ls6XSYvrws,Kawasan Konservasi Mangrove Dan Bekantan,https://www.google.com/maps/place/Kawasan+Konservasi+Mangrove+Dan+Bekantan/data=!4m7!3m6!1s0x32138a9448a0a9ed:0xbaf2f265d3abbe0!8m2!3d3.3044643!4d117.5757688!16s%2Fg%2F1pv0251wb!19sChIJ7amgSJSKEzIR4Ls6XSYvrws?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Perusahaan riset geologi, Taman",4.3,2487,"Kawasan Konservasi Mangrove Dan Bekantan, Karang Rejo, Tarakan Barat, Karang Rejo, Kec. Tarakan Bar., Kota Tarakan, Kalimantan Utara"
ChIJqT8iv_6KEzIRE5ThQG9_-4c,Taman Berlabuh,https://www.google.com/maps/place/Taman+Berlabuh/data=!4m7!3m6!1s0x32138afebf223fa9:0x87fb7f6f40e19413!8m2!3d3.2863568!4d117.5920675!16s%2Fg%2F11c6sn069x!19sChIJqT8iv_6KEzIRE5ThQG9_-4c?authuser=0&hl=id&rclk=1,Pusat Hiburan,"Pusat Hiburan, Taman, Tujuan Wisata",4.3,2007,"7HPR+GRW Taman Berlabuh, Karang Anyar, Kec. Tarakan Bar., Kota Tarakan, Kalimantan Utara"
ChIJ97UdsvbREzIR2WZQU8BWAGc,Wisata Gunung Putih,https://www.google.com/maps/place/Wisata+Gunung+Putih/data=!4m7!3m6!1s0x3213d1f6b21db5f7:0x670056c0535066d9!8m2!3d2.8276566!4d117.3448168!16s%2Fg%2F11c7s294yg!19sChIJ97UdsvbREzIR2WZQU8BWAGc?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",3.9,317,"R8HV+3W8 Wisata Gunung Putih, Tj. Palas Tengah, Kec. Tj. Palas, Kabupaten Bulungan, Kalimantan Utara 77211"
ChIJbzoUnDGhFTIRblHS-8c_eXg,Tugu Garuda Perkasa,https://www.google.com/maps/place/Tugu+Garuda+Perkasa/data=!4m7!3m6!1s0x3215a1319c143a6f:0x78793fc7fbd2516e!8m2!3d4.1620384!4d117.8805545!16s%2Fg%2F11gjgyfkf1!19sChIJbzoUnDGhFTIRblHS-8c_eXg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,148,"5V6J+R67 Tugu Garuda Perkasa, Pancang, Kec. Sebatik, Kabupaten Nunukan, Kalimantan Utara 77483"
ChIJl4raRmvOEzIR-6OTE_Ta0I0,Taman Cendrawasih,https://www.google.com/maps/place/Taman+Cendrawasih/data=!4m7!3m6!1s0x3213ce6b46da8a97:0x8dd0daf41393a3fb!8m2!3d2.8367673!4d117.3856742!16s%2Fg%2F11clvcz7_8!19sChIJl4raRmvOEzIR-6OTE_Ta0I0?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.1,130,"R9PP+P73 Taman Cendrawasih, Tj. Selor Hilir, Kec. Tj. Selor, Kabupaten Bulungan, Kalimantan Utara 77215"
ChIJn8BRiQ11FDIRezYnPVyaOk8,Wisata Persemaian,https://www.google.com/maps/place/Wisata+Persemaian/data=!4m7!3m6!1s0x3214750d8951c09f:0x4f3a9a5c3d27367b!8m2!3d3.3559286!4d117.5692895!16s%2Fg%2F11ftwg9lk1!19sChIJn8BRiQ11FDIRezYnPVyaOk8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,117,"9H49+9PF Wisata Persemaian, Juata Kerikil, Kec. Tarakan Utara, Kota Tarakan, Kalimantan Utara"
ChIJ_0n6YNbOEzIRNJMYOAEp938,Selimau Park,https://www.google.com/maps/place/Selimau+Park/data=!4m7!3m6!1s0x3213ced660fa49ff:0x7ff7290138189334!8m2!3d2.854436!4d117.448445!16s%2Fg%2F11g7klbtbt!19sChIJ_0n6YNbOEzIRNJMYOAEp938?authuser=0&hl=id&rclk=1,Taman Hiburan,"Taman Hiburan, Taman, Tujuan Wisata",3.3,86,"VC3X+Q9G Selimau Park, Jalan Sunan Ampel, Tj. Selor Tim., Kec. Tj. Selor, Kabupaten Bulungan, Kalimantan Utara 77212"
ChIJHbW3dtMyEjIRf2F5JhUKBsI,Crown Water Sport Bulungan,https://www.google.com/maps/place/Crown+Water+Sport+Bulungan/data=!4m7!3m6!1s0x321232d376b7b51d:0xc2060a152679617f!8m2!3d2.7487367!4d117.4017582!16s%2Fg%2F11cmq_s6lr!19sChIJHbW3dtMyEjIRf2F5JhUKBsI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,3.8,65,"PCX2+FPR Crown Water Sport Bulungan, Jelarai Selor, Kec. Tj. Selor, Kabupaten Bulungan, Kalimantan Utara 77212"
ChIJ3ed1jlIoFzIRNA6FdS_jguY,Semolon Waterfall,https://www.google.com/maps/place/Semolon+Waterfall/data=!4m7!3m6!1s0x321728528e75e7dd:0xe682e32f75850e34!8m2!3d3.4657502!4d116.3828751!16s%2Fg%2F11by_dqqx_!19sChIJ3ed1jlIoFzIRNA6FdS_jguY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,58,"F98M+852 Semolon Waterfall, Harapan Maju, Kec. Mentarang, Kabupaten Malinau, Kalimantan Utara 77554"
ChIJuQG6fK51FDIR0GgwChBcoOM,Taman langit tarakan,https://www.google.com/maps/place/Taman+langit+tarakan/data=!4m7!3m6!1s0x321475ae7cba01b9:0xe3a05c100a3068d0!8m2!3d3.3196537!4d117.5829329!16s%2Fg%2F11jzq7p1js!19sChIJuQG6fK51FDIR0GgwChBcoOM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4,51,"Taman langit tarakan, Jl. Mulawarman No.RT 044, Karanganyar, Gunung Peningki, Kota Tarakan, Kalimantan Utara 77111"
ChIJm2jeAa2JEzIR0tkPxk7ifGw,Tugu Pantai Amal (Wisata Pantai Amal),https://www.google.com/maps/place/Tugu+Pantai+Amal+%28Wisata+Pantai+Amal%29/data=!4m7!3m6!1s0x321389ad01de689b:0x6c7ce24ec60fd9d2!8m2!3d3.3044579!4d117.6570638!16s%2Fg%2F11pwt2bb3p!19sChIJm2jeAa2JEzIR0tkPxk7ifGw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,10,"8M34+QRP Tugu Pantai Amal (Wisata Pantai Amal), Unnamed Road, Pantai Amal, Kec. Tarakan Tim., Kota Tarakan, Kalimantan Utara"
ChIJR7kVTBjhEzIRgakLbB9ffWY,Batu tumpuk Tanjung Palas Utara,https://www.google.com/maps/place/Batu+tumpuk+Tanjung+Palas+Utara/data=!4m7!3m6!1s0x3213e1184c15b947:0x667d5f1f6c0ba981!8m2!3d3.0789269!4d117.2026192!16s%2Fg%2F11hdx7t2r1!19sChIJR7kVTBjhEzIRgakLbB9ffWY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,3.5,8,"36H3+H2H Batu tumpuk Tanjung Palas Utara, Panca Agung, Kec. Tj. Palas Utara, Kabupaten Bulungan, Kalimantan Utara 77215"
ChIJ8ee6kDzXFjIRBkI0Mr7Wpng,Sungai Sentaban,https://www.google.com/maps/place/Sungai+Sentaban/data=!4m7!3m6!1s0x3216d73c90bae7f1:0x78a6d6be32344206!8m2!3d3.4944832!4d116.4864955!16s%2Fg%2F11s7k_05m2!19sChIJ8ee6kDzXFjIRBkI0Mr7Wpng?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.8,5,"FFVP+QHX Sungai Sentaban, Sentaban, Kec. Malinau Bar., Kabupaten Malinau, Kalimantan Utara"
