place_id,name,link,main_category,categories,rating,reviews,address
ChIJffeF0FwuzC0RMV3_B9KDAPM,Bukit Selong,https://www.google.com/maps/place/Bukit+Selong/data=!4m7!3m6!1s0x2dcc2e5cd085f77d:0xf30083d207ff5d31!8m2!3d-8.3642771!4d116.5400712!16s%2Fg%2F11cmrz6jn5!19sChIJffeF0FwuzC0RMV3_B9KDAPM?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Area Mendaki",4.6,1419,"Bukit Selong, Sembalun Lawang, Kec. Sembalun, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83656"
ChIJaf7F1c0AzS0RqjghvCiRNe0,Batu Payung,https://www.google.com/maps/place/Batu+Payung/data=!4m7!3m6!1s0x2dcd00cdd5c5fe69:0xed359128bc2138aa!8m2!3d-8.9192726!4d116.3308979!16s%2Fg%2F11b7yq8_zj!19sChIJaf7F1c0AzS0RqjghvCiRNe0?authuser=0&hl=id&rclk=1,Titik Pemandangan,"Titik Pemandangan, Tujuan Wisata",4.4,456,"Batu Payung, Jalan Kuta Lombok, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573"
ChIJe_oKWgnJzS0RuSdrJCLh72Q,Desa Wisata Sesaot,https://www.google.com/maps/place/Desa+Wisata+Sesaot/data=!4m7!3m6!1s0x2dcdc9095a0afa7b:0x64efe122246b27b9!8m2!3d-8.5400401!4d116.2441693!16s%2Fg%2F11pf80256f!19sChIJe_oKWgnJzS0RuSdrJCLh72Q?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Biro Wisata",4.4,185,"Desa Wisata Sesaot, Sesaot, Kec. Narmada, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83371"
ChIJswAMXCuQzS0R5NZBB2ESSnA,Bangko Bangko,https://www.google.com/maps/place/Bangko+Bangko/data=!4m7!3m6!1s0x2dcd902b5c0c00b3:0x704a12610741d6e4!8m2!3d-8.7263472!4d115.8576509!16s%2Fg%2F11b8z_f9rw!19sChIJswAMXCuQzS0R5NZBB2ESSnA?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,172,"7VF5+F36 Bangko Bangko, Jalan Putih, Batu Putih, Kec. Sekotong, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83365"
ChIJn1laO6izzS0RzIjQ0qj2jA8,Bukit Merese,https://www.google.com/maps/place/Bukit+Merese/data=!4m7!3m6!1s0x2dcdb3a83b5a599f:0xf8cf6a8d2d088cc!8m2!3d-8.9139299!4d116.3190063!16s%2Fg%2F11c1p92mc8!19sChIJn1laO6izzS0RzIjQ0qj2jA8?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Area Mendaki",4.7,6612,"Bukit Merese, Jl. Kuta Lombok, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573"
ChIJsy7ji2gHzS0RW2G7mBJaK0o,Pantai Seger Kuta Lombok,https://www.google.com/maps/place/Pantai+Seger+Kuta+Lombok/data=!4m7!3m6!1s0x2dcd07688be32eb3:0x4a2b5a1298bb615b!8m2!3d-8.907198!4d116.2970394!16s%2Fg%2F11cjh_bn9b!19sChIJsy7ji2gHzS0RW2G7mBJaK0o?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,1497,"Pantai Seger Kuta Lombok, Kuta, Pujut, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573"
ChIJJRN1XRiozS0RUGNX9NnWw5g,Bat Cave of Goa Bangkang Prabu_Kuta,https://www.google.com/maps/place/Bat+Cave+of+Goa+Bangkang+Prabu_Kuta/data=!4m7!3m6!1s0x2dcda8185d751325:0x98c3d6d9f4576350!8m2!3d-8.8866277!4d116.2547365!16s%2Fg%2F11c5_j78tb!19sChIJJRN1XRiozS0RUGNX9NnWw5g?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.3,408,"Bat Cave of Goa Bangkang Prabu_Kuta, Prabu, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573"
ChIJEUp4Bp2Oyy0R47n1_-K_mDw,Wisata Alam Semongkat,https://www.google.com/maps/place/Wisata+Alam+Semongkat/data=!4m7!3m6!1s0x2dcb8e9d06784a11:0x3c98bfe2fff5b9e3!8m2!3d-8.5742263!4d117.3133257!16s%2Fg%2F11c4b9pxtr!19sChIJEUp4Bp2Oyy0R47n1_-K_mDw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,202,"C8G7+884 Wisata Alam Semongkat, Batudulang, Kec. Batulanteh, Kabupaten Sumbawa, Nusa Tenggara Bar. 84361"
ChIJMyTwwp6Zyy0RxM2dNmQx2ik,Taman Wisata Liang Bukal,https://www.google.com/maps/place/Taman+Wisata+Liang+Bukal/data=!4m7!3m6!1s0x2dcb999ec2f02433:0x29da3164369dcdc4!8m2!3d-8.6927287!4d117.4908738!16s%2Fg%2F11c76jk3n_!19sChIJMyTwwp6Zyy0RxM2dNmQx2ik?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,101,"Taman Wisata Liang Bukal, Batutering, Kec. Moyo Hulu, Kabupaten Sumbawa, Nusa Tenggara Bar. 84371"
ChIJ38zY-63WzS0R3iBfuEFsga8,Air Terjun Tiu Sekeper,https://www.google.com/maps/place/Air+Terjun+Tiu+Sekeper/data=!4m7!3m6!1s0x2dcdd6adfbd8ccdf:0xaf816c41b85f20de!8m2!3d-8.3586981!4d116.320385!16s%2Fg%2F11b70kr1hm!19sChIJ38zY-63WzS0R3iBfuEFsga8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,98,"Air Terjun Tiu Sekeper, Santong, Kec. Kayangan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83353"
