place_id,name,link,main_category,categories,rating,reviews,address
ChIJu55D_1jZUCwRbJ9dVrvPZP0,Pantai Nemberala,https://www.google.com/maps/place/Pantai+Nemberala/data=!4m7!3m6!1s0x2c50d958ff439ebb:0xfd64cfbb565d9f6c!8m2!3d-10.889968!4d122.8226098!16s%2Fg%2F11dxkz54pf!19sChIJu55D_1jZUCwRbJ9dVrvPZP0?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Area Rekreasi Alam",4.7,325,"Pantai Nemberala, Nemberala, Kec. Rote Bar., Kabupaten Rote Ndao, Nusa Tenggara Tim."
ChIJvRBb71misi0R-3mFhdnJyEc,Pantai Batu Biru (Blue Stone Beach),https://www.google.com/maps/place/Pantai+Batu+Biru+%28Blue+Stone+Beach%29/data=!4m7!3m6!1s0x2db2a259ef5b10bd:0x47c8c9d9858579fb!8m2!3d-8.8007326!4d121.493543!16s%2Fg%2F11cjj7m6jb!19sChIJvRBb71misi0R-3mFhdnJyEc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,228,"5FXV+PC3 Pantai Batu Biru (Blue Stone Beach), Penggajawa, Kec. Nangapanda, Kabupaten Ende, Nusa Tenggara Tim."
ChIJbaD1hziTsi0RnIuv8veyjf8,Air Terjun Ngaba Tata,https://www.google.com/maps/place/Air+Terjun+Ngaba+Tata/data=!4m7!3m6!1s0x2db2933887f5a06d:0xff8db2f7f2af8b9c!8m2!3d-8.6969761!4d121.2769483!16s%2Fg%2F11g6bjqdhg!19sChIJbaD1hziTsi0RnIuv8veyjf8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,18,"873G+6Q4 Air Terjun Ngaba Tata, Rendu Butowe, Kec. Aesesa Sel., Kabupaten Nagekeo, Nusa Tenggara Tim."
ChIJPUy0fOucViwRyPG3LP_q0cY,Ketapang Satu Beach,https://www.google.com/maps/place/Ketapang+Satu+Beach/data=!4m7!3m6!1s0x2c569ceb7cb44c3d:0xc6d1eaff2cb7f1c8!8m2!3d-10.1567279!4d123.5848816!16s%2Fg%2F11b6x9jjmt!19sChIJPUy0fOucViwRyPG3LP_q0cY?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.2,1185,"RHVM+8X2 Ketapang Satu Beach, Jl. Sumatera, Todekisar, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim."
ChIJnQ7osllksy0RiIrLfbjGdM4,Waerebo Village,https://www.google.com/maps/place/Waerebo+Village/data=!4m7!3m6!1s0x2db36459b2e80e9d:0xce74c6b87dcb8a88!8m2!3d-8.7691132!4d120.2841863!16s%2Fg%2F11b6bn90h1!19sChIJnQ7osllksy0RiIrLfbjGdM4?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,987,"Waerebo Village, Satar Lenda, Kec. Satar Mese Bar., Kabupaten Manggarai, Nusa Tenggara Tim."
ChIJ4e0svS7csi0RK4oHVuLxAOo,Manulalu Panorama,https://www.google.com/maps/place/Manulalu+Panorama/data=!4m7!3m6!1s0x2db2dc2ebd2cede1:0xea00f1e256078a2b!8m2!3d-8.8641982!4d120.9946518!16s%2Fg%2F11cp5qcybc!19sChIJ4e0svS7csi0RK4oHVuLxAOo?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,382,"4XPV+8VC Manulalu Panorama, Tiworiwu, Kec. Jerebuu, Kabupaten Ngada, Nusa Tenggara Tim."
ChIJMza6zNHmsi0RXRhYho-IUyQ,Air Terjun Ogi,https://www.google.com/maps/place/Air+Terjun+Ogi/data=!4m7!3m6!1s0x2db2e6d1ccba3633:0x2453888f8658185d!8m2!3d-8.7737668!4d121.0097148!16s%2Fg%2F11c1p62l8_!19sChIJMza6zNHmsi0RXRhYho-IUyQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,236,"62G5+FVW Air Terjun Ogi, Faobata, Bajawa, Kabupaten Ngada, Nusa Tenggara Tim."
ChIJ1zlYUDvTViwRELvaRFkxSG8,Batu Termanu,https://www.google.com/maps/place/Batu+Termanu/data=!4m7!3m6!1s0x2c56d33b505839d7:0x6f48315944dabb10!8m2!3d-10.6741859!4d123.0952443!16s%2Fg%2F11c1sjglxl!19sChIJ1zlYUDvTViwRELvaRFkxSG8?authuser=0&hl=id&rclk=1,Area Rekreasi Alam,"Area Rekreasi Alam, Tujuan Wisata",4.6,144,"83GW+83H Batu Termanu, Onotali, Kec. Rote Tengah, Kabupaten Rote Ndao, Nusa Tenggara Tim."
ChIJQaymuwlfSywRvazOKkTDTKA,Pantai Puru kambera,https://www.google.com/maps/place/Pantai+Puru+kambera/data=!4m7!3m6!1s0x2c4b5f09bba6ac41:0xa04cc3442aceacbd!8m2!3d-9.4853683!4d120.1281417!16s%2Fg%2F11c70554gd!19sChIJQaymuwlfSywRvazOKkTDTKA?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,125,"G47H+V72 Pantai Puru kambera, Mondu, Kec. Kanatang, Kabupaten Sumba Timur, Nusa Tenggara Tim."
ChIJGaBin9ZTsi0REpC5vGE5fCk,Watu Mitong Riung,https://www.google.com/maps/place/Watu+Mitong+Riung/data=!4m7!3m6!1s0x2db253d69f62a019:0x297c3961bcb99012!8m2!3d-8.386666!4d120.982498!16s%2Fg%2F11fj2c5jqm!19sChIJGaBin9ZTsi0REpC5vGE5fCk?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,97,"Watu Mitong Riung, Sambinasi, Kec. Riung, Kabupaten Ngada, Nusa Tenggara Tim."
