place_id,name,link,main_category,categories,rating,reviews,address
ChIJ463KFENV1DERxErHkxW9PMk,ASIA HERITAGE,https://www.google.com/maps/place/ASIA+HERITAGE/data=!4m7!3m6!1s0x31d4554314caade3:0xc93cbd1593c74ac4!8m2!3d0.6091098!4d101.4319761!16s%2Fg%2F11j8__lv6_!19sChIJ463KFENV1DERxErHkxW9PMk?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.3,3498,"ASIA HERITAGE, Jl. Yos Sudarso No.KM.12, RW.05, Muara Fajar, Kec. Rumbai, Kota Pekanbaru, Riau 28265"
ChIJ6Wd_qX-l1TERYFtloT4lEGM,Labersa Water Park Riau Fantasi,https://www.google.com/maps/place/Labersa+Water+Park+Riau+Fantasi/data=!4m7!3m6!1s0x31d5a57fa97f67e9:0x6310253ea1655b60!8m2!3d0.4465511!4d101.4775117!16s%2Fg%2F11bzt9sqjf!19sChIJ6Wd_qX-l1TERYFtloT4lEGM?authuser=0&hl=id&rclk=1,Taman Rekreasi Air,"Taman Rekreasi Air, Taman Hiburan, Tujuan Wisata",4.2,1653,"Labersa Water Park Riau Fantasi, Jl. Labersa, Simpang Tiga, Kec. Siak Hulu, Kabupaten Kampar, Riau 28284"
ChIJy22bYxcM1TERaKcJwuXdAjU,Jembatan Danau Bingkuang,https://www.google.com/maps/place/Jembatan+Danau+Bingkuang/data=!4m7!3m6!1s0x31d50c17639b6dcb:0x3502dde5c209a768!8m2!3d0.3576096!4d101.2335792!16s%2Fg%2F11by_f02xj!19sChIJy22bYxcM1TERaKcJwuXdAjU?authuser=0&hl=id&rclk=1,Jembatan,"Jembatan, Tujuan Wisata",4.3,583,"965M+2CW Jembatan Danau Bingkuang, Jl. Raya Pekanbaru - Bangkinang, Kuapan, Kec. Tambang, Kabupaten Kampar, Riau 28458"
ChIJU7c2lmiCKi4R9nEjC_sjGDs,Taman Wisata Alam Koboko,https://www.google.com/maps/place/Taman+Wisata+Alam+Koboko/data=!4m7!3m6!1s0x2e2a82689636b753:0x3b1823fb0b2371f6!8m2!3d0.0082086!4d101.2033936!16s%2Fg%2F11d_z1r5ld!19sChIJU7c2lmiCKi4R9nEjC_sjGDs?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,338,"Taman Wisata Alam Koboko, Dusun Koto Rw Muara Sitingkai Jl. Wali Haji Zainuddin (Samping Mesjid Raya, Jl. Lipat Kain No.Desa, Lipat Kain Sel., Kec. Kampar Kiri, Kabupaten Kampar, Riau 28471"
ChIJJYhVuE271TERg-TGprQv_tw,CafeLasta Buluhcina,https://www.google.com/maps/place/CafeLasta+Buluhcina/data=!4m7!3m6!1s0x31d5bb4db8558825:0xdcfe2fb4a6c6e483!8m2!3d0.3780865!4d101.5289048!16s%2Fg%2F11hbkl3t5m!19sChIJJYhVuE271TERg-TGprQv_tw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,285,"CafeLasta Buluhcina, Desa Wisata, Buluh Cina, Kec. Siak Hulu, Kabupaten Kampar, Riau 28452"
ChIJRU7kSl-oKi4RggI_y-BJbAY,Air Terjun Pangkalan Kapas,https://www.google.com/maps/place/Air+Terjun+Pangkalan+Kapas/data=!4m7!3m6!1s0x2e2aa85f4ae44e45:0x66c49e0cb3f0282!8m2!3d-0.0354206!4d100.7716874!16s%2Fg%2F11c1p12fw4!19sChIJRU7kSl-oKi4RggI_y-BJbAY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,38,"XQ7C+RMM Air Terjun Pangkalan Kapas, Lubuk Bigau, Kec. Kampar Kiri Hulu, Kabupaten Kampar, Riau 28471"
ChIJWYOUreqm1TERcWVfQRVSvX0,"Pantai Cinta, Teluk Jering Tambang","https://www.google.com/maps/place/Pantai+Cinta,+Teluk+Jering+Tambang/data=!4m7!3m6!1s0x31d5a6eaad948359:0x7dbd5215415f6571!8m2!3d0.3861839!4d101.4109818!16s%2Fg%2F11f1sylhtp!19sChIJWYOUreqm1TERcWVfQRVSvX0?authuser=0&hl=id&rclk=1",Tujuan Wisata,Tujuan Wisata,4.1,3079,"9CP6+F9H Pantai Cinta, Teluk Jering Tambang, Pantai Cinta Teluk Jering, Tlk. Kenidai, Kec. Tambang, Kabupaten Kampar, Riau 28293"
ChIJAQAAAE041TERRH93IQS-d_Q,Ulu Kasok,https://www.google.com/maps/place/Ulu+Kasok/data=!4m7!3m6!1s0x31d5384d00000001:0xf477be0421777f44!8m2!3d0.2958591!4d100.8566581!16s%2Fg%2F11c747hfl6!19sChIJAQAAAE041TERRH93IQS-d_Q?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,2210,"Ulu Kasok, Pulau Gadang, Tj. Alai, Kec. XIII Koto Kampar, Kabupaten Kampar, Riau 28554"
ChIJoQnBbAG8KS4RqUuVRrb0EhI,Wisata Danau Raja Rengat,https://www.google.com/maps/place/Wisata+Danau+Raja+Rengat/data=!4m7!3m6!1s0x2e29bc016cc109a1:0x1212f4b646954ba9!8m2!3d-0.3683935!4d102.5260951!16s%2Fg%2F11gbk2s5wr!19sChIJoQnBbAG8KS4RqUuVRrb0EhI?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman, Taman Rekreasi Air",4.3,1701,"Wisata Danau Raja Rengat, Danau Raja, Kp. Dagang, Kec. Rengat, Kabupaten Indragiri Hulu, Riau 29319"
ChIJdy9nNV3tKS4RC63Rtg0PzU4,Wisata Alam Pertamina Lirik Riau,https://www.google.com/maps/place/Wisata+Alam+Pertamina+Lirik+Riau/data=!4m7!3m6!1s0x2e29ed5d35672f77:0x4ecd0f0db6d1ad0b!8m2!3d-0.3081746!4d102.3053996!16s%2Fg%2F11bxfjbz0w!19sChIJdy9nNV3tKS4RC63Rtg0PzU4?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Tempat Acara, Tempat Parkir, Tempat Istirahat, Tempat Acara Memancing",4.1,613,"Wisata Alam Pertamina Lirik Riau, Jl. Lintas Sumatra, Lirik Area, Kec. Lirik, Kabupaten Indragiri Hulu, Riau 29353"
ChIJS6qL3WF70zERhfiK7STRdMg,Puncak Kompe,https://www.google.com/maps/place/Puncak+Kompe/data=!4m7!3m6!1s0x31d37b61dd8baa4b:0xc874d124ed8af885!8m2!3d0.2974747!4d100.8541094!16s%2Fg%2F11hbhm1tgq!19sChIJS6qL3WF70zERhfiK7STRdMg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,263,"Puncak Kompe, Jalan Raya Lintas Riau Sumatera Barat No.KM 90, Bangkinang, Kec. XIII Koto Kampar, Kabupaten Kampar, Riau 28284"
ChIJHy3EPdKs1TERv2pQVXWMjUE,Wisata Danau Khayangan,https://www.google.com/maps/place/Wisata+Danau+Khayangan/data=!4m7!3m6!1s0x31d5acd23dc42d1f:0x418d8c7555506abf!8m2!3d0.5856386!4d101.469531!16s%2Fg%2F11dybr3_46!19sChIJHy3EPdKs1TERv2pQVXWMjUE?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,3.8,260,"HFP9+7R2 Wisata Danau Khayangan, Lembah Sari, Kec. Rumbai Pesisir, Kota Pekanbaru, Riau 28261"
ChIJ48vqneML1TERoX0EplJybks,Danau Bokuok,https://www.google.com/maps/place/Danau+Bokuok/data=!4m7!3m6!1s0x31d50be39deacbe3:0x4b6e7252a6047da1!8m2!3d0.3640762!4d101.2662142!16s%2Fg%2F11b6gn84qk!19sChIJ48vqneML1TERoX0EplJybks?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,183,"9778+JFP Danau Bokuok, Aur Sati, Kec. Tambang, Kabupaten Kampar, Riau 28461"
ChIJPWzlsfGn1TERK3ryFV9Q-U8,Pulau Cinta,https://www.google.com/maps/place/Pulau+Cinta/data=!4m7!3m6!1s0x31d5a7f1b1e56c3d:0x4ff9505f15f27a2b!8m2!3d0.3861946!4d101.4109825!16s%2Fg%2F11pzg3gx1g!19sChIJPWzlsfGn1TERK3ryFV9Q-U8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,139,"9CP6+F9H Pulau Cinta, Jl. Dusun Tlk. Jering, Tlk. Kenidai, Kec. Tambang, Kabupaten Kampar, Riau 28293"
ChIJY2jyP2ORKi4R668rAXUIhRA,Air terjun batu dinding,https://www.google.com/maps/place/Air+terjun+batu+dinding/data=!4m7!3m6!1s0x2e2a91633ff26863:0x10850875012bafeb!8m2!3d-0.1804507!4d101.0782189!16s%2Fg%2F11fqppf7wf!19sChIJY2jyP2ORKi4R668rAXUIhRA?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,119,"Air terjun batu dinding, 80km dari, Tj. Belit, Kec. Kampar Kiri Hulu, Kabupaten Kampar, Riau 28471"
ChIJBZrclQO71TERQZgmbYwDEB4,Taman Wisata Alam Buluh Cina,https://www.google.com/maps/place/Taman+Wisata+Alam+Buluh+Cina/data=!4m7!3m6!1s0x31d5bb0395dc9a05:0x1e10038c6d269841!8m2!3d0.3742111!4d101.528542!16s%2Fg%2F11j136x3lv!19sChIJBZrclQO71TERQZgmbYwDEB4?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,101,"9GFH+MCM Taman Wisata Alam Buluh Cina, Buluh Cina, Kec. Siak Hulu, Kabupaten Kampar, Riau 28452"
ChIJ1yxHI7Hh1DERwKAZnWDV3UI,Taman Wisata Petapahan,https://www.google.com/maps/place/Taman+Wisata+Petapahan/data=!4m7!3m6!1s0x31d4e1b123472cd7:0x42ddd5609d19a0c0!8m2!3d0.6063047!4d101.0281267!16s%2Fg%2F11f79ts9kb!19sChIJ1yxHI7Hh1DERwKAZnWDV3UI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,98,"J24H+G7C Taman Wisata Petapahan, Jalan Lintas Petapahan .Komp Central City, Desa, Petapahan, Kec. Tapung, Kabupaten Kampar, Riau 28464"
ChIJeSG_STIf1TERimIPQ8adc-g,Eko Wisata Hutan Adat Imbo Putui,https://www.google.com/maps/place/Eko+Wisata+Hutan+Adat+Imbo+Putui/data=!4m7!3m6!1s0x31d51f3249bf2179:0xe8739dc6430f628a!8m2!3d0.5426115!4d101.0661912!16s%2Fg%2F11qvd15lfd!19sChIJeSG_STIf1TERimIPQ8adc-g?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,46,"G3V8+2FW Eko Wisata Hutan Adat Imbo Putui, Unnamed Road, Petapahan, Kec. Tapung, Kabupaten Kampar, Riau 28464"
ChIJtSmyloKnKi4Rt69PRX-UbUg,Batu Sasak dekat Air Terjun Batang Kapas,https://www.google.com/maps/place/Batu+Sasak+dekat+Air+Terjun+Batang+Kapas/data=!4m7!3m6!1s0x2e2aa78296b229b5:0x486d947f454fafb7!8m2!3d-0.0077375!4d100.8441406!16s%2Fg%2F11c2nkrw5g!19sChIJtSmyloKnKi4Rt69PRX-UbUg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,35,"XRRV+WM2 Batu Sasak dekat Air Terjun Batang Kapas, Batu Sasak, Kec. Kampar Kiri Hulu, Kabupaten Kampar, Riau 28471"
ChIJ7QLx2rU31TERMkVlgKgLZOo,Wisata gulamo,https://www.google.com/maps/place/Wisata+gulamo/data=!4m7!3m6!1s0x31d537b5daf102ed:0xea640ba880654532!8m2!3d0.3145695!4d100.7782579!16s%2Fg%2F11t3zdb0py!19sChIJ7QLx2rU31TERMkVlgKgLZOo?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.8,34,"Wisata gulamo, Jembatan 1 danau PLTA,tanjung alai kec 13 koto kampar, Bangkinang, Kabupaten Kampar, Riau 28453"
