place_id,name,link,main_category,categories,rating,reviews,address
ChIJpbvOnBeIlC0RCwXk_CLzuzQ,Wisata Polewali Mandar - Rawa Bangun,https://www.google.com/maps/place/Wisata+Polewali+Mandar+-+Rawa+Bangun/data=!4m7!3m6!1s0x2d9488179ccebba5:0x34bbf322fce4050b!8m2!3d-3.4197186!4d119.4057384!16s%2Fg%2F11csqcs42b!19sChIJpbvOnBeIlC0RCwXk_CLzuzQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Biro Wisata Balon Udara, Operator Wisata Rafting, Biro Wisata Bawah Laut",4.3,129,"HCJ4+479 Wisata Polewali Mandar - Rawa Bangun, Batetangnga, Kec. Binuang, Kabupaten Polewali Mandar, Sulawesi Barat 91312"
ChIJ5dJKNFKGlC0RYh1paSAHZVU,Limbong Sitodo,https://www.google.com/maps/place/Limbong+Sitodo/data=!4m7!3m6!1s0x2d948652344ad2e5:0x5565072069691d62!8m2!3d-3.3768895!4d119.3669543!16s%2Fg%2F11ckvwcr02!19sChIJ5dJKNFKGlC0RYh1paSAHZVU?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,3.6,23,"J9F8+6QW Limbong Sitodo, Jl. Poros Pokko Kunyi, Kunyi, Kec. Anreapi, Kabupaten Polewali Mandar, Sulawesi Barat 91315"
ChIJjTBq2rDZki0RGax81Kex6L8,Anjungan Pantai Manakarra,https://www.google.com/maps/place/Anjungan+Pantai+Manakarra/data=!4m7!3m6!1s0x2d92d9b0da6a308d:0xbfe8b1a7d47cac19!8m2!3d-2.6713824!4d118.888921!16s%2Fg%2F11b8_pxwys!19sChIJjTBq2rDZki0RGax81Kex6L8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,2091,"Anjungan Pantai Manakarra, Strait, Jl. Yos Sudarso, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511"
ChIJOcIPkuCIlC0RshPQWNrUZpU,Taman dan Pantai Bahari Polewali,https://www.google.com/maps/place/Taman+dan+Pantai+Bahari+Polewali/data=!4m7!3m6!1s0x2d9488e0920fc239:0x9566d4da58d013b2!8m2!3d-3.4384049!4d119.3494925!16s%2Fg%2F11b7hjzs8_!19sChIJOcIPkuCIlC0RshPQWNrUZpU?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.3,1158,"Taman dan Pantai Bahari Polewali, Mammi, Kec. Binuang, Kabupaten Polewali Mandar, Sulawesi Barat"
ChIJDxFgUGK_lC0RfnfCEZSWSLg,Pantai Dato Majene,https://www.google.com/maps/place/Pantai+Dato+Majene/data=!4m7!3m6!1s0x2d94bf625060110f:0xb848969411c2777e!8m2!3d-3.5595037!4d118.9843342!16s%2Fg%2F11c0qfrhpw!19sChIJDxFgUGK_lC0RfnfCEZSWSLg?authuser=0&hl=id&rclk=1,Pantai,Pantai,4.5,1074,"Pantai Dato Majene, Dusun Pangale, Baurung, Kec. Banggae Tim., Kabupaten Majene, Sulawesi Barat 91412"
ChIJPygZ5RCIlC0RL4APYmw2B5w,Wisata Alam Salu Pajaan,https://www.google.com/maps/place/Wisata+Alam+Salu+Pajaan/data=!4m7!3m6!1s0x2d948810e519283f:0x9c07366c620f802f!8m2!3d-3.4160753!4d119.4039903!16s%2Fg%2F11c2lr51nw!19sChIJPygZ5RCIlC0RL4APYmw2B5w?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Area Rekreasi Alam",4.3,522,"HCM3+HH9 Wisata Alam Salu Pajaan, Batetangnga, Kec. Binuang, Kabupaten Polewali Mandar, Sulawesi Barat 91312"
ChIJIZ6tkk3dki0RklC__I1WcDU,Pantai Lombang Lombang,https://www.google.com/maps/place/Pantai+Lombang+Lombang/data=!4m7!3m6!1s0x2d92dd4d92ad9e21:0x3570568dfcbf5092!8m2!3d-2.5722242!4d119.0335866!16s%2Fg%2F11bw46t781!19sChIJIZ6tkk3dki0RklC__I1WcDU?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,281,"C2HM+4C8 Pantai Lombang Lombang, Sinyonyoi, Kec. Kalukku, Kabupaten Mamuju, Sulawesi Barat 91561"
ChIJYxLoFViOlC0RmtBojuZrwHA,Mampie,https://www.google.com/maps/place/Mampie/data=!4m7!3m6!1s0x2d948e5815e81263:0x70c06be68e68d09a!8m2!3d-3.4541754!4d119.2801668!16s%2Fg%2F11b7h9gmbv!19sChIJYxLoFViOlC0RmtBojuZrwHA?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,214,"G7WJ+83F Mampie, Galeso, Kec. Wonomulyo, Kabupaten Polewali Mandar, Sulawesi Barat 91352"
ChIJt-AISNuLlC0R7LaEPLHSgqg,Pulau Pasir Putih,https://www.google.com/maps/place/Pulau+Pasir+Putih/data=!4m7!3m6!1s0x2d948bdb4808e0b7:0xa882d2b13c84b6ec!8m2!3d-3.4890836!4d119.3893223!16s%2Fg%2F11cjk4b94y!19sChIJt-AISNuLlC0R7LaEPLHSgqg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,146,"G96Q+9P8 Pulau Pasir Putih, Tonyamang, Kec. Binuang, Kabupaten Polewali Mandar, Sulawesi Barat 91312"
ChIJSRpgJaeJlC0R2In2Xqg9jik,Wisata Alam Kalibiru Kanang,https://www.google.com/maps/place/Wisata+Alam+Kalibiru+Kanang/data=!4m7!3m6!1s0x2d9489a725601a49:0x298e3da85ef689d8!8m2!3d-3.4147318!4d119.4038471!16s%2Fg%2F11fj7tnxfk!19sChIJSRpgJaeJlC0R2In2Xqg9jik?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,121,"HCP3+4G5 Wisata Alam Kalibiru Kanang, Jl. Mangondang, Batetangnga, Kec. Binuang, Kabupaten Polewali Mandar, Sulawesi Barat 91312"
