place_id,name,link,main_category,categories,rating,reviews,address
ChIJAe8Dxrrivi0RkTTxeTp61F8,Losari Beach Platform,https://www.google.com/maps/place/Losari+Beach+Platform/data=!4m7!3m6!1s0x2dbee2bac603ef01:0x5fd47a3a79f13491!8m2!3d-5.1436198!4d119.4074821!16s%2Fg%2F1pzrzsrwg!19sChIJAe8Dxrrivi0RkTTxeTp61F8?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Tujuan Wisata",4.4,17737,"Losari Beach Platform, Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113"
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Benteng Rotterdam,https://www.google.com/maps/place/Benteng+Rotterdam/data=!4m7!3m6!1s0x2dbf02b011ce37ef:0x28ed3928c1b6cf23!8m2!3d-5.1339524!4d119.4056038!16s%2Fm%2F0fpjfz5!19sChIJ7zfOEbACvy0RI8-2wSg57Sg?authuser=0&hl=id&rclk=1,Bangunan Bersejarah,"Bangunan Bersejarah, Benteng, Museum tempat bersejarah, Museum Sejarah, Museum, Tujuan Wisata",4.5,13293,"Benteng Rotterdam, No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171"
ChIJfb6H9KFYvi0RsCvI4hZz9aw,Taman Arkeologi Leang Leang,https://www.google.com/maps/place/Taman+Arkeologi+Leang+Leang/data=!4m7!3m6!1s0x2dbe58a1f487be7d:0xacf57316e2c82bb0!8m2!3d-4.9782003!4d119.6743606!16s%2Fg%2F11b5m74c13!19sChIJfb6H9KFYvi0RsCvI4hZz9aw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,1735,"Taman Arkeologi Leang Leang, Leang-Leang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561"
ChIJA_o35qbivi0RJ9Fv-OayZBI,Wisata Malino,https://www.google.com/maps/place/Wisata+Malino/data=!4m7!3m6!1s0x2dbee2a6e637fa03:0x1264b2e6f86fd127!8m2!3d-5.2575952!4d119.843837!16s%2Fg%2F11dyqz2kcl!19sChIJA_o35qbivi0RJ9Fv-OayZBI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,619,"PRRV+XG8 Wisata Malino, Malino, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 90131"
ChIJa7mHB0j0uy0RcWnD_bUB4M0,Pantai Marumasa,https://www.google.com/maps/place/Pantai+Marumasa/data=!4m7!3m6!1s0x2dbbf4480787b96b:0xcde001b5fdc36971!8m2!3d-5.5753658!4d120.4593842!16s%2Fg%2F11bw1prn_0!19sChIJa7mHB0j0uy0RcWnD_bUB4M0?authuser=0&hl=id&rclk=1,Area Rekreasi Alam,"Area Rekreasi Alam, Tujuan Wisata",4.4,502,"CFF5+VQ2 Pantai Marumasa, Darubiah, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 92571"
ChIJfyAECGWXlS0R7UyvtJeBF0k,Dutungan Island,https://www.google.com/maps/place/Dutungan+Island/data=!4m7!3m6!1s0x2d9597650804207f:0x49178197b4af4ced!8m2!3d-4.179977!4d119.620817!16s%2Fg%2F11j4nh61n_!19sChIJfyAECGWXlS0R7UyvtJeBF0k?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,387,"Dutungan Island, Jl. Ujung Indah, Cilellang, Kec. Mallusetasi, Kabupaten Barru, Sulawesi Selatan 90753"
ChIJc9xg18BXkS0R-Wc7DatCp_g,Wisata Alam Wai Tiddo,https://www.google.com/maps/place/Wisata+Alam+Wai+Tiddo/data=!4m7!3m6!1s0x2d9157c0d760dc73:0xf8a742ab0d3b67f9!8m2!3d-3.1319384!4d120.2062464!16s%2Fg%2F11jj1h46k9!19sChIJc9xg18BXkS0R-Wc7DatCp_g?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,344,"Wisata Alam Wai Tiddo, Bukit Harapan, Kec. Bua, Kabupaten Luwu, Sulawesi Selatan 91991"
ChIJ0d8mvdcSlC0RIlTrNioz_YU,Wisata Cekong,https://www.google.com/maps/place/Wisata+Cekong/data=!4m7!3m6!1s0x2d9412d7bd26dfd1:0x85fd332a36eb5422!8m2!3d-3.4248672!4d119.7988865!16s%2Fg%2F11c1q70zvw!19sChIJ0d8mvdcSlC0RIlTrNioz_YU?authuser=0&hl=id&rclk=1,Trek Balap Off-Road,"Trek Balap Off-Road, Tujuan Wisata",4.4,114,"HQGX+3H2 Wisata Cekong, Tanete, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan 91752"
ChIJW_XJxVOLvi0RF7doOR7veJ0,Balai Taman Nasional Bantimurung Bulusaraung,https://www.google.com/maps/place/Balai+Taman+Nasional+Bantimurung+Bulusaraung/data=!4m7!3m6!1s0x2dbe8b53c5c9f55b:0x9d78ef1e3968b717!8m2!3d-4.8011838!4d119.8234977!16s%2Fm%2F0b76lm6!19sChIJW_XJxVOLvi0RF7doOR7veJ0?authuser=0&hl=id&rclk=1,Taman Nasional,"Taman Nasional, Tujuan Wisata",4.4,12379,"5RXF+G9H Balai Taman Nasional Bantimurung Bulusaraung, Bentenge, Sulawesi Selatan"
ChIJleApO8v3vi0R8xU5_AQbpcs,Air Terjun Bantimurung,https://www.google.com/maps/place/Air+Terjun+Bantimurung/data=!4m7!3m6!1s0x2dbef7cb3b29e095:0xcba51b04fc3915f3!8m2!3d-5.0161059!4d119.684778!16s%2Fg%2F1pztnrrrp!19sChIJleApO8v3vi0R8xU5_AQbpcs?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,3714,"XMMM+HW2 Air Terjun Bantimurung, Komplek Taman Wisata Bantimurung, Kalabbirang, Kec. Bantimurung, Bantimurung, Sulawesi Selatan 90561"
ChIJv_2QIT30uy0RriiX8ght_7U,Tebing Apparalang,https://www.google.com/maps/place/Tebing+Apparalang/data=!4m7!3m6!1s0x2dbbf43d2190fdbf:0xb5ff6d08f29728ae!8m2!3d-5.5375672!4d120.4495834!16s%2Fg%2F11b6z2_kb_!19sChIJv_2QIT30uy0RriiX8ght_7U?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Area Mendaki",4.7,2362,"FC6X+XRG Tebing Apparalang, Ara, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan"
ChIJzUqjdF_2vi0R1ptg8CvLDzk,Taman Nasional Bantimurung Bulusaraung,https://www.google.com/maps/place/Taman+Nasional+Bantimurung+Bulusaraung/data=!4m7!3m6!1s0x2dbef65f74a34acd:0x390fcb2bf0609bd6!8m2!3d-5.0162561!4d119.6815737!16s%2Fg%2F1hm3sq8k8!19sChIJzUqjdF_2vi0R1ptg8CvLDzk?authuser=0&hl=id&rclk=1,Taman Nasional,"Taman Nasional, Taman, Tujuan Wisata",4.5,2201,"Taman Nasional Bantimurung Bulusaraung, Jln. Poros Maros-Bone Km.12, Kalabbirang, Bantimurung, Kalabbirang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561"
ChIJ5wCm0jLrlS0RhWiqacsMd6Y,Taman Wisata Alam Lejja,https://www.google.com/maps/place/Taman+Wisata+Alam+Lejja/data=!4m7!3m6!1s0x2d95eb32d2a600e7:0xa6770ccb69aa6885!8m2!3d-4.1524437!4d119.7885345!16s%2Fg%2F1ptwyz_h3!19sChIJ5wCm0jLrlS0RhWiqacsMd6Y?authuser=0&hl=id&rclk=1,Pemandian air panas,"Pemandian air panas, Tujuan Wisata",4.4,1961,"Taman Wisata Alam Lejja, Bulue, Kec. Marioriawa, Kabupaten Soppeng, Sulawesi Selatan 90852"
ChIJ-1BwjCK-vi0RQSpEAvjsdsQ,Air Terjun Takapala,https://www.google.com/maps/place/Air+Terjun+Takapala/data=!4m7!3m6!1s0x2dbebe228c7050fb:0xc476ecf802442a41!8m2!3d-5.2746592!4d119.8569436!16s%2Fg%2F11b_2kdbtr!19sChIJ-1BwjCK-vi0RQSpEAvjsdsQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,1799,"PVF5+HW Air Terjun Takapala, Bonto Lerung, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174"
ChIJT1VBZHk9vi0RznvGDmnILMg,Lappa Laona,https://www.google.com/maps/place/Lappa+Laona/data=!4m7!3m6!1s0x2dbe3d796441554f:0xc82cc8690ec67bce!8m2!3d-4.5626829!4d119.7613837!16s%2Fg%2F11h6t3przn!19sChIJT1VBZHk9vi0RznvGDmnILMg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,759,"CQP6+WHC Lappa Laona, Harapan, Kec. Tanete Riaja, Kabupaten Barru, Sulawesi Selatan 90762"
