place_id,name,link,main_category,categories,rating,reviews,address
ChIJP_pBkB7rmC0R3XGDx3V7JyA,labengki sombori,https://www.google.com/maps/place/labengki+sombori/data=!4m7!3m6!1s0x2d98eb1e9041fa3f:0x20277b75c78371dd!8m2!3d-3.9247994!4d122.6519221!16s%2Fg%2F11m0qpn4zf!19sChIJP_pBkB7rmC0R3XGDx3V7JyA?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Fotografer",5,5,"labengki sombori, Mekar, Soropia, Kabupaten Konawe, Sulawesi Tenggara 93471"
ChIJm63s6Y4Ily0Rmpw8UO_GjVc,Danau Biru Kolaka Utara,https://www.google.com/maps/place/Danau+Biru+Kolaka+Utara/data=!4m7!3m6!1s0x2d97088ee9ecad9b:0x578dc6ef503c9c9a!8m2!3d-3.7271598!4d121.0945324!16s%2Fg%2F11c0r3248q!19sChIJm63s6Y4Ily0Rmpw8UO_GjVc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,1021,"73FV+4RM Danau Biru Kolaka Utara, Walasiho, Kec. Wawo, Kabupaten Kolaka Utara, Sulawesi Tenggara 93552"
ChIJ8ZmE4C0Ily0Rr6w1SzGT37s,Pantai Tamborasi,https://www.google.com/maps/place/Pantai+Tamborasi/data=!4m7!3m6!1s0x2d97082de08499f1:0xbbdf93314b35acaf!8m2!3d-3.759009!4d121.119701!16s%2Fg%2F11cm0h96qt!19sChIJ8ZmE4C0Ily0Rr6w1SzGT37s?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,999,"Pantai Tamborasi, Tamborasi, Kec. Wolo, Kabupaten Kolaka, Sulawesi Tenggara"
ChIJAQAAAACLly0R_GFhfOb3sqk,Pantai Mandra Kolaka,https://www.google.com/maps/place/Pantai+Mandra+Kolaka/data=!4m7!3m6!1s0x2d978b0000000001:0xa9b2f7e67c6161fc!8m2!3d-4.0609654!4d121.5912308!16s%2Fg%2F11b7ztt7dd!19sChIJAQAAAACLly0R_GFhfOb3sqk?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.3,679,"WHQR+JF9 Pantai Mandra Kolaka, Lamokato, Kec. Kolaka, Sulawesi Tenggara"
ChIJFy95csPtmC0RxywHaTQBGdg,Wisata Anjungan Teluk Kendari,https://www.google.com/maps/place/Wisata+Anjungan+Teluk+Kendari/data=!4m7!3m6!1s0x2d98edc372792f17:0xd819013469072cc7!8m2!3d-3.9677211!4d122.552394!16s%2Fg%2F11rpwvbt67!19sChIJFy95csPtmC0RxywHaTQBGdg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,470,"Wisata Anjungan Teluk Kendari, Jl. Ir. H. Alala, Tipulu, Kec. Kendari Bar., Kota Kendari, Sulawesi Tenggara"
ChIJI9zR7aE9mC0R0RtJ5MHDOzY,PUNCAK SOROMBIPI,https://www.google.com/maps/place/PUNCAK+SOROMBIPI/data=!4m7!3m6!1s0x2d983da1edd1dc23:0x363bc3c1e4491bd1!8m2!3d-3.9978973!4d121.8583382!16s%2Fg%2F11g02cnfm8!19sChIJI9zR7aE9mC0R0RtJ5MHDOzY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4,233,"2V25+R8W PUNCAK SOROMBIPI, Lalingato, Kec. Tirawuta, Kabupaten Kolaka, Sulawesi Tenggara 93572"
ChIJzbirwBurmS0RoK6SW0slLP0,Air Panas Wawolesea,https://www.google.com/maps/place/Air+Panas+Wawolesea/data=!4m7!3m6!1s0x2d99ab1bc0abb8cd:0xfd2c254b5b92aea0!8m2!3d-3.6962617!4d122.3033268!16s%2Fg%2F11b6sbr1xr!19sChIJzbirwBurmS0RoK6SW0slLP0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,192,"8833+F8W Air Panas Wawolesea, Wawolesea, Kec. Lasolo, Kabupaten Konawe Utara, Sulawesi Tenggara 93352"
ChIJ_____289mC0RA7Q5fM9fLqs,Taman Wisata Hutan Pinus Sorombipi,https://www.google.com/maps/place/Taman+Wisata+Hutan+Pinus+Sorombipi/data=!4m7!3m6!1s0x2d983d6fffffffff:0xab2e5fcf7c39b403!8m2!3d-3.9988843!4d121.859561!16s%2Fg%2F11f1pmvb2d!19sChIJ_____289mC0RA7Q5fM9fLqs?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Area Rekreasi Alam",4.3,77,"2V25+CRV Taman Wisata Hutan Pinus Sorombipi, Lalingato, Kec. Tirawuta, Kabupaten Kolaka, Sulawesi Tenggara 93572"
ChIJ7zUAN4oPoi0RRUCCv02qQKE,DESA Wisata Namu,https://www.google.com/maps/place/DESA+Wisata+Namu/data=!4m7!3m6!1s0x2da20f8a370035ef:0xa140aa4dbf824045!8m2!3d-4.3711717!4d122.8963964!16s%2Fg%2F11c2qnc7z_!19sChIJ7zUAN4oPoi0RRUCCv02qQKE?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,69,"DESA Wisata Namu, Namu, Laonti, Kabupaten Konawe Selatan, Sulawesi Tenggara 93892"
ChIJEV40m_2hmC0R0uflVNXgowE,Permandian air terjun Moramo,https://www.google.com/maps/place/Permandian+air+terjun+Moramo/data=!4m7!3m6!1s0x2d98a1fd9b345e11:0x1a3e0d554e5e7d2!8m2!3d-4.2262591!4d122.7356932!16s%2Fg%2F11swvf7rbw!19sChIJEV40m_2hmC0R0uflVNXgowE?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,30,"QPFP+F7W Permandian air terjun Moramo, Sumber Sari, Kec. Moramo, Kabupaten Konawe Selatan, Sulawesi Tenggara 93395"
