place_id,name,link,main_category,categories,rating,reviews,address
ChIJJb9rcy1RMTARZSxJ7Ow_xqg,Pantai Romantis,https://www.google.com/maps/place/Pantai+Romantis/data=!4m7!3m6!1s0x3031512d736bbf25:0xa8c63fecec492c65!8m2!3d3.5856526!4d99.099502!16s%2Fg%2F11b7q5f6_m!19sChIJJb9rcy1RMTARZSxJ7Ow_xqg?authuser=0&hl=id&rclk=1,Pantai Umum,"Pantai Umum, Tujuan Wisata",4.2,2207,"Pantai Romantis, Jl. Pantai Tengah No.20, Sei Naga Lawan, Kec. Perbaungan, Kabupaten Serdang Bedagai, Sumatera Utara"
ChIJgRX8qv0zMTARklVWHQ2R1w4,Wisata Sawah Pematang Johar,https://www.google.com/maps/place/Wisata+Sawah+Pematang+Johar/data=!4m7!3m6!1s0x303133fdaafc1581:0xed7910d1d565592!8m2!3d3.6951374!4d98.7178291!16s%2Fg%2F11hzs64ps0!19sChIJgRX8qv0zMTARklVWHQ2R1w4?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,1205,"Wisata Sawah Pematang Johar, Jl. Johar Raya Gg. Tanah Wakaf Dusun VI, Pematang Johar, Kec. Labuhan Deli, Kabupaten Deli Serdang, Sumatera Utara 20373"
ChIJfz4giRM2MDARJTHwvVV2dtc,"Warung Nasi Muslim Lia, Perpaduan Masakan TapSel dan Pak - Pak.","https://www.google.com/maps/place/Warung+Nasi+Muslim+Lia,+Perpaduan+Masakan+TapSel+dan+Pak+-+Pak./data=!4m7!3m6!1s0x3030361389203e7f:0xd7767655bdf03125!8m2!3d2.7318457!4d98.3803064!16s%2Fg%2F123975lc!19sChIJfz4giRM2MDARJTHwvVV2dtc?authuser=0&hl=id&rclk=1",Restoran Pakistan,"Restoran Pakistan, Rumah Makan, Taman, Tujuan Wisata",4.5,719,"P9HM+XFJ Warung Nasi Muslim Lia, Perpaduan Masakan TapSel dan Pak - Pak., Taman wisata Iman, Sitinjo I, Kec. Sitinjo, Kabupaten Dairi, Sumatera Utara"
ChIJzSnEJnO-MTARtXqlJzVKTpM,Bukit Indah Simarjarunjung,https://www.google.com/maps/place/Bukit+Indah+Simarjarunjung/data=!4m7!3m6!1s0x3031be7326c429cd:0x934e4a3527a57ab5!8m2!3d2.8133027!4d98.7812646!16s%2Fg%2F11dx8yz3zg!19sChIJzSnEJnO-MTARtXqlJzVKTpM?authuser=0&hl=id&rclk=1,Titik Pemandangan,"Titik Pemandangan, Tujuan Wisata",4.3,7076,"Bukit Indah Simarjarunjung, Jl. Simarjarunjung, Butu Bayu Pane Raja, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163"
ChIJ0VeI7ArsMTAR1JSC5rhTwWQ,Danau Toba Parapat,https://www.google.com/maps/place/Danau+Toba+Parapat/data=!4m7!3m6!1s0x3031ec0aec8857d1:0x64c153b8e68294d4!8m2!3d2.68382!4d98.926076!16s%2Fg%2F11ckr980kr!19sChIJ0VeI7ArsMTAR1JSC5rhTwWQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,4102,"MWMG+GCG Danau Toba Parapat, Jl. Siborong Borong - Parapat, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174"
ChIJx0-3Wt0cMTARKZOuQJM9aHI,Air Terjun Sikulikap,https://www.google.com/maps/place/Air+Terjun+Sikulikap/data=!4m7!3m6!1s0x30311cdd5ab74fc7:0x72683d9340ae9329!8m2!3d3.2454292!4d98.5339921!16s%2Fg%2F11bccml0xl!19sChIJx0-3Wt0cMTARKZOuQJM9aHI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,2798,"6GWM+5HH Air Terjun Sikulikap, Desa Doulu Kabupaten Tanah Berastagi, Martelu, Kec. Sibolangit, Kabupaten Karo, Sumatera Utara 20357"
ChIJtWNehNyWMTARj7i6OwefZQk,"Kebun Teh Bahbutong, Sidamanik","https://www.google.com/maps/place/Kebun+Teh+Bahbutong,+Sidamanik/data=!4m7!3m6!1s0x303196dc845e63b5:0x9659f073bbab88f!8m2!3d2.8563119!4d98.9078674!16s%2Fg%2F11cjj0txd4!19sChIJtWNehNyWMTARj7i6OwefZQk?authuser=0&hl=id&rclk=1",Tujuan Wisata,"Tujuan Wisata, Taman",4.5,2440,"VW45+G4H Kebun Teh Bahbutong, Sidamanik, Sidamanik, Kec. Sidamanik, Kabupaten Simalungun, Sumatera Utara 21171"
ChIJE-IFYZgDMTARVzKQbeDdi4k,Bukit Kubu Berastagi,https://www.google.com/maps/place/Bukit+Kubu+Berastagi/data=!4m7!3m6!1s0x303103986105e213:0x898bdde06d903257!8m2!3d3.1976535!4d98.5120191!16s%2Fg%2F11f6cr2xxw!19sChIJE-IFYZgDMTARVzKQbeDdi4k?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Tujuan Wisata",4.5,2307,"Bukit Kubu Berastagi, Jl. Jamin Ginting, Sempajaya, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152"
ChIJByqgK2dsLjARQE3DAwcLYh0,Boli Boli Hot Spring,https://www.google.com/maps/place/Boli+Boli+Hot+Spring/data=!4m7!3m6!1s0x302e6c672ba02a07:0x1d620b0703c34d40!8m2!3d2.0751659!4d98.944113!16s%2Fg%2F11bzq3mnvw!19sChIJByqgK2dsLjARQE3DAwcLYh0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,1586,"Boli Boli Hot Spring, Situmeang Hasundutan, Kec. Sipoholon, Kabupaten Tapanuli Utara, Sumatera Utara 22452"
ChIJ_VVmZyMDMTARfEXsKUurjCg,TAHURA (Taman Hutan Raya),https://www.google.com/maps/place/TAHURA+%28Taman+Hutan+Raya%29/data=!4m7!3m6!1s0x30310323676655fd:0x288cab4b29ec457c!8m2!3d3.2070132!4d98.5377388!16s%2Fg%2F11b6vb2lrw!19sChIJ_VVmZyMDMTARfEXsKUurjCg?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.2,1450,"6G4Q+R35 TAHURA (Taman Hutan Raya), Dolat Rayat, Kec. Dolat Rayat, Kabupaten Karo, Sumatera Utara 22152"
