place_id,name,link,main_category,categories,rating,reviews,address
ChIJl5MfmllXei4RD-EMKO4ov-s,Titik Nol Yogyakarta,https://www.google.com/maps/place/Titik+Nol+Yogyakarta/data=!4m7!3m6!1s0x2e7a57599a1f9397:0xebbf28ee280ce10f!8m2!3d-7.8013966!4d110.3647641!16s%2Fg%2F11h3cbh9_y!19sChIJl5MfmllXei4RD-EMKO4ov-s?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Pusat Rekreasi",4.8,45327,"Titik Nol Yogyakarta, Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
ChIJK8_C0JNXei4RE74coPghaic,Kampung Wisata Taman Sari,https://www.google.com/maps/place/Kampung+Wisata+Taman+Sari/data=!4m7!3m6!1s0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13!8m2!3d-7.810129!4d110.3597186!16s%2Fm%2F0b6gg2m!19sChIJK8_C0JNXei4RE74coPghaic?authuser=0&hl=id&rclk=1,Bangunan Bersejarah,"Bangunan Bersejarah, Tujuan Wisata",4.6,39699,"Kampung Wisata Taman Sari, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133"
ChIJ78cG25ZXei4RbCcrBc9xUjk,Keraton Ngayogyakarta Hadiningrat,https://www.google.com/maps/place/Keraton+Ngayogyakarta+Hadiningrat/data=!4m7!3m6!1s0x2e7a5796db06c7ef:0x395271cf052b276c!8m2!3d-7.8052845!4d110.3642031!16s%2Fm%2F0vb3k_5!19sChIJ78cG25ZXei4RbCcrBc9xUjk?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,36263,"Keraton Ngayogyakarta Hadiningrat, Jl. Rotowijayan Blok No. 1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta"
ChIJQ9a7xAxXei4Rqo39gmCEIU4,XT Square,https://www.google.com/maps/place/XT+Square/data=!4m7!3m6!1s0x2e7a570cc4bbd643:0x4e21846082fd8daa!8m2!3d-7.8167055!4d110.3862889!16s%2Fg%2F1hm60r9m2!19sChIJQ9a7xAxXei4Rqo39gmCEIU4?authuser=0&hl=id&rclk=1,Pusat Bisnis,"Pusat Bisnis, Taman Kota, Gedung Konser, Toko Kerajinan Tangan, Restoran Makanan Sehat, Panggung Musik, Tujuan Wisata",4.4,16214,"XT Square, Jl. Veteran No.150-151, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161"
ChIJV5AY_45Xei4RbblFX2Pgafo,Alun-Alun Lor Keraton Yogyakarta,https://www.google.com/maps/place/Alun-Alun+Lor+Keraton+Yogyakarta/data=!4m7!3m6!1s0x2e7a578eff189057:0xfa69e0635f45b96d!8m2!3d-7.8038975!4d110.3644232!16s%2Fg%2F11d_d50f96!19sChIJV5AY_45Xei4RbblFX2Pgafo?authuser=0&hl=id&rclk=1,Taman,"Taman, Taman Kota, Tujuan Wisata",4.6,5792,"59W7+CQV Alun-Alun Lor Keraton Yogyakarta, Jl. Alun-Alun Utara, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
ChIJTwoHg49Xei4R7sU-xBpDEJ0,Museum Sonobudoyo Unit I,https://www.google.com/maps/place/Museum+Sonobudoyo+Unit+I/data=!4m7!3m6!1s0x2e7a578f83070a4f:0x9d10431ac43ec5ee!8m2!3d-7.8022995!4d110.3643835!16s%2Fg%2F11h1v81d_!19sChIJTwoHg49Xei4R7sU-xBpDEJ0?authuser=0&hl=id&rclk=1,Museum Seni,"Museum Seni, Museum Pusaka, Museum, Tujuan Wisata",4.8,5381,"Museum Sonobudoyo Unit I, Jl. Pangurakan No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
ChIJNWm8WNJZei4RShBAcS6NLdc,Embung Langensari,https://www.google.com/maps/place/Embung+Langensari/data=!4m7!3m6!1s0x2e7a59d258bc6935:0xd72d8d2e7140104a!8m2!3d-7.7866148!4d110.3819311!16s%2Fg%2F11bwkhd4d1!19sChIJNWm8WNJZei4RShBAcS6NLdc?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Tujuan Wisata",4.3,3038,"Embung Langensari, Jl. Kusbini No.35, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222"
ChIJCVctJlxXei4R7ISL-04yGvE,Wisata Kraton Jogja,https://www.google.com/maps/place/Wisata+Kraton+Jogja/data=!4m7!3m6!1s0x2e7a575c262d5709:0xf11a324efb8b84ec!8m2!3d-7.8069587!4d110.3639266!16s%2Fg%2F122zq88b!19sChIJCVctJlxXei4R7ISL-04yGvE?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Museum",4.8,314,"59V7+6H7 Wisata Kraton Jogja, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131"
ChIJie41TidYei4RfMt9SeVTODU,Candi Donotirto,https://www.google.com/maps/place/Candi+Donotirto/data=!4m7!3m6!1s0x2e7a58274e35ee89:0x353853e5497dcb7c!8m2!3d-7.7955613!4d110.3612095!16s%2Fg%2F11bx55_5pt!19sChIJie41TidYei4RfMt9SeVTODU?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,285,"6936+QFG Candi Donotirto, Jl. Jogonegaran, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272"
ChIJySu0kWxXei4RvgZmX1RDaz0,Kampung Wisata Rejowinangun,https://www.google.com/maps/place/Kampung+Wisata+Rejowinangun/data=!4m7!3m6!1s0x2e7a576c91b42bc9:0x3d6b43545f6606be!8m2!3d-7.8152776!4d110.3988359!16s%2Fg%2F11d_2bd91y!19sChIJySu0kWxXei4RvgZmX1RDaz0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,60,"Kampung Wisata Rejowinangun, Jalan Nyi Adisari, Gg. Dahlia I pilahan KG I No.722, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171"
