place_id,name,link,main_category,categories,rating,reviews,address
ChIJ_XUwsaxBQDARaz_Ot_DGm7k,Taman Wisata Burung Dara,https://www.google.com/maps/place/Taman+Wisata+Burung+Dara/data=!4m7!3m6!1s0x304041acb13075fd:0xb99bc6f0b7ce3f6b!8m2!3d5.4053958!4d95.4362969!16s%2Fg%2F11f3wr0rkg!19sChIJ_XUwsaxBQDARaz_Ot_DGm7k?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,3.5,310,"Taman Wisata Burung Dara, Jalan Indrapuri, Reukih Dayah, Kec. Indrapuri, Kabupaten Aceh Besar, Aceh 23363"
ChIJMaZ1h5I7QDARelAtzmj7AEE,"Desa Wisata Nusa, Aceh","https://www.google.com/maps/place/Desa+Wisata+Nusa,+Aceh/data=!4m7!3m6!1s0x30403b928775a631:0x4100fb68ce2d507a!8m2!3d5.4944044!4d95.2676545!16s%2Fg%2F11h0vr_m54!19sChIJMaZ1h5I7QDARelAtzmj7AEE?authuser=0&hl=id&rclk=1",Tujuan Wisata,Tujuan Wisata,4.6,110,"Desa Wisata Nusa, Aceh, jln. banda aceh-meulaboh gampong nusa kecamatan lhoknga kabupaten aceh, besar, Kec. Lhoknga, Kabupaten Aceh Besar, Aceh 23353"
ChIJ44q6vk03QDARrPS8YiXPDE4,Lapangan Blang Padang,https://www.google.com/maps/place/Lapangan+Blang+Padang/data=!4m7!3m6!1s0x3040374dbeba8ae3:0x4e0ccf2562bcf4ac!8m2!3d5.5499808!4d95.3136744!16s%2Fg%2F1pp2w_tf9!19sChIJ44q6vk03QDARrPS8YiXPDE4?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.4,10868,"Lapangan Blang Padang, Kp. Baru, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116"
ChIJY9rQTKYOQDARB3iKeeXRTFw,Puncak Gunung Geurutee,https://www.google.com/maps/place/Puncak+Gunung+Geurutee/data=!4m7!3m6!1s0x30400ea64cd0da63:0x5c4cd1e5798a7807!8m2!3d5.133416!4d95.3076041!16s%2Fg%2F11bymvcp2f!19sChIJY9rQTKYOQDARB3iKeeXRTFw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,3086,"Puncak Gunung Geurutee, Jl. Meulaboh - Banda Aceh, Babah Ie, Jaya, Kabupaten Aceh Jaya, Aceh"
ChIJXV84I1LOQTARhQsFeqgMEbI,Wisata Gua Sarang,https://www.google.com/maps/place/Wisata+Gua+Sarang/data=!4m7!3m6!1s0x3041ce5223385f5d:0xb2110ca87a050b85!8m2!3d5.82735!4d95.2595413!16s%2Fg%2F11cnddnd4y!19sChIJXV84I1LOQTARhQsFeqgMEbI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,1074,"R7G5+WRM Wisata Gua Sarang, Iboih, Sukakarya, Kota Sabang, Aceh"
ChIJ-yw7DmHBPjARR_kidZER2UI,Pantai Ujong Kareung,https://www.google.com/maps/place/Pantai+Ujong+Kareung/data=!4m7!3m6!1s0x303ec1610e3b2cfb:0x42d911917522f947!8m2!3d4.124597!4d96.1279608!16s%2Fg%2F11bw2fx6l_!19sChIJ-yw7DmHBPjARR_kidZER2UI?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.3,625,"44FH+R5P Pantai Ujong Kareung, Kabupaten Aceh Barat, Aceh 23681"
ChIJ8wpEekNKQDARj1zT7Z6TKVg,Pantai Ujong Batee,https://www.google.com/maps/place/Pantai+Ujong+Batee/data=!4m7!3m6!1s0x30404a437a440af3:0x5829939eedd35c8f!8m2!3d5.6499521!4d95.4195857!16s%2Fg%2F11f2lgksly!19sChIJ8wpEekNKQDARj1zT7Z6TKVg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,575,"JCX9+XRP Pantai Ujong Batee, Neuheun, Kec. Mesjid Raya, Kabupaten Aceh Besar, Aceh"
ChIJwYlxfsEwQDARl1gPSomGUPg,Pantai Ulee Lheue,https://www.google.com/maps/place/Pantai+Ulee+Lheue/data=!4m7!3m6!1s0x304030c17e7189c1:0xf85086894a0f5897!8m2!3d5.5643903!4d95.2923091!16s%2Fg%2F11b_2sg65l!19sChIJwYlxfsEwQDARl1gPSomGUPg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,559,"H77R+QW3 Pantai Ulee Lheue, Ulee Lheue, Kec. Meuraxa, Kota Banda Aceh, Aceh"
ChIJb7DfpAtOQDAR-YoaOoAnYA4,Bukit Lamreh,https://www.google.com/maps/place/Bukit+Lamreh/data=!4m7!3m6!1s0x30404e0ba4dfb06f:0xe6027803a1a8af9!8m2!3d5.6161133!4d95.5439356!16s%2Fg%2F11cssx598g!19sChIJb7DfpAtOQDAR-YoaOoAnYA4?authuser=0&hl=id&rclk=1,Cagar Alam,"Cagar Alam, Tujuan Wisata",4.4,441,"JG8V+CHV Bukit Lamreh, Ujung Kelindu,, Lamreh, Kec. Mesjid Raya, Kabupaten Aceh Besar, Aceh"
ChIJgZ2wKK9-RzARL8dmhlqQNtE,Air Terjun Blang Kolam,https://www.google.com/maps/place/Air+Terjun+Blang+Kolam/data=!4m7!3m6!1s0x30477eaf28b09d81:0xd136905a8666c72f!8m2!3d5.0583929!4d97.0122134!16s%2Fg%2F11b6ct39lr!19sChIJgZ2wKK9-RzARL8dmhlqQNtE?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,414,"Air Terjun Blang Kolam, Sido Muliyo, Kec. Kuta Makmur, Kabupaten Aceh Utara, Aceh 24184"
ChIJ0zzgJR7sODARs69RvT37Jrc,Bur Gayo Takengon,https://www.google.com/maps/place/Bur+Gayo+Takengon/data=!4m7!3m6!1s0x3038ec1e25e03cd3:0xb726fb3dbd51afb3!8m2!3d4.609587!4d96.852789!16s%2Fg%2F11cs18gln9!19sChIJ0zzgJR7sODARs69RvT37Jrc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,393,"Bur Gayo Takengon, Bale Bujang, Takengon, One-One, Kec. Lut Tawar, Kabupaten Aceh Tengah, Aceh 24519"
ChIJZSpr40ROOjARQicpX8rN_4o,Air Terjun Tingkat Tujuh,https://www.google.com/maps/place/Air+Terjun+Tingkat+Tujuh/data=!4m7!3m6!1s0x303a4e44e36b2a65:0x8affcdca5f292742!8m2!3d3.2584903!4d97.2076123!16s%2Fg%2F11c2nxp202!19sChIJZSpr40ROOjARQicpX8rN_4o?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,320,"7655+92X Air Terjun Tingkat Tujuh, Propinsi, Batu Itam, Kec. Tapak Tuan, Kabupaten Aceh Selatan, Aceh 23711"
ChIJX_v1rvFPRzARy9j6Db-whkk,PANTAI UJONG SEUKEE,https://www.google.com/maps/place/PANTAI+UJONG+SEUKEE/data=!4m7!3m6!1s0x30474ff1aef5fb5f:0x4986b0bf0dfad8cb!8m2!3d5.2059247!4d96.5698333!16s%2Fg%2F11c2ps8y48!19sChIJX_v1rvFPRzARy9j6Db-whkk?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,308,"PANTAI UJONG SEUKEE, Blang Kubu, Kec. Peudada, Kabupaten Bireuen, Aceh"
ChIJOe6UbhvuODARy2lV5nNC2Po,Ujung Nunang,https://www.google.com/maps/place/Ujung+Nunang/data=!4m7!3m6!1s0x3038ee1b6e94ee39:0xfad84273e65569cb!8m2!3d4.5994437!4d96.9146169!16s%2Fg%2F11dyml_6kt!19sChIJOe6UbhvuODARy2lV5nNC2Po?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,155,"Ujung Nunang, Gn. Suku, Kec. Lut Tawar, Kabupaten Aceh Tengah, Aceh"
ChIJnUEQ0v_wODARSl8QFV7s2dw,Air Terjun Mengaya,https://www.google.com/maps/place/Air+Terjun+Mengaya/data=!4m7!3m6!1s0x3038f0ffd210419d:0xdcd9ec5e15105f4a!8m2!3d4.5702201!4d96.9668122!16s%2Fg%2F11cn5n7wzv!19sChIJnUEQ0v_wODARSl8QFV7s2dw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,152,"Air Terjun Mengaya, Jl. Takengon - Bintang, Kec. Bintang, Mengaya, Kec. Bintang, Takengon, Aceh 24571"
