place_id,name,link,main_category,categories,rating,reviews,address
ChIJq95xT4I30i0RaU3j93Diq8o,Tanah Lot,https://www.google.com/maps/place/Tanah+Lot/data=!4m7!3m6!1s0x2dd237824f71deab:0xcaabe270f7e34d69!8m2!3d-8.621213!4d115.086807!16zL20vMGJ2NGRo!19sChIJq95xT4I30i0RaU3j93Diq8o?authuser=0&hl=id&rclk=1,Titik Pemandangan,"Titik Pemandangan, Tujuan Wisata",4.6,89734,"Tanah Lot, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121"
ChIJx97hVM9E0i0RUVpPBj5miBk,Taman Budaya Garuda Wisnu Kencana,https://www.google.com/maps/place/Taman+Budaya+Garuda+Wisnu+Kencana/data=!4m7!3m6!1s0x2dd244cf54e1dec7:0x1988663e064f5a51!8m2!3d-8.8104228!4d115.1675986!16zL20vMGRyenpx!19sChIJx97hVM9E0i0RUVpPBj5miBk?authuser=0&hl=id&rclk=1,Taman,"Taman, Tujuan Wisata",4.5,59929,"Taman Budaya Garuda Wisnu Kencana, Jl. Raya Uluwatu, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80364"
ChIJZ5sY9kM90i0RVsPvSxZD7LY,Mandala Suci Wenara Wana,https://www.google.com/maps/place/Mandala+Suci+Wenara+Wana/data=!4m7!3m6!1s0x2dd23d43f6189b67:0xb6ec43164befc356!8m2!3d-8.5193727!4d115.2606299!16s%2Fm%2F03wc0td!19sChIJZ5sY9kM90i0RVsPvSxZD7LY?authuser=0&hl=id&rclk=1,Cagar Alam,"Cagar Alam, Tujuan Wisata",4.5,46132,"Mandala Suci Wenara Wana, Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571"
ChIJbZgU8gRb0i0RmWRatK3bd3I,Pantai Pandawa,https://www.google.com/maps/place/Pantai+Pandawa/data=!4m7!3m6!1s0x2dd25b04f214986d:0x7277dbadb45a6499!8m2!3d-8.8454504!4d115.1866116!16s%2Fg%2F12q4w015p!19sChIJbZgU8gRb0i0RmWRatK3bd3I?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Penyelenggara aktivitas luar ruangan, Pusat Informasi Pariwisata",4.6,42116,"553P+R5G Pantai Pandawa, Jl. Pantai Pandawa, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361"
ChIJVwisn2yJ0S0RUxvb5GhlJBg,Pura Ulun Danu Beratan Bedugul,https://www.google.com/maps/place/Pura+Ulun+Danu+Beratan+Bedugul/data=!4m7!3m6!1s0x2dd1896c9fac0857:0x18246568e4db1b53!8m2!3d-8.2751807!4d115.1668234!16s%2Fm%2F05zyg1h!19sChIJVwisn2yJ0S0RUxvb5GhlJBg?authuser=0&hl=id&rclk=1,Pura,"Pura, Tujuan Wisata",4.6,38810,"Pura Ulun Danu Beratan Bedugul, Danau Beratan, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191"
ChIJ0Zo39DZH0i0R0acI0bADr2U,Tirta Gangga,https://www.google.com/maps/place/Tirta+Gangga/data=!4m7!3m6!1s0x2dd24736f4379ad1:0x65af03b0d108a7d1!8m2!3d-8.4123473!4d115.5872919!16s%2Fm%2F09rv951!19sChIJ0Zo39DZH0i0R0acI0bADr2U?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,17513,"HHQQ+836 Tirta Gangga, Jalan Raya Abang Desa Adat Jl. Raya Tirta Gangga, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852"
ChIJE4Bi4H4i0i0R83X6AGpQQ_Q,Alas Harum Bali,https://www.google.com/maps/place/Alas+Harum+Bali/data=!4m7!3m6!1s0x2dd2227ee0628013:0xf443506a00fa75f3!8m2!3d-8.43989!4d115.2806075!16s%2Fg%2F11cjj0wf3v!19sChIJE4Bi4H4i0i0R83X6AGpQQ_Q?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Olahraga Petualangan, Kedai Kopi, Pusat Rekreasi, Restoran, Restoran Vegetarian",4.5,11824,"Alas Harum Bali, Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561"
ChIJL1XuIURB0i0RNRhRbMMJMLI,Upside Down World Bali,https://www.google.com/maps/place/Upside+Down+World+Bali/data=!4m7!3m6!1s0x2dd2414421ee552f:0xb23009c36c511835!8m2!3d-8.716711!4d115.2052612!16s%2Fg%2F11cl_3yx00!19sChIJL1XuIURB0i0RNRhRbMMJMLI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,3846,"Upside Down World Bali, Jl. Bypass Ngurah Rai No.762, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221"
ChIJaUlA7-UI0i0RMYGksT4bx8s,Bukit Asah Desa Bugbug,https://www.google.com/maps/place/Bukit+Asah+Desa+Bugbug/data=!4m7!3m6!1s0x2dd208e5ef404969:0xcbc71b3eb1a48131!8m2!3d-8.505565!4d115.6105888!16s%2Fg%2F11cnddsz4y!19sChIJaUlA7-UI0i0RMYGksT4bx8s?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,1774,"FJV6+Q6G Bukit Asah Desa Bugbug, Desa Adat Bugbug, Sengkidu, Kec. Manggis, Kabupaten Karangasem, Bali"
ChIJAzxT71kf0i0RdZJCraQLT14,Lembah Bidadari,https://www.google.com/maps/place/Lembah+Bidadari/data=!4m7!3m6!1s0x2dd21f59ef533c03:0x5e4f0ba4ad429275!8m2!3d-8.3925533!4d115.2880366!16s%2Fg%2F11fx8c2lwk!19sChIJAzxT71kf0i0RdZJCraQLT14?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,188,"Lembah Bidadari, Sangaji, Taro, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561"
ChIJk_WRf7ZE0i0RdIV8-CQfBlc,Plaza Garuda,https://www.google.com/maps/place/Plaza+Garuda/data=!4m7!3m6!1s0x2dd244b67f91f593:0x57061f24f87c8574!8m2!3d-8.8102751!4d115.1681446!16s%2Fg%2F11hcflgbnb!19sChIJk_WRf7ZE0i0RdIV8-CQfBlc?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Pematung",4.5,74,"Plaza Garuda, Jl. Raya Uluwatu, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361"
ChIJkbJrRYFH0i0RggJb7CncdHE,Pantai Kuta Bali,https://www.google.com/maps/place/Pantai+Kuta+Bali/data=!4m7!3m6!1s0x2dd24781456bb291:0x7174dc29ec5b0282!8m2!3d-8.7127552!4d115.1668777!16s%2Fg%2F11cjhzvk9x!19sChIJkbJrRYFH0i0RggJb7CncdHE?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.6,15975,"Pantai Kuta Bali, Jl. Pantai Kuta No.32, Legian, Badung, Kabupaten Badung, Bali"
ChIJmRTfT9ZC0i0RRB_NXwb5P2k,Waterblow,https://www.google.com/maps/place/Waterblow/data=!4m7!3m6!1s0x2dd242d64fdf1499:0x693ff9065fcd1f44!8m2!3d-8.8038567!4d115.2398639!16s%2Fg%2F11b66sm7gm!19sChIJmRTfT9ZC0i0RRB_NXwb5P2k?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.4,9120,"Waterblow, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363"
ChIJ3Urujw9E0i0RWSEmcOlT2sg,Patung Satria Gatot Kaca,https://www.google.com/maps/place/Patung+Satria+Gatot+Kaca/data=!4m7!3m6!1s0x2dd2440f8fee4add:0xc8da53e970262159!8m2!3d-8.7443882!4d115.1788673!16s%2Fg%2F11btvb72pd!19sChIJ3Urujw9E0i0RWSEmcOlT2sg?authuser=0&hl=id&rclk=1,Monumen,"Monumen, Taman, Tujuan Wisata",4.6,3996,"Patung Satria Gatot Kaca, Jl. Raya Tuban No.1, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361"
