place_id,name,link,main_category,categories,rating,reviews,address
ChIJF-xCXsFpFy4RjgHyRmgGODQ,Pulau Kepayang,https://www.google.com/maps/place/Pulau+Kepayang/data=!4m7!3m6!1s0x2e1769c15e42ec17:0x3438066846f2018e!8m2!3d-2.5489247!4d107.6508575!16s%2Fg%2F11c20qsfyj!19sChIJF-xCXsFpFy4RjgHyRmgGODQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,714,"FM22+C8Q Pulau Kepayang, Keciput, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414"
ChIJSXYlrva4Ii4RpJ7G4oeaFI0,Pantai Batu Belubang,https://www.google.com/maps/place/Pantai+Batu+Belubang/data=!4m7!3m6!1s0x2e22b8f6ae257649:0x8d149a87e2c69ea4!8m2!3d-2.1690746!4d106.1882019!16s%2Fg%2F11cn8s2z2q!19sChIJSXYlrva4Ii4RpJ7G4oeaFI0?authuser=0&hl=id&rclk=1,Pantai Umum,"Pantai Umum, Tujuan Wisata",4.1,226,"R5JQ+97G Pantai Batu Belubang, Bangka Island, Kepulauan Bangka Belitung"
ChIJD1h3oHTHIi4Rc41cYNiDlOM,Wisata Bukit Pinteir,https://www.google.com/maps/place/Wisata+Bukit+Pinteir/data=!4m7!3m6!1s0x2e22c774a077580f:0xe39483d8605c8d73!8m2!3d-2.1929132!4d106.114049!16s%2Fg%2F11jdlxg4xy!19sChIJD1h3oHTHIi4Rc41cYNiDlOM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,81,"Wisata Bukit Pinteir, Dul, Kec. Pangkalan Baru, Kabupaten Bangka Tengah, Kepulauan Bangka Belitung 33117"
ChIJaWXmvBNFPS4R34HYFMR-C7Y,Danau Kaolin,https://www.google.com/maps/place/Danau+Kaolin/data=!4m7!3m6!1s0x2e3d4513bce66569:0xb60b7ec414d881df!8m2!3d-2.5478741!4d106.3528592!16s%2Fg%2F11bwc_w9b6!19sChIJaWXmvBNFPS4R34HYFMR-C7Y?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,3720,"Danau Kaolin, Jl. Raya Toboali, Nibung, Kec. Koba, Kabupaten Bangka Tengah, Kepulauan Bangka Belitung 33782"
ChIJt7X-9mAWFy4R1XbQvNg8EfM,Pantai Tanjung Pendam,https://www.google.com/maps/place/Pantai+Tanjung+Pendam/data=!4m7!3m6!1s0x2e171660f6feb5b7:0xf3113cd8bcd076d5!8m2!3d-2.7411541!4d107.625789!16s%2Fg%2F11byx0pcdc!19sChIJt7X-9mAWFy4R1XbQvNg8EfM?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.4,3513,"7J5G+G8M Pantai Tanjung Pendam, Jl. Kemuning, Parit, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33411"
ChIJSUhSBvI9Fy4RiM9ATxRIJFQ,Danau Kaolin,https://www.google.com/maps/place/Danau+Kaolin/data=!4m7!3m6!1s0x2e173df206524849:0x542448144f40cf88!8m2!3d-2.736802!4d107.6818554!16s%2Fg%2F11b7k77p3s!19sChIJSUhSBvI9Fy4RiM9ATxRIJFQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,3055,"Danau Kaolin, Perawas, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33411"
ChIJiRQ0RIGBPS4RfAb808JpA28,Wisata Alam Batu Belimbing Bangka Selatan,https://www.google.com/maps/place/Wisata+Alam+Batu+Belimbing+Bangka+Selatan/data=!4m7!3m6!1s0x2e3d818144341489:0x6f0369c2d3fc067c!8m2!3d-3.0056437!4d106.4454459!16s%2Fg%2F11bw47chv5!19sChIJiRQ0RIGBPS4RfAb808JpA28?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,1041,"XCVW+P5W Wisata Alam Batu Belimbing Bangka Selatan, Tj. Ketapang, Bang Toboali, Kabupaten Bangka Selatan, Kepulauan Bangka Belitung 33783"
ChIJKRRVNvW5Ii4RQNQodLpI76s,Bukit Bebek Emas,https://www.google.com/maps/place/Bukit+Bebek+Emas/data=!4m7!3m6!1s0x2e22b9f536551429:0xabef48ba7428d440!8m2!3d-2.1965999!4d106.1882482!16s%2Fg%2F11h7_ssyjn!19sChIJKRRVNvW5Ii4RQNQodLpI76s?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,968,"Bukit Bebek Emas, Tj. Gn., Kec. Pangkalan Baru, Kabupaten Bangka Tengah, Kepulauan Bangka Belitung 33148"
ChIJU4T9IZ6BPS4R7rp48H3CklU,Pantai Nek Aji,https://www.google.com/maps/place/Pantai+Nek+Aji/data=!4m7!3m6!1s0x2e3d819e21fd8453:0x5592c27df078baee!8m2!3d-3.0150175!4d106.4503906!16s%2Fg%2F11b6sgb197!19sChIJU4T9IZ6BPS4R7rp48H3CklU?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.3,838,"XFM2+X5R Pantai Nek Aji, Jl. Jend. Sudirman, Tj. Ketapang, Kec. Toboali, Kabupaten Bangka Selatan, Kepulauan Bangka Belitung 33783"
ChIJzw-hu2iNIi4RrmzkdLFhIkc,Pantai Tikus,https://www.google.com/maps/place/Pantai+Tikus/data=!4m7!3m6!1s0x2e228d68bba10fcf:0x472261b174e46cae!8m2!3d-1.9018475!4d106.1859211!16s%2Fg%2F11cjg9c350!19sChIJzw-hu2iNIi4RrmzkdLFhIkc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,713,"35XP+797 Pantai Tikus, Parit Padang, Sungai Liat, Bangka Regency, Bangka Belitung Islands 33211"
