place_id,name,link,main_category,categories,rating,reviews,address
ChIJracGux4rfzIRL3lNYvB7IG4,Wisata Hiu Paus Botubarani Gorontalo,https://www.google.com/maps/place/Wisata+Hiu+Paus+Botubarani+Gorontalo/data=!4m7!3m6!1s0x327f2b1ebb06a7ad:0x6e207bf0624d792f!8m2!3d0.4746294!4d123.1011491!16s%2Fg%2F11cp7509qr!19sChIJracGux4rfzIRL3lNYvB7IG4?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Pusat Rekreasi",4.7,797,"Wisata Hiu Paus Botubarani Gorontalo, Botubarani, Kec. Kabila Bone, Kabupaten Bone Bolango, Gorontalo 96117"
ChIJQyUDZ53VeDIRm2mp-Ohmsuo,WISATA TAMENDAO BEACH,https://www.google.com/maps/place/WISATA+TAMENDAO+BEACH/data=!4m7!3m6!1s0x3278d59d67032543:0xeab266e8f8a9699b!8m2!3d0.5002305!4d123.0674662!16s%2Fg%2F11pk9z37rg!19sChIJQyUDZ53VeDIRm2mp-Ohmsuo?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,733,"WISATA TAMENDAO BEACH, Jl. R. Atje Slamet, Leato Utara, Kec. Kota Tim., Kota Gorontalo, Gorontalo"
ChIJ9wzSa8EreTIR0KtoqpUEzCM,Benteng Otanaha,https://www.google.com/maps/place/Benteng+Otanaha/data=!4m7!3m6!1s0x32792bc16bd20cf7:0x23cc0495aa68abd0!8m2!3d0.549255!4d123.0067978!16s%2Fm%2F0nhj9dm!19sChIJ9wzSa8EreTIR0KtoqpUEzCM?authuser=0&hl=id&rclk=1,Benteng,"Benteng, Bangunan Bersejarah, Tujuan Wisata",4.4,1907,"G2W5+H3F Benteng Otanaha, Jl. Usman Isa No.kelurahan, Dembe I, Kec. Kota Bar., Kota Gorontalo, Gorontalo 96181"
ChIJAYhjftAqfzIRQW65iMl5F0A,Kurenai Beach Resort,https://www.google.com/maps/place/Kurenai+Beach+Resort/data=!4m7!3m6!1s0x327f2ad07e638801:0x401779c988b96e41!8m2!3d0.478259!4d123.08986!16s%2Fg%2F11g8vp5txj!19sChIJAYhjftAqfzIRQW65iMl5F0A?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,1347,"Kurenai Beach Resort, Botubarani, Kec. Kabila Bone, Kabupaten Bone Bolango, Gorontalo 96111"
ChIJR03wwKEqeTIR3q4KVLC5JCY,Taman Wisata Tangga 2000,https://www.google.com/maps/place/Taman+Wisata+Tangga+2000/data=!4m7!3m6!1s0x32792aa1c0f04d47:0x2624b9b0540aaede!8m2!3d0.5069393!4d123.0576773!16s%2Fg%2F11c2lb7kc2!19sChIJR03wwKEqeTIR3q4KVLC5JCY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,981,"G345+Q3F Taman Wisata Tangga 2000, Pohe, Kec. Hulonthalangi, Kabupaten Gorontalo, Gorontalo 96133"
ChIJ9yG7GazVeDIRZTHRUer5M9w,Dulanga Beach,https://www.google.com/maps/place/Dulanga+Beach/data=!4m7!3m6!1s0x3278d5ac19bb21f7:0xdc33f9ea51d13165!8m2!3d0.4945251!4d123.0287939!16s%2Fg%2F11f5v0l9jc!19sChIJ9yG7GazVeDIRZTHRUer5M9w?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,434,"F2WH+3G4 Dulanga Beach, Bongo, Kec. Batudaa Pantai, Kabupaten Gorontalo, Gorontalo 96132"
ChIJ14eVsmoreTIRCJxOlBXV4Qk,Taman Lahilote,https://www.google.com/maps/place/Taman+Lahilote/data=!4m7!3m6!1s0x32792b6ab29587d7:0x9e1d515944e9c08!8m2!3d0.5519297!4d123.0555861!16s%2Fg%2F11by__8r2y!19sChIJ14eVsmoreTIRCJxOlBXV4Qk?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Taman, Tujuan Wisata",4.4,308,"Taman Lahilote, Jl. Drs. Achmad Nadjamuddin No.35, Limba U Dua, Kota Sel., Kota Gorontalo, Gorontalo 96138"
ChIJac4rFFXVeDIR_LEix89qktw,Taman Wisata Religius Bubohu,https://www.google.com/maps/place/Taman+Wisata+Religius+Bubohu/data=!4m7!3m6!1s0x3278d555142bce69:0xdc926acfc722b1fc!8m2!3d0.4989781!4d123.0331749!16s%2Fg%2F11h4s25f_l!19sChIJac4rFFXVeDIR_LEix89qktw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,285,"F2WM+R7C Taman Wisata Religius Bubohu, Unnamed Road, Bongo, Kec. Batudaa Pantai, Kabupaten Gorontalo, Gorontalo 96132"
ChIJewyKUtwqeTIRemoU9rPPJIM,Monumen Nani Wartabone,https://www.google.com/maps/place/Monumen+Nani+Wartabone/data=!4m7!3m6!1s0x32792adc528a0c7b:0x8324cfb3f6146a7a!8m2!3d0.5303939!4d123.059356!16s%2Fg%2F1q5bqmc7k!19sChIJewyKUtwqeTIRemoU9rPPJIM?authuser=0&hl=id&rclk=1,Monumen,"Monumen, Tujuan Wisata",4.6,170,"G3J5+5P5 Monumen Nani Wartabone, Tenda, Kec. Hulonthalangi, Kabupaten Gorontalo, Gorontalo 96133"
ChIJ4a_svAEteTIRlT4NE69-g8o,"Embung Hutadaa, Talaga Jaya","https://www.google.com/maps/place/Embung+Hutadaa,+Talaga+Jaya/data=!4m7!3m6!1s0x32792d01bcecafe1:0xca837eaf130d3e95!8m2!3d0.5752417!4d123.0122309!16s%2Fg%2F11jj41pn2_!19sChIJ4a_svAEteTIRlT4NE69-g8o?authuser=0&hl=id&rclk=1",Tujuan Wisata,Tujuan Wisata,4.4,120,"H2G6+3VX Embung Hutadaa, Talaga Jaya, Unnamed Road, Hutadaa, Kec. Telaga Jaya, Kabupaten Gorontalo, Gorontalo 96181"
ChIJL4gM86UreTIRsTBZKgHCnlo,Wisata Pemandian Potanga,https://www.google.com/maps/place/Wisata+Pemandian+Potanga/data=!4m7!3m6!1s0x32792ba5f30c882f:0x5a9ec2012a5930b1!8m2!3d0.5443304!4d123.0269904!16s%2Fg%2F11g9ndtvry!19sChIJL4gM86UreTIRsTBZKgHCnlo?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,86,"G2VG+PQQ Wisata Pemandian Potanga, Bar., Pilolodaa, Kec. Kota Bar., Kabupaten Gorontalo, Gorontalo 96181"
ChIJY5u1HswteTIRiVmgU3MLP9U,Wisata Sawah Desa Sejahtera,https://www.google.com/maps/place/Wisata+Sawah+Desa+Sejahtera/data=!4m7!3m6!1s0x32792dcc1eb59b63:0xd53f0b7353a05989!8m2!3d0.5910404!4d123.0734533!16s%2Fg%2F11smbmryrp!19sChIJY5u1HswteTIRiVmgU3MLP9U?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,76,"H3RF+C98 Wisata Sawah Desa Sejahtera, Sejahtera, Kec. Bulango Sel., Kabupaten Bone Bolango, Gorontalo 96129"
ChIJj58XFK4rfzIROA4fFZrSqeM,Wisata pantai kaisomaru,https://www.google.com/maps/place/Wisata+pantai+kaisomaru/data=!4m7!3m6!1s0x327f2bae14179f8f:0xe3a9d29a151f0e38!8m2!3d0.4870464!4d123.0833762!16s%2Fg%2F11s86x8rl8!19sChIJj58XFK4rfzIROA4fFZrSqeM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,65,"Wisata pantai kaisomaru, Leato Sel., Kec. Kota Tim., Kota Gorontalo, Gorontalo"
ChIJ8RqToekqeTIRiwMnfziJ0nE,Wisata Gunung Layang,https://www.google.com/maps/place/Wisata+Gunung+Layang/data=!4m7!3m6!1s0x32792ae9a1931af1:0x71d289387f27038b!8m2!3d0.5250445!4d123.0538719!16s%2Fg%2F11cnc7___1!19sChIJ8RqToekqeTIRiwMnfziJ0nE?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,50,"G3G3+2G9 Wisata Gunung Layang, Siendeng, Kec. Hulonthalangi, Kota Gorontalo, Gorontalo 96133"
ChIJsU-UEHDVeDIRqqvLTk0JCRc,Pantai Tanjung Kramat,https://www.google.com/maps/place/Pantai+Tanjung+Kramat/data=!4m7!3m6!1s0x3278d57010944fb1:0x1709094d4ecbabaa!8m2!3d0.4955779!4d123.0443574!16s%2Fg%2F11hbn67t3r!19sChIJsU-UEHDVeDIRqqvLTk0JCRc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,43,"F2WV+6PQ Pantai Tanjung Kramat, Tj. Kramat, Kec. Hulonthalangi, Kota Gorontalo, Gorontalo 96133"
