place_id,name,link,main_category,categories,rating,reviews,address
ChIJ2VHL24vhaC4RnrFGI1jv3YY,Dusun Bambu,https://www.google.com/maps/place/Dusun+Bambu/data=!4m10!3m9!1s0x2e68e18bdbcb51d9:0x86ddef582346b19e!5m2!4m1!1i2!8m2!3d-6.7905049!4d107.5778343!16s%2Fg%2F12hssxwmh!19sChIJ2VHL24vhaC4RnrFGI1jv3YY?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Wahana Taman Hiburan, Park and ride, Hotel Resor, Restoran",4.5,28918,"Dusun Bambu, Jl. Kolonel Masturi No.KM. 11, Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551"
ChIJeUGDdCvnaC4RX24Dt0esfD4,Dago Dreampark,https://www.google.com/maps/place/Dago+Dreampark/data=!4m7!3m6!1s0x2e68e72b74834179:0x3e7cac47b7036e5f!8m2!3d-6.8486423!4d107.625939!16s%2Fg%2F11b_23qvxh!19sChIJeUGDdCvnaC4RX24Dt0esfD4?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Pusat Rekreasi, Taman Hiburan",4.2,18457,"Dago Dreampark, Mekarwangi, Jl. Dago Giri No.Km. 2.2, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40135"
ChIJAbspL_PjaC4RGwfytELeq50,Alam Wisata Cimahi,https://www.google.com/maps/place/Alam+Wisata+Cimahi/data=!4m7!3m6!1s0x2e68e3f32f29bb01:0x9dabde42b4f2071b!8m2!3d-6.840959!4d107.5512281!16s%2Fg%2F11gzx4h5q!19sChIJAbspL_PjaC4RGwfytELeq50?authuser=0&hl=id&rclk=1,Hotel Resor,"Hotel Resor, Tempat Bermain Paintball, Taman bermain, Restoran, Restoran Sunda, Kolam Renang, Tujuan Wisata, Gedung Pernikahan",4.2,4868,"Alam Wisata Cimahi, Jalan Kolonel Masturi KM.4 No.157, Cipageran, Kec. Cimahi Utara, Kota Cimahi, Jawa Barat 40511"
ChIJQbOiLW6RaC4RiksSLDjy9eg,Situ Cileunca Pangalengan Bandung,https://www.google.com/maps/place/Situ+Cileunca+Pangalengan+Bandung/data=!4m7!3m6!1s0x2e68916e2da2b341:0xe8f5f2382c124b8a!8m2!3d-7.1896766!4d107.5531164!16s%2Fg%2F11g18vx44q!19sChIJQbOiLW6RaC4RiksSLDjy9eg?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Pusat Informasi Pariwisata",4.6,2588,"Situ Cileunca Pangalengan Bandung, Jl. Situ Cileunca, Pulosari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378"
ChIJHd5-ovUlZi4RfJCX7LqJdQQ,PUNCAK GUHA,https://www.google.com/maps/place/PUNCAK+GUHA/data=!4m7!3m6!1s0x2e6625f5a27ede1d:0x47589baec97907c!8m2!3d-7.5362574!4d107.4971417!16s%2Fg%2F11btt9dlpz!19sChIJHd5-ovUlZi4RfJCX7LqJdQQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,2511,"PUNCAK GUHA, Sinarjaya, Kec. Bungbulang, Kabupaten Garut, Jawa Barat 44165"
ChIJ5Qwef2qvaS4R1jJTqZ-1Rmo,Wana Wisata Rusa Tanjungsari,https://www.google.com/maps/place/Wana+Wisata+Rusa+Tanjungsari/data=!4m7!3m6!1s0x2e69af6a7f1e0ce5:0x6a46b59fa95332d6!8m2!3d-6.6366142!4d107.1722679!16s%2Fg%2F11b7q2pgzv!19sChIJ5Qwef2qvaS4R1jJTqZ-1Rmo?authuser=0&hl=id&rclk=1,Perlindungan Margasatwa,"Perlindungan Margasatwa, Tujuan Wisata",4.1,1215,"Wana Wisata Rusa Tanjungsari, Buanajaya, Tanjungsari, Buanajaya, Kec. Tanjungsari, Kabupaten Bogor, Jawa Barat 16840"
ChIJA7kJYlS6aC4R-RIotxXBHKc,Desa Wisata Saung Ciburial,https://www.google.com/maps/place/Desa+Wisata+Saung+Ciburial/data=!4m7!3m6!1s0x2e68ba546209b903:0xa71cc115b72812f9!8m2!3d-7.2051038!4d107.8133775!16s%2Fg%2F11c0vyr089!19sChIJA7kJYlS6aC4R-RIotxXBHKc?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Pusat kebudayaan",4.5,596,"Desa Wisata Saung Ciburial, Sukalaksana, Kec. Samarang, Kabupaten Garut, Jawa Barat 44161"
ChIJo82jZk-WaC4RA3QRvVJ0w-E,Kawah Wayang,https://www.google.com/maps/place/Kawah+Wayang/data=!4m7!3m6!1s0x2e68964f66a3cda3:0xe1c37452bd117403!8m2!3d-7.2069313!4d107.6373723!16s%2Fg%2F11c1tyvhh7!19sChIJo82jZk-WaC4RA3QRvVJ0w-E?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,560,"Kawah Wayang, Sukamanah, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378"
ChIJrZMq_VrhaC4RjvaH06iyNa0,The Great Asia Africa,https://www.google.com/maps/place/The+Great+Asia+Africa/data=!4m7!3m6!1s0x2e68e15afd2a93ad:0xad35b2a8d387f68e!8m2!3d-6.8329768!4d107.6044676!16s%2Fg%2F11j40w1gcp!19sChIJrZMq_VrhaC4RjvaH06iyNa0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,19375,"The Great Asia Africa, Jl. Raya Lembang - Bandung No.71, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391"
ChIJ3Xt4mJ-2aS4RBJVJ6fIjD3M,Riung Gunung,https://www.google.com/maps/place/Riung+Gunung/data=!4m7!3m6!1s0x2e69b69f98787bdd:0x730f23f2e9499504!8m2!3d-6.7022557!4d106.9807365!16s%2Fg%2F1hm1_nfh4!19sChIJ3Xt4mJ-2aS4RBJVJ6fIjD3M?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,13398,"7XXJ+37X Riung Gunung, Jl. Raya Puncak Gadog, Tugu Sel., Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750"
ChIJ-9TUV_Idby4RPRDxH--iTo0,Taman Wisata Goa Sunyaragi Cirebon,https://www.google.com/maps/place/Taman+Wisata+Goa+Sunyaragi+Cirebon/data=!4m7!3m6!1s0x2e6f1df257d4d4fb:0x8d4ea2ef1ff1103d!8m2!3d-6.737365!4d108.542758!16s%2Fg%2F120s1tt4!19sChIJ-9TUV_Idby4RPRDxH--iTo0?authuser=0&hl=id&rclk=1,Bangunan Bersejarah,"Bangunan Bersejarah, Museum, Taman, Tujuan Wisata",4.4,12015,"Taman Wisata Goa Sunyaragi Cirebon, Sunyaragi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45132"
ChIJOTnwNd3maC4Ru0Ut3IXNDDI,Rabbit Town,https://www.google.com/maps/place/Rabbit+Town/data=!4m7!3m6!1s0x2e68e6dd35f03939:0x320ccd85dc2d45bb!8m2!3d-6.867143!4d107.609963!16s%2Fg%2F11hbmtcdh9!19sChIJOTnwNd3maC4Ru0Ut3IXNDDI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4,6734,"Rabbit Town, Jl. Rancabentang No.30-32, Ciumbuleuit, Kec. Cidadap, Kota Bandung, Jawa Barat 40142"
ChIJSZh4eiXmaC4RAUPOmyG32uk,Plaza Cikapundung River Spot,https://www.google.com/maps/place/Plaza+Cikapundung+River+Spot/data=!4m7!3m6!1s0x2e68e6257a789849:0xe9dab7219bce4301!8m2!3d-6.9200921!4d107.6088457!16s%2Fg%2F11cjvj8t3s!19sChIJSZh4eiXmaC4RAUPOmyG32uk?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Tujuan Wisata",4.4,5238,"3JH5+XG9 Plaza Cikapundung River Spot, Jl. Dr. Ir. Sukarno, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111"
ChIJ7bjao1n8aC4Ro5xdaKfIDnI,Stone Garden Citatah,https://www.google.com/maps/place/Stone+Garden+Citatah/data=!4m7!3m6!1s0x2e68fc59a3dab8ed:0x720ec8a7685d9ca3!8m2!3d-6.8244669!4d107.438256!16s%2Fg%2F11cl_54f46!19sChIJ7bjao1n8aC4Ro5xdaKfIDnI?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.4,3753,"Stone Garden Citatah, Gunung Masigit, Citatah, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554"
ChIJU05Hjy_maC4R8t_TcAfptxI,Taman Braga,https://www.google.com/maps/place/Taman+Braga/data=!4m7!3m6!1s0x2e68e62f8f474e53:0x12b7e90770d3dff2!8m2!3d-6.9198719!4d107.6100633!16s%2Fg%2F11bw66sbny!19sChIJU05Hjy_maC4R8t_TcAfptxI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,3696,"Taman Braga, Jl. Ustadz Abdul Somad LC. No.12, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111"
ChIJ_Rd4PpLcaC4RhcOYyolmwK4,Wisata Batu Kuda,https://www.google.com/maps/place/Wisata+Batu+Kuda/data=!4m7!3m6!1s0x2e68dc923e7817fd:0xaec06689ca98c385!8m2!3d-6.8930812!4d107.7451856!16s%2Fg%2F11bxgbfpt3!19sChIJ_Rd4PpLcaC4RhcOYyolmwK4?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.5,3420,"Wisata Batu Kuda, Cibiru Wetan, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat 40625"
ChIJbQVnEInhaC4RoiM0rVc9stg,Kebun Teh Ciater - Subang,https://www.google.com/maps/place/Kebun+Teh+Ciater+-+Subang/data=!4m7!3m6!1s0x2e68e1891067056d:0xd8b23d57ad3423a2!8m2!3d-6.7719217!4d107.6371437!16s%2Fg%2F11g0_89n04!19sChIJbQVnEInhaC4RoiM0rVc9stg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,2733,"6JHP+6VJ Kebun Teh Ciater - Subang, Ciater, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281"
ChIJ-VxvzIm0aS4RAsfvwBUEBf8,Telaga Biru,https://www.google.com/maps/place/Telaga+Biru/data=!4m7!3m6!1s0x2e69b489cc6f5cf9:0xff050415c0efc702!8m2!3d-6.7485153!4d106.9942597!16s%2Fg%2F11hbpkh0v0!19sChIJ-VxvzIm0aS4RAsfvwBUEBf8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,989,"7X2V+HPR Telaga Biru, Sindangjaya, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat 43253"
