place_id,name,link,main_category,categories,rating,reviews,address
ChIJnxkzmc0m5C0R9ra3k7A7_oM,Amanah Borneo Park,https://www.google.com/maps/place/Amanah+Borneo+Park/data=!4m7!3m6!1s0x2de426cd9933199f:0x83fe3bb093b7b6f6!8m2!3d-3.4957114!4d114.808764!16s%2Fg%2F11cr_hqz6n!19sChIJnxkzmc0m5C0R9ra3k7A7_oM?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Konservatori musik, Wahana permainan meloloskan diri, Dinas Pariwisata Kota, Taman, Restoran",4.1,3557,"Amanah Borneo Park, Jl. Taruna Bhakti, RT.12/RW.04, Palam, Kec. Cemp., Kota Banjar Baru, Kalimantan Selatan 70731"
ChIJZ3TYZEb25i0RulE8ze-FdS0,Air Terjun Bajuin,https://www.google.com/maps/place/Air+Terjun+Bajuin/data=!4m7!3m6!1s0x2de6f64664d87467:0x2d7585efcd3c51ba!8m2!3d-3.7720708!4d114.8745512!16s%2Fg%2F11g8vwhlws!19sChIJZ3TYZEb25i0RulE8ze-FdS0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,628,"Air Terjun Bajuin, Damar Lima, Unnamed Road, Kec. Batu Ampar, Kabupaten Tanah Laut, Kalimantan Selatan 70882"
ChIJz8cIV3955i0RNN-LL47rO_c,Borneo Wonderland,https://www.google.com/maps/place/Borneo+Wonderland/data=!4m7!3m6!1s0x2de6797f5708c7cf:0xf73beb8e2f8bdf34!8m2!3d-3.4225382!4d115.0511337!16s%2Fg%2F11tf8qd45p!19sChIJz8cIV3955i0RNN-LL47rO_c?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,229,"Borneo Wonderland, Pulau Nyiur, Kec. Karang Intan, Kabupaten Banjar, Kalimantan Selatan"
ChIJsR-eh8Ej5C0RoLXKWmoaUww,Menara Pandang Banjarmasin,https://www.google.com/maps/place/Menara+Pandang+Banjarmasin/data=!4m7!3m6!1s0x2de423c1879e1fb1:0xc531a6a5acab5a0!8m2!3d-3.3169893!4d114.5931235!16s%2Fg%2F11b7ccq_t3!19sChIJsR-eh8Ej5C0RoLXKWmoaUww?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman Kota",4.4,7276,"Menara Pandang Banjarmasin, Jl. Kapten Piere Tendean No.07, RT.16/RW.2, Gadang, Kec. Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan 70123"
ChIJwc1j0yAw7y0RTJkMDg9eo10,Taman Siring Laut,https://www.google.com/maps/place/Taman+Siring+Laut/data=!4m7!3m6!1s0x2def3020d363cdc1:0x5da35e0f0e0c994c!8m2!3d-3.2359738!4d116.2278886!16s%2Fg%2F1pztpz_bp!19sChIJwc1j0yAw7y0RTJkMDg9eo10?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,6787,"Taman Siring Laut, Kec. Pulau Laut Utara, Kab. Kotabaru, Kalimantan Selatan 72111"
ChIJo4PYVgOI5i0RMfCmH8XsBxY,KIRAM PARK,https://www.google.com/maps/place/KIRAM+PARK/data=!4m7!3m6!1s0x2de6880356d883a3:0x1607ecc51fa6f031!8m2!3d-3.5524834!4d114.8981366!16s%2Fg%2F11f3dpv9xd!19sChIJo4PYVgOI5i0RMfCmH8XsBxY?authuser=0&hl=id&rclk=1,Area Rekreasi Alam,"Area Rekreasi Alam, Tujuan Wisata",4.3,3164,"CVXX+272 KIRAM PARK, Kiram, Kec. Karang Intan, Kabupaten Banjar, Kalimantan Selatan 70852"
ChIJBxxz6Fx75i0RJQG7TLhnius,Bukit Matang Kaladan,https://www.google.com/maps/place/Bukit+Matang+Kaladan/data=!4m7!3m6!1s0x2de67b5ce8731c07:0xeb8a67b84cbb0125!8m2!3d-3.5254244!4d115.0094272!16s%2Fg%2F11bzr_k4_f!19sChIJBxxz6Fx75i0RJQG7TLhnius?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Area Mendaki",4.5,2132,"F2F5+RQM Bukit Matang Kaladan, Aranio, Kec. Aranio, Kabupaten Banjar, Kalimantan Selatan 70671"
ChIJuR4GBaCB5i0RfOp2H3yHzcU,Hutan Kota Pinus Mentaos I,https://www.google.com/maps/place/Hutan+Kota+Pinus+Mentaos+I/data=!4m7!3m6!1s0x2de681a005061eb9:0xc5cd877c1f76ea7c!8m2!3d-3.4344681!4d114.833598!16s%2Fg%2F11bvt0b_r8!19sChIJuR4GBaCB5i0RfOp2H3yHzcU?authuser=0&hl=id&rclk=1,Taman Kota,"Taman Kota, Hutan Nasional, Tujuan Wisata",4.3,1980,"Hutan Kota Pinus Mentaos I, Jalan Suriansyah Ujung Kelurahan Mentaos, Loktabat Utara, Kec. Banjarbaru Utara, Kota Banjar Baru, Kalimantan Selatan 70711"
ChIJHQdIcYN-5i0RMPnbpAJesf4,Objek Wisata Danau Tamiyang,https://www.google.com/maps/place/Objek+Wisata+Danau+Tamiyang/data=!4m7!3m6!1s0x2de67e837148071d:0xfeb15e02a4dbf930!8m2!3d-3.4644507!4d114.9596048!16s%2Fg%2F11hcyljg1l!19sChIJHQdIcYN-5i0RMPnbpAJesf4?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,973,"Objek Wisata Danau Tamiyang, Mandi Kapau Bar., Kec. Karang Intan, Kabupaten Banjar, Kalimantan Selatan 70661"
ChIJ8TlO5hp95i0RM6smcd9q5Yw,Taman Hutan Raya Sultan Adam,https://www.google.com/maps/place/Taman+Hutan+Raya+Sultan+Adam/data=!4m7!3m6!1s0x2de67d1ae64e39f1:0x8ce56adf7126ab33!8m2!3d-3.5194142!4d114.9501443!16s%2Fg%2F11cp267jcc!19sChIJ8TlO5hp95i0RM6smcd9q5Yw?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.6,870,"Taman Hutan Raya Sultan Adam, Cempaka, Mandi Angin Barat, Kec. Karang Intan, Kabupaten Banjar, Kalimantan Selatan 70661"
ChIJMZi34-Z35S0RxbO0uHfmJbI,Obyek Wisata Air Panas Tanuhi,https://www.google.com/maps/place/Obyek+Wisata+Air+Panas+Tanuhi/data=!4m7!3m6!1s0x2de577e6e3b79831:0xb225e677b8b4b3c5!8m2!3d-2.7915194!4d115.4528503!16s%2Fg%2F11b7j3cvns!19sChIJMZi34-Z35S0RxbO0uHfmJbI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,835,"6F53+94X Obyek Wisata Air Panas Tanuhi, Hulu Banyu, Kec. Loksado, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71363"
ChIJh6SR2ag95C0RYbBgePt4wVk,Wisata Jembatan Barito,https://www.google.com/maps/place/Wisata+Jembatan+Barito/data=!4m7!3m6!1s0x2de43da8d991a487:0x59c178fb7860b061!8m2!3d-3.2171538!4d114.5625557!16s%2Fg%2F11f5h5fc6r!19sChIJh6SR2ag95C0RYbBgePt4wVk?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,826,"QHM7+42M Wisata Jembatan Barito, Beringin, Kec. Alalak, Kabupaten Barito Kuala, Kalimantan Selatan 70582"
ChIJcxxKVSqH5i0R9czj-E3cmbE,Rumah Jomblo,https://www.google.com/maps/place/Rumah+Jomblo/data=!4m7!3m6!1s0x2de6872a554a1c73:0xb199dc4df8e3ccf5!8m2!3d-3.4737376!4d114.8596983!16s%2Fg%2F11g9dsz7wz!19sChIJcxxKVSqH5i0R9czj-E3cmbE?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,608,"GVG5+GV4 Rumah Jomblo, Cempaka, Kec. Cemp., Kota Banjar Baru, Kalimantan Selatan 70732"
ChIJMZvFkSfH5S0R2kNlunU1QqU,Goa Batu Hapu,https://www.google.com/maps/place/Goa+Batu+Hapu/data=!4m7!3m6!1s0x2de5c72791c59b31:0xa5423575ba6543da!8m2!3d-3.1271282!4d115.175391!16s%2Fg%2F120lwhwj!19sChIJMZvFkSfH5S0R2kNlunU1QqU?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,477,"V5FG+45R Goa Batu Hapu, Batu Hapu, Kec. Hatungun, Kabupaten Tapin, Kalimantan Selatan 70675"
ChIJPYqCYNSA5i0RLvTzMmFzVrc,Bukit Lentera,https://www.google.com/maps/place/Bukit+Lentera/data=!4m7!3m6!1s0x2de680d460828a3d:0xb756736132f3f42e!8m2!3d-3.4660684!4d114.8635307!16s%2Fg%2F11c1nb1t6m!19sChIJPYqCYNSA5i0RLvTzMmFzVrc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,354,"GVM7+HCC Bukit Lentera, Cempaka, Kec. Cemp., Kota Banjar Baru, Kalimantan Selatan 70732"
ChIJWwXj5eJ75i0Rb8R3Y8cbWDQ,Bukit Batu,https://www.google.com/maps/place/Bukit+Batu/data=!4m7!3m6!1s0x2de67be2e5e3055b:0x34581bc76377c46f!8m2!3d-3.5041071!4d115.0714995!16s%2Fg%2F11sjhytxcq!19sChIJWwXj5eJ75i0Rb8R3Y8cbWDQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,275,"Bukit Batu, Tiwingan Lama, Kec. Aranio, Kabupaten Banjar, Kalimantan Selatan"
ChIJ3f0L98Ij5C0Rb-ljji0dBSk,"Taman Siring Sungai Martapura, Banjarmasin","https://www.google.com/maps/place/Taman+Siring+Sungai+Martapura,+Banjarmasin/data=!4m7!3m6!1s0x2de423c2f70bfddd:0x29051d2d8e63e96f!8m2!3d-3.3195064!4d114.5934242!16s%2Fg%2F11f24x49yd!19sChIJ3f0L98Ij5C0Rb-ljji0dBSk?authuser=0&hl=id&rclk=1",Tujuan Wisata,"Tujuan Wisata, Taman Kota, Taman",4.6,172,"MHJV+59V Taman Siring Sungai Martapura, Banjarmasin, Gadang, Kec. Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan 70123"
ChIJASSyKGvQ5S0RYBA6OBw1_74,Danau Biru Paring Tali,https://www.google.com/maps/place/Danau+Biru+Paring+Tali/data=!4m7!3m6!1s0x2de5d06b28b22401:0xbeff351c383a1060!8m2!3d-3.2634309!4d115.0736372!16s%2Fg%2F11c1np0jh0!19sChIJASSyKGvQ5S0RYBA6OBw1_74?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,60,"P3PF+JFC Danau Biru Paring Tali, Sungai Raya, Kec. Simpang Empat, Kabupaten Banjar, Kalimantan Selatan 70673"
ChIJ-Rqivep45S0RlRsZt1RIKYg,Taman Wisata Alam Haratai,https://www.google.com/maps/place/Taman+Wisata+Alam+Haratai/data=!4m7!3m6!1s0x2de578eabda21af9:0x88294854b7191b95!8m2!3d-2.7762807!4d115.5434724!16s%2Fg%2F11dyz4j7gm!19sChIJ-Rqivep45S0RlRsZt1RIKYg?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,24,"Taman Wisata Alam Haratai, Unnamed Road, Provinsi Kalimantan Sel. 71282, Haratai, Kec. Loksado, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71282"
ChIJQV10xJ6L5i0RKsI7qra6_sM,Bukit Telang,https://www.google.com/maps/place/Bukit+Telang/data=!4m7!3m6!1s0x2de68b9ec4745d41:0xc3febab6aa3bc22a!8m2!3d-3.6490046!4d114.8241298!16s%2Fg%2F11jpbpy6xd!19sChIJQV10xJ6L5i0RKsI7qra6_sM?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,15,"9R2F+9MR Bukit Telang, Unnamed Road, Martadah, Tambang Ulang, Tanah Laut Regency, South Kalimantan 70854"
