place_id,name,link,main_category,categories,rating,reviews,address
ChIJH13hH1JfbGgRf7ii_H7rHOA,Bukit Jokowi,https://www.google.com/maps/place/Bukit+Jokowi/data=!4m7!3m6!1s0x686c5f521fe15d1f:0xe01ceb7efca2b87f!8m2!3d-2.5884097!4d140.6885197!16s%2Fg%2F11fylkf9rw!19sChIJH13hH1JfbGgRf7ii_H7rHOA?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,1192,"CM6Q+JCJ Bukit Jokowi, Skyland, Entrop, Distrik Jayapura Selatan, Kota Jayapura, Papua"
ChIJcQatlNL1A2gRasWqZd4l0Ac,Telaga Biru,https://www.google.com/maps/place/Telaga+Biru/data=!4m7!3m6!1s0x6803f5d294ad0671:0x7d025de65aac56a!8m2!3d-1.047572!4d136.172365!16s%2Fg%2F11g6xsbjtl!19sChIJcQatlNL1A2gRasWqZd4l0Ac?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,280,"X52C+XWH Telaga Biru, Rim, Kec. Biak Tim., Kabupaten Biak Numfor, Papua 98152"
ChIJnWcg0QFZbGgRP3FEGeHirBQ,Pantai Dok 2 Jayapura,https://www.google.com/maps/place/Pantai+Dok+2+Jayapura/data=!4m7!3m6!1s0x686c5901d120679d:0x14ace2e11944713f!8m2!3d-2.5380875!4d140.7137905!16s%2Fg%2F11q8t7yprx!19sChIJnWcg0QFZbGgRP3FEGeHirBQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,194,"FP67+QG7 Pantai Dok 2 Jayapura, Jl. Soa Siu, Mandala, Kec. Jayapura Utara, Kota Jayapura, Papua"
ChIJtb1LqxaNbGgRpgiX86G7-YI,Danau Emfote,https://www.google.com/maps/place/Danau+Emfote/data=!4m7!3m6!1s0x686c8d16ab4bbdb5:0x82f9bba1f39708a6!8m2!3d-2.6608739!4d140.5396897!16s%2Fg%2F11bw7v5sgz!19sChIJtb1LqxaNbGgRpgiX86G7-YI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,182,"8GQQ+MV4 Danau Emfote, Atabar, Distrik Ebungfa, Kabupaten Jayapura, Papua 99359"
ChIJO9A_VZ9dAWgRqGY2_h5kXcE,Wafsarak Waterfall,https://www.google.com/maps/place/Wafsarak+Waterfall/data=!4m7!3m6!1s0x68015d9f553fd03b:0xc15d641efe3666a8!8m2!3d-0.7914851!4d135.9229049!16s%2Fg%2F11f0_dhg60!19sChIJO9A_VZ9dAWgRqGY2_h5kXcE?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,176,"6W5F+C52 Wafsarak Waterfall, Inswanbesi, Distrik Warsa, Kabupaten Biak Numfor, Papua 98157"
ChIJa86NrVuoH2gRLKc-RDsbwEI,Pantai Monalisa,https://www.google.com/maps/place/Pantai+Monalisa/data=!4m7!3m6!1s0x681fa85bad8dce6b:0x42c01b3b443ea72c!8m2!3d-3.24126!4d135.5694583!16s%2Fg%2F11fs_8s0rd!19sChIJa86NrVuoH2gRLKc-RDsbwEI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,85,"Pantai Monalisa, Unnamed Road, Tlk. Kimi, 98818, Air Mandidi, Distrik Tlk. Kimi, Kabupaten Nabire, Papua 98818"
ChIJc43Uh7xeAWgRdeRfluIHLXw,Air Terjun Karmon,https://www.google.com/maps/place/Air+Terjun+Karmon/data=!4m7!3m6!1s0x68015ebc87d48d73:0x7c2d07e2965fe475!8m2!3d-0.817699!4d135.9776286!16s%2Fg%2F11g87f16jk!19sChIJc43Uh7xeAWgRdeRfluIHLXw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,69,"5XJH+W3C Air Terjun Karmon, Karmon, Distrik Yawosi, Kabupaten Biak Numfor, Papua 98157"
ChIJxzDlvJNsPmgRCZ7XuahBBU4,Mumi Jiwika,https://www.google.com/maps/place/Mumi+Jiwika/data=!4m7!3m6!1s0x683e6c93bce530c7:0x4e0541a8b9d79e09!8m2!3d-4.0935372!4d138.9437021!16s%2Fg%2F11f2_pvszm!19sChIJxzDlvJNsPmgRCZ7XuahBBU4?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,61,"WW4V+HFP Mumi Jiwika, Jl. Irian, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511"
ChIJxZh61z5XbGgR_50JYcfwets,Pantai Pasir 6 Jayapura,https://www.google.com/maps/place/Pantai+Pasir+6+Jayapura/data=!4m7!3m6!1s0x686c573ed77a98c5:0xdb7af0c761099dff!8m2!3d-2.4877879!4d140.7117044!16s%2Fg%2F11h4c9w1yp!19sChIJxZh61z5XbGgR_50JYcfwets?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,55,"Pantai Pasir 6 Jayapura, Tj. Ria, Kec. Jayapura Utara, Kota Jayapura, Papua"
ChIJs2MxRqbxbGgRYW5gWsPYphw,Bukit kolang,https://www.google.com/maps/place/Bukit+kolang/data=!4m7!3m6!1s0x686cf1a6463163b3:0x1ca6d8c35a606e61!8m2!3d-2.5620863!4d140.5181458!16s%2Fg%2F11hzkt7gj1!19sChIJs2MxRqbxbGgRYW5gWsPYphw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,55,"Bukit kolang, Sentani Kota, Kec. Sentani, Kabupaten Jayapura, Papua 99359"
ChIJPSJ5q4vybGgRIYhfercksns,Bhanjibey,https://www.google.com/maps/place/Bhanjibey/data=!4m7!3m6!1s0x686cf28bab79223d:0x7bb224b77a5f8821!8m2!3d-2.6115544!4d140.5316122!16s%2Fg%2F11f04cdw77!19sChIJPSJ5q4vybGgRIYhfercksns?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,53,"9GQJ+9JH Bhanjibey, Hobong, Kec. Sentani, Kabupaten Jayapura, Papua 99359"
ChIJuTVZ84QTPmgRVfXaOc0fRbc,Pasir Putih Wamena,https://www.google.com/maps/place/Pasir+Putih+Wamena/data=!4m7!3m6!1s0x683e1384f35935b9:0xb7451fcd39daf555!8m2!3d-4.0366814!4d138.9526219!16s%2Fg%2F11qst9qyvs!19sChIJuTVZ84QTPmgRVfXaOc0fRbc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.8,47,"XX73+82H Pasir Putih Wamena, Aikima, Kec. Kurulu, Kabupaten Jayawijaya, Papua 99566"
ChIJnxTroZQNJGgR_XKngqrf2A0,Pantai kekwa,https://www.google.com/maps/place/Pantai+kekwa/data=!4m7!3m6!1s0x68240d94a1eb149f:0xdd8dfaa82a772fd!8m2!3d-4.7476139!4d136.4996073!16s%2Fg%2F11lgygnfv3!19sChIJnxTroZQNJGgR_XKngqrf2A0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,13,"7F2X+XR5 Pantai kekwa, Unnamed Road, Keakwa, Kec. Mimika Tengah, Kabupaten Mimika, Papua 99972"
ChIJvacXeCZzJGgRLwyOtjiFZHo,Pantai Keakwa,https://www.google.com/maps/place/Pantai+Keakwa/data=!4m7!3m6!1s0x682473267817a7bd:0x7a648538b68e0c2f!8m2!3d-4.7628556!4d136.5188529!16s%2Fg%2F11k7758506!19sChIJvacXeCZzJGgRLwyOtjiFZHo?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,4,"6GP9+VG5 Pantai Keakwa, Keakwa, Kec. Mimika Tengah, Kabupaten Mimika, Papua 99972"
ChIJmUS645PCImgRr8P_M5vz3Xk,Danau 2 Grasberg,https://www.google.com/maps/place/Danau+2+Grasberg/data=!4m7!3m6!1s0x6822c293e3ba4499:0x79ddf39b33ffc3af!8m2!3d-4.0635325!4d137.1510304!16s%2Fg%2F11f36r0mp5!19sChIJmUS645PCImgRr8P_M5vz3Xk?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,5,3,"W5P2+HCJ Danau 2 Grasberg, Tembagapura, Arwandop, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 98972"
ChIJQ-BZCmhvPmgRVXjFL1L7Bg0,Bukit Pesali Walesi,https://www.google.com/maps/place/Bukit+Pesali+Walesi/data=!4m7!3m6!1s0x683e6f680a59e043:0xd06fb522fc57855!8m2!3d-4.1427442!4d138.9145487!16s%2Fg%2F11h8gpwh8l!19sChIJQ-BZCmhvPmgRVXjFL1L7Bg0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,5,3,"Bukit Pesali Walesi, Distrik, Walesi, Distrik Asolokobal, Kabupaten Jayawijaya, Papua 99511"
ChIJMffeIIbtbGgR1GgWpDNccvY,Wisata Yotoro Hills,https://www.google.com/maps/place/Wisata+Yotoro+Hills/data=!4m7!3m6!1s0x686ced8620def731:0xf6725c33a41668d4!8m2!3d-2.5950136!4d140.4406746!16s%2Fg%2F11mqfxhvp6!19sChIJMffeIIbtbGgR1GgWpDNccvY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,5,2,"Wisata Yotoro Hills, Kwadeware, Distrik Waibu, Kabupaten Jayapura, Papua 99352"
ChIJv9UwDrrhbGgRi3w4Y301jVI,"Pulau Anaipie Tablanusu,Kabupaten.Jayapura, Papua","https://www.google.com/maps/place/Pulau+Anaipie+Tablanusu,Kabupaten.Jayapura,+Papua/data=!4m7!3m6!1s0x686ce1ba0e30d5bf:0x528d357d63387c8b!8m2!3d-2.4376045!4d140.3517969!16s%2Fg%2F11v61013fd!19sChIJv9UwDrrhbGgRi3w4Y301jVI?authuser=0&hl=id&rclk=1",Tujuan Wisata,Tujuan Wisata,,,"H962+XP Pulau Anaipie Tablanusu,Kabupaten.Jayapura, Papua, Waiya, Kabupaten Jayapura, Papua"
ChIJK_Zbdr_DA2gRyUWrfT4MkqU,Wisata Air Terjun Yamdori,https://www.google.com/maps/place/Wisata+Air+Terjun+Yamdori/data=!4m7!3m6!1s0x6803c3bf765bf62b:0xa5920c3e7dab45c9!8m2!3d-1.0219097!4d135.8585302!16s%2Fg%2F11v0rwtwj7!19sChIJK_Zbdr_DA2gRyUWrfT4MkqU?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,,,"XVH5+6CJ Wisata Air Terjun Yamdori, Asaryendi, Distrik Biak Barat, Kabupaten Biak Numfor, Papua"
ChIJRSMZ5FnpImgRAJWjRp3RHGw,Merren Valley,https://www.google.com/maps/place/Merren+Valley/data=!4m7!3m6!1s0x6822e959e4192345:0x6c1cd19d46a39500!8m2!3d-4.079507!4d137.123631!16s%2Fg%2F11ty5376r5!19sChIJRSMZ5FnpImgRAJWjRp3RHGw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,,,"W4CF+57Q Merren Valley, Arwandop, Kec. Tembagapura, Kabupaten Mimika, Papua 98972"
