place_id,name,link,main_category,categories,rating,reviews,address
ChIJp2TxH7041S8RGdxwGIgz6gw,Jam Gadang Bukittinggi,https://www.google.com/maps/place/Jam+Gadang+Bukittinggi/data=!4m7!3m6!1s0x2fd538bd1ff164a7:0xcea33881870dc19!8m2!3d-0.3051816!4d100.3694972!16s%2Fg%2F1pp2w_m4c!19sChIJp2TxH7041S8RGdxwGIgz6gw?authuser=0&hl=id&rclk=1,Monumen,"Monumen, Tujuan Wisata",4.7,54032,"M9V9+WQH Jam Gadang Bukittinggi, Jl. Raya Bukittinggi - Payakumbuh, Benteng Ps. Atas, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26136"
ChIJ_zVdppKsKi4R1rbyNF4krBQ,Kampung Eropa Harau,https://www.google.com/maps/place/Kampung+Eropa+Harau/data=!4m7!3m6!1s0x2e2aac92a65d35ff:0x14ac245e34f2b6d6!8m2!3d-0.1134651!4d100.670786!16s%2Fg%2F1238mbr8!19sChIJ_zVdppKsKi4R1rbyNF4krBQ?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,5004,"Kampung Eropa Harau, Lembah, Tarantang, Kec. Harau, Kabupaten Lima Puluh Kota, Sumatera Barat 26271"
ChIJJyHLBVasKi4RLo6Zv5ffiXc,Air Terjun Lembah Harau,https://www.google.com/maps/place/Air+Terjun+Lembah+Harau/data=!4m7!3m6!1s0x2e2aac5605cb2127:0x7789df97bf998e2e!8m2!3d-0.10004!4d100.6659272!16s%2Fg%2F11c1plx9wk!19sChIJJyHLBVasKi4RLo6Zv5ffiXc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,1951,"VMX8+X9M Air Terjun Lembah Harau, Tarantang, Kec. Harau, Kabupaten Lima Puluh Kota, Sumatera Barat 26271"
ChIJ_____xsh1S8RhhGlV6cjCz4,Puncak Anai,https://www.google.com/maps/place/Puncak+Anai/data=!4m7!3m6!1s0x2fd5211bffffffff:0x3e0b23a757a51186!8m2!3d-0.4803676!4d100.3200822!16s%2Fg%2F11b6zszlnd!19sChIJ_____xsh1S8RhhGlV6cjCz4?authuser=0&hl=id&rclk=1,Area Rekreasi Alam,"Area Rekreasi Alam, Tujuan Wisata",4.5,923,"Puncak Anai, Kayu Tanam, Guguak, Kec. 2 X 11 Kayu Tanam, Kabupaten Padang Pariaman, Sumatera Barat 26161"
ChIJAQAAALC61C8RlR_svb6Z8t8,Pantai Sako,https://www.google.com/maps/place/Pantai+Sako/data=!4m7!3m6!1s0x2fd4bab000000001:0xdff299bebdec1f95!8m2!3d-1.0320116!4d100.4022524!16s%2Fg%2F11bxfn3t2g!19sChIJAQAAALC61C8RlR_svb6Z8t8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,336,"Pantai Sako, Bungus Bar., Kec. Bungus Tlk. Kabung, Kota Padang, Sumatera Barat 25237"
ChIJI5WyqQAR1S8R78dWcj1vAVw,Jenjang 1000 Bukit Siriah,https://www.google.com/maps/place/Jenjang+1000+Bukit+Siriah/data=!4m7!3m6!1s0x2fd51100a9b29523:0x5c016f3d7256c7ef!8m2!3d-0.4018842!4d100.1256425!16s%2Fg%2F11crzxkn6m!19sChIJI5WyqQAR1S8R78dWcj1vAVw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.2,82,"Jenjang 1000 Bukit Siriah, Jalan Lambeh, Jl. Ladang Rimbo, Malai III Koto, Kec. Sungai Geringging, Kabupaten Padang Pariaman, Sumatera Barat 25562"
ChIJET_8MoVN0y8RthG48QC5aTc,Pantai Carocok Painan,https://www.google.com/maps/place/Pantai+Carocok+Painan/data=!4m7!3m6!1s0x2fd34d8532fc3f11:0x3769b900f1b811b6!8m2!3d-1.3520247!4d100.5670321!16s%2Fg%2F11b6rd09kq!19sChIJET_8MoVN0y8RthG48QC5aTc?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Wahana permainan meloloskan diri, Taman bermain",4.5,8058,"Pantai Carocok Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat 25651"
ChIJ0-fvBJsj1S8R7PcxTQAASvo,Air Terjun Lembah Anai,https://www.google.com/maps/place/Air+Terjun+Lembah+Anai/data=!4m7!3m6!1s0x2fd5239b04efe7d3:0xfa4a00004d31f7ec!8m2!3d-0.483611!4d100.3384137!16s%2Fg%2F128dgdsvt!19sChIJ0-fvBJsj1S8R7PcxTQAASvo?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,5063,"G88Q+H93 Air Terjun Lembah Anai, Singgalang, Kec. Sepuluh Koto, Kabupaten Tanah Datar, Sumatera Barat 27282"
ChIJW2e8hVKsKi4Rh9CdWmsMBtc,Air Terjun Sarasah Bunta,https://www.google.com/maps/place/Air+Terjun+Sarasah+Bunta/data=!4m7!3m6!1s0x2e2aac5285bc675b:0xd7060c6b5a9dd087!8m2!3d-0.1082169!4d100.6753776!16s%2Fg%2F11c600_pw2!19sChIJW2e8hVKsKi4Rh9CdWmsMBtc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,2309,"Air Terjun Sarasah Bunta, Sarasah bunta.lembah harau, Kampuang sarosah, Kec. Payakumbuh, Sumatera Barat 26217"
ChIJCfy15aCm1C8R2vWngY_kdHw,Pulau Pasumpahan,https://www.google.com/maps/place/Pulau+Pasumpahan/data=!4m7!3m6!1s0x2fd4a6a0e5b5fc09:0x7c74e48f81a7f5da!8m2!3d-1.1198157!4d100.3696031!16s%2Fg%2F11g9vxytsm!19sChIJCfy15aCm1C8R2vWngY_kdHw?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,873,"V9J9+3RH Pulau Pasumpahan, Jl. Sungai Pisang, Tlk. Kabung Sel., Kec. Bungus Tlk. Kabung, Kota Padang, Sumatera Barat 25237"
