place_id,name,link,main_category,categories,rating,reviews,address
ChIJoX41VZV0Oy4RXDdujB399YY,Amanzi Waterpark,https://www.google.com/maps/place/Amanzi+Waterpark/data=!4m7!3m6!1s0x2e3b749555357ea1:0x86f5fd1d8c6e375c!8m2!3d-2.9379403!4d104.6836213!16s%2Fg%2F1hhlg1kwx!19sChIJoX41VZV0Oy4RXDdujB399YY?authuser=0&hl=id&rclk=1,Taman Rekreasi Air,"Taman Rekreasi Air, Tujuan Wisata",4.4,4236,"Amanzi Waterpark, Komp. CitraGrand City Copacabana Lifestyle Center Blok D No.38, Jl. Bypass Alang-Alang Lebar No.KM12, Talang Klp., Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30154"
ChIJVVVVVeJXNy4Rn8cY2Uaw69E,Wisata Air Terjun Curup Maung,https://www.google.com/maps/place/Wisata+Air+Terjun+Curup+Maung/data=!4m7!3m6!1s0x2e3757e255555555:0xd1ebb046d918c79f!8m2!3d-3.9898475!4d103.3924755!16s%2Fg%2F11bw2km5r3!19sChIJVVVVVeJXNy4Rn8cY2Uaw69E?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,296,"296R+3X9 Wisata Air Terjun Curup Maung, Atung Bungsu, Dempo Selatan, Trans SP II Padang Muara Dua, Gumay Ulu, Trans SP II Padang Muara Dua, Kec. Gumay Ulu, Kabupaten Lahat, Sumatera Selatan 31356"
ChIJtXfofVucOy4RJWDx51cZz3E,Wisata Bebek Aye,https://www.google.com/maps/place/Wisata+Bebek+Aye/data=!4m7!3m6!1s0x2e3b9c5b7de877b5:0x71cf1957e7f16025!8m2!3d-3.0480264!4d104.78962!16s%2Fg%2F11b7jdpxd2!19sChIJtXfofVucOy4RJWDx51cZz3E?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,118,"Wisata Bebek Aye, Danau OPI, Kel. 15 Ulu, Kec. Seberang Ulu I, Sungai Kedukan, Kec. Rambutan, Kab. Banyuasin, Sumatera Selatan 30967"
ChIJqybWvgN2Oy4RsuP3QwCiJoI,Benteng Kuto Besak (Palembang),https://www.google.com/maps/place/Benteng+Kuto+Besak+%28Palembang%29/data=!4m7!3m6!1s0x2e3b7603bed626ab:0x8226a20043f7e3b2!8m2!3d-2.9913697!4d104.7592027!16s%2Fg%2F122kc9x2!19sChIJqybWvgN2Oy4RsuP3QwCiJoI?authuser=0&hl=id&rclk=1,Benteng,"Benteng, Bangunan Bersejarah, Tujuan Wisata",4.5,9037,"2Q55+FM4 Benteng Kuto Besak (Palembang), Jl. Sultan Mahmud Badarudin, 19 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30113"
ChIJaUhwXHl0Oy4RxnAnTekhDgM,Taman Wisata Alam Punti Kayu,https://www.google.com/maps/place/Taman+Wisata+Alam+Punti+Kayu/data=!4m7!3m6!1s0x2e3b74795c704869:0x30e21e94d2770c6!8m2!3d-2.9437262!4d104.7282731!16s%2Fg%2F122d8c2g!19sChIJaUhwXHl0Oy4RxnAnTekhDgM?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.2,7597,"Taman Wisata Alam Punti Kayu, Jl. Kolonel H. Barlian, Srijaya, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30151"
ChIJUbOermyeOy4RnlaKDk5e94M,Taman Purbakala Kerajaan Sriwijaya,https://www.google.com/maps/place/Taman+Purbakala+Kerajaan+Sriwijaya/data=!4m7!3m6!1s0x2e3b9e6cae9eb351:0x83f75e4e0e8a569e!8m2!3d-3.0150322!4d104.7344182!16s%2Fm%2F0hndjtq!19sChIJUbOermyeOy4RnlaKDk5e94M?authuser=0&hl=id&rclk=1,Museum Arkeologi,"Museum Arkeologi, Situs purbakala, Tujuan Wisata",4.4,3265,"XPMM+XQM Taman Purbakala Kerajaan Sriwijaya, Jl. Syakyakirti, Karang Anyar, Kec. Gandus, Kota Palembang, Sumatera Selatan"
ChIJUaOjZVKcOy4RXh7IrQSx8fk,Palembang Bird Park,https://www.google.com/maps/place/Palembang+Bird+Park/data=!4m7!3m6!1s0x2e3b9c5265a3a351:0xf9f1b104adc81e5e!8m2!3d-3.0366659!4d104.7885918!16s%2Fg%2F11cmsbgzkv!19sChIJUaOjZVKcOy4RXh7IrQSx8fk?authuser=0&hl=id&rclk=1,Taman Hiburan,"Taman Hiburan, Pusat Rekreasi, Tujuan Wisata",4.4,2966,"Palembang Bird Park, Jl. Gubernur H.A. Bastari, Jakabaring, Kawasan Opi Mall, sebelah Waterfun, Sungai Kedukan, Kec. Rambutan, Kota Palembang, Sumatera Selatan 30257"
ChIJuWhZ6V1zOy4R702dhsNZ8nw,Danau Tanah Mas,https://www.google.com/maps/place/Danau+Tanah+Mas/data=!4m7!3m6!1s0x2e3b735de95968b9:0x7cf259c3869d4def!8m2!3d-2.9226025!4d104.6705739!16s%2Fg%2F11b73qdrmj!19sChIJuWhZ6V1zOy4R702dhsNZ8nw?authuser=0&hl=id&rclk=1,Taman Rekreasi Air,"Taman Rekreasi Air, Tujuan Wisata",4.1,1973,"Danau Tanah Mas, Jl. Palembang - Betung No.Km. 14, Sukamoro, Kec. Talang Klp., Kab. Banyuasin, Sumatera Selatan 30961"
ChIJ5wpbljWZOy4RqMg5u4cG55Y,Fantasy Island,https://www.google.com/maps/place/Fantasy+Island/data=!4m7!3m6!1s0x2e3b9935965b0ae7:0x96e70687bb39c8a8!8m2!3d-3.076923!4d104.7262407!16s%2Fg%2F1hm6bt7js!19sChIJ5wpbljWZOy4RqMg5u4cG55Y?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman Rekreasi Air",4.3,988,"WPFG+6FQ Fantasy Island, Jalan Prameswara, Karya Jaya, Kec. Kertapati, Kota Palembang, Sumatera Selatan 30862"
ChIJS4RvgIwMOy4R1aDMb2D-Ews,Danau Buatan Air Batu,https://www.google.com/maps/place/Danau+Buatan+Air+Batu/data=!4m7!3m6!1s0x2e3b0c8c806f844b:0xb13fe606fcca0d5!8m2!3d-2.9030701!4d104.6181109!16s%2Fg%2F11b7hnl730!19sChIJS4RvgIwMOy4R1aDMb2D-Ews?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,597,"3JW9+Q6H Danau Buatan Air Batu, Air Batu, Kec. Talang Klp., Kab. Banyuasin, Sumatera Selatan 30961"
